State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,1,MEKLIGANJ,1,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,0,3560,3560
S25,1,MEKLIGANJ,1,ILA RANI ROY,Indian National Congress,0,57,57
S25,1,MEKLIGANJ,1,KAMAL KUMAR ROY,All India Forward Bloc,0,63,63
S25,1,MEKLIGANJ,1,DADHIRAM RAY,Bharatiya Janata Party,0,6287,6287
S25,1,MEKLIGANJ,1,HITEN BARMAN,Socialist Unity Centre Of India (COMMUNIST),0,57,57
S25,1,MEKLIGANJ,1,KIRTTIRAM BARMAN,Independent,0,13,13
S25,1,MEKLIGANJ,1,KRISHNA BARMAN,Independent,0,7,7
S25,1,MEKLIGANJ,1,GOLAPI ROY,Independent,0,20,20
S25,1,MEKLIGANJ,1,PURNENDU ROY,Independent,0,53,53
S25,1,MEKLIGANJ,1,MANOJ KUMAR RAY,Independent,0,24,24
S25,1,MEKLIGANJ,1,HIRANMAY DEB SINGHA,Independent,0,59,59
S25,1,MEKLIGANJ,1,NOTA,None of the Above,0,102,102
S25,1,MEKLIGANJ,2,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,3560,5063,8623
S25,1,MEKLIGANJ,2,ILA RANI ROY,Indian National Congress,57,84,141
S25,1,MEKLIGANJ,2,KAMAL KUMAR ROY,All India Forward Bloc,63,62,125
S25,1,MEKLIGANJ,2,DADHIRAM RAY,Bharatiya Janata Party,6287,6439,12726
S25,1,MEKLIGANJ,2,HITEN BARMAN,Socialist Unity Centre Of India (COMMUNIST),57,97,154
S25,1,MEKLIGANJ,2,KIRTTIRAM BARMAN,Independent,13,10,23
S25,1,MEKLIGANJ,2,KRISHNA BARMAN,Independent,7,11,18
S25,1,MEKLIGANJ,2,GOLAPI ROY,Independent,20,21,41
S25,1,MEKLIGANJ,2,PURNENDU ROY,Independent,53,32,85
S25,1,MEKLIGANJ,2,MANOJ KUMAR RAY,Independent,24,12,36
S25,1,MEKLIGANJ,2,HIRANMAY DEB SINGHA,Independent,59,71,130
S25,1,MEKLIGANJ,2,NOTA,None of the Above,102,102,204
S25,1,MEKLIGANJ,3,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,8623,5198,13821
S25,1,MEKLIGANJ,3,ILA RANI ROY,Indian National Congress,141,63,204
S25,1,MEKLIGANJ,3,KAMAL KUMAR ROY,All India Forward Bloc,125,52,177
S25,1,MEKLIGANJ,3,DADHIRAM RAY,Bharatiya Janata Party,12726,6158,18884
S25,1,MEKLIGANJ,3,HITEN BARMAN,Socialist Unity Centre Of India (COMMUNIST),154,56,210
S25,1,MEKLIGANJ,3,KIRTTIRAM BARMAN,Independent,23,19,42
S25,1,MEKLIGANJ,3,KRISHNA BARMAN,Independent,18,10,28
S25,1,MEKLIGANJ,3,GOLAPI ROY,Independent,41,16,57
S25,1,MEKLIGANJ,3,PURNENDU ROY,Independent,85,37,122
S25,1,MEKLIGANJ,3,MANOJ KUMAR RAY,Independent,36,14,50
S25,1,MEKLIGANJ,3,HIRANMAY DEB SINGHA,Independent,130,50,180
S25,1,MEKLIGANJ,3,NOTA,None of the Above,204,125,329
S25,1,MEKLIGANJ,4,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,13821,3851,17672
S25,1,MEKLIGANJ,4,ILA RANI ROY,Indian National Congress,204,45,249
S25,1,MEKLIGANJ,4,KAMAL KUMAR ROY,All India Forward Bloc,177,165,342
S25,1,MEKLIGANJ,4,DADHIRAM RAY,Bharatiya Janata Party,18884,6277,25161
S25,1,MEKLIGANJ,4,HITEN BARMAN,Socialist Unity Centre Of India (COMMUNIST),210,54,264
S25,1,MEKLIGANJ,4,KIRTTIRAM BARMAN,Independent,42,10,52
S25,1,MEKLIGANJ,4,KRISHNA BARMAN,Independent,28,15,43
S25,1,MEKLIGANJ,4,GOLAPI ROY,Independent,57,14,71
S25,1,MEKLIGANJ,4,PURNENDU ROY,Independent,122,48,170
S25,1,MEKLIGANJ,4,MANOJ KUMAR RAY,Independent,50,25,75
S25,1,MEKLIGANJ,4,HIRANMAY DEB SINGHA,Independent,180,56,236
S25,1,MEKLIGANJ,4,NOTA,None of the Above,329,102,431
S25,1,MEKLIGANJ,5,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,17672,4512,22184
S25,1,MEKLIGANJ,5,ILA RANI ROY,Indian National Congress,249,61,310
S25,1,MEKLIGANJ,5,KAMAL KUMAR ROY,All India Forward Bloc,342,60,402
S25,1,MEKLIGANJ,5,DADHIRAM RAY,Bharatiya Janata Party,25161,6928,32089
S25,1,MEKLIGANJ,5,HITEN BARMAN,Socialist Unity Centre Of India (COMMUNIST),264,70,334
S25,1,MEKLIGANJ,5,KIRTTIRAM BARMAN,Independent,52,16,68
