State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,4,COOCHBEHAR_DAKSHIN,1,AVIJIT DE BHOWMIK,All India Trinamool Congress,0,6606,6606
S25,4,COOCHBEHAR_DAKSHIN,1,KHOKAN MIAH,Indian National Congress,0,273,273
S25,4,COOCHBEHAR_DAKSHIN,1,NAZMUL ALOM SARKAR,All India Forward Bloc,0,147,147
S25,4,COOCHBEHAR_DAKSHIN,1,BHASKAR JYOTI DUTTA,Bahujan Samaj Party,0,42,42
S25,4,COOCHBEHAR_DAKSHIN,1,RATHINDRA BOSE,Bharatiya Janata Party,0,3236,3236
S25,4,COOCHBEHAR_DAKSHIN,1,BIDHAN BARMA,Kamatapur People's Party (United),0,22,22
S25,4,COOCHBEHAR_DAKSHIN,1,SUMAN PANDIT,Socialist Unity Centre Of India (COMMUNIST),0,10,10
S25,4,COOCHBEHAR_DAKSHIN,1,HARIDAS MODAK,Amra Bangalee,0,7,7
S25,4,COOCHBEHAR_DAKSHIN,1,ANANTA BARMAN,Independent,0,9,9
S25,4,COOCHBEHAR_DAKSHIN,1,ABHIJIT DEY,Independent,0,3,3
S25,4,COOCHBEHAR_DAKSHIN,1,KOUSHIK BHATTACHARJEE,Independent,0,9,9
S25,4,COOCHBEHAR_DAKSHIN,1,RANJIT SARKAR,Independent,0,23,23
S25,4,COOCHBEHAR_DAKSHIN,1,RASHIDUL ALAM,Independent,0,11,11
S25,4,COOCHBEHAR_DAKSHIN,1,SANTOSH BARMAN,Independent,0,20,20
S25,4,COOCHBEHAR_DAKSHIN,1,SURATH KUMAR HOM ROY,Independent,0,42,42
S25,4,COOCHBEHAR_DAKSHIN,1,NOTA,None of the Above,0,89,89
S25,4,COOCHBEHAR_DAKSHIN,2,AVIJIT DE BHOWMIK,All India Trinamool Congress,6606,4018,10624
S25,4,COOCHBEHAR_DAKSHIN,2,KHOKAN MIAH,Indian National Congress,273,121,394
S25,4,COOCHBEHAR_DAKSHIN,2,NAZMUL ALOM SARKAR,All India Forward Bloc,147,110,257
S25,4,COOCHBEHAR_DAKSHIN,2,BHASKAR JYOTI DUTTA,Bahujan Samaj Party,42,31,73
S25,4,COOCHBEHAR_DAKSHIN,2,RATHINDRA BOSE,Bharatiya Janata Party,3236,5768,9004
S25,4,COOCHBEHAR_DAKSHIN,2,BIDHAN BARMA,Kamatapur People's Party (United),22,26,48
S25,4,COOCHBEHAR_DAKSHIN,2,SUMAN PANDIT,Socialist Unity Centre Of India (COMMUNIST),10,31,41
S25,4,COOCHBEHAR_DAKSHIN,2,HARIDAS MODAK,Amra Bangalee,7,11,18
S25,4,COOCHBEHAR_DAKSHIN,2,ANANTA BARMAN,Independent,9,17,26
S25,4,COOCHBEHAR_DAKSHIN,2,ABHIJIT DEY,Independent,3,11,14
S25,4,COOCHBEHAR_DAKSHIN,2,KOUSHIK BHATTACHARJEE,Independent,9,18,27
S25,4,COOCHBEHAR_DAKSHIN,2,RANJIT SARKAR,Independent,23,24,47
S25,4,COOCHBEHAR_DAKSHIN,2,RASHIDUL ALAM,Independent,11,12,23
S25,4,COOCHBEHAR_DAKSHIN,2,SANTOSH BARMAN,Independent,20,24,44
S25,4,COOCHBEHAR_DAKSHIN,2,SURATH KUMAR HOM ROY,Independent,42,39,81
S25,4,COOCHBEHAR_DAKSHIN,2,NOTA,None of the Above,89,93,182
S25,4,COOCHBEHAR_DAKSHIN,3,AVIJIT DE BHOWMIK,All India Trinamool Congress,10624,3895,14519
S25,4,COOCHBEHAR_DAKSHIN,3,KHOKAN MIAH,Indian National Congress,394,93,487
S25,4,COOCHBEHAR_DAKSHIN,3,NAZMUL ALOM SARKAR,All India Forward Bloc,257,73,330
S25,4,COOCHBEHAR_DAKSHIN,3,BHASKAR JYOTI DUTTA,Bahujan Samaj Party,73,35,108
S25,4,COOCHBEHAR_DAKSHIN,3,RATHINDRA BOSE,Bharatiya Janata Party,9004,7075,16079
S25,4,COOCHBEHAR_DAKSHIN,3,BIDHAN BARMA,Kamatapur People's Party (United),48,32,80
S25,4,COOCHBEHAR_DAKSHIN,3,SUMAN PANDIT,Socialist Unity Centre Of India (COMMUNIST),41,13,54
S25,4,COOCHBEHAR_DAKSHIN,3,HARIDAS MODAK,Amra Bangalee,18,14,32
S25,4,COOCHBEHAR_DAKSHIN,3,ANANTA BARMAN,Independent,26,12,38
S25,4,COOCHBEHAR_DAKSHIN,3,ABHIJIT DEY,Independent,14,9,23
S25,4,COOCHBEHAR_DAKSHIN,3,KOUSHIK BHATTACHARJEE,Independent,27,21,48
S25,4,COOCHBEHAR_DAKSHIN,3,RANJIT SARKAR,Independent,47,42,89
S25,4,COOCHBEHAR_DAKSHIN,3,RASHIDUL ALAM,Independent,23,8,31
S25,4,COOCHBEHAR_DAKSHIN,3,SANTOSH BARMAN,Independent,44,46,90
S25,4,COOCHBEHAR_DAKSHIN,3,SURATH KUMAR HOM ROY,Independent,81,40,121
S25,4,COOCHBEHAR_DAKSHIN,3,NOTA,None of the Above,182,101,283
S25,4,COOCHBEHAR_DAKSHIN,4,AVIJIT DE BHOWMIK,All India Trinamool Congress,14519,3844,18363
S25,4,COOCHBEHAR_DAKSHIN,4,KHOKAN MIAH,Indian National Congress,487,90,577
S25,4,COOCHBEHAR_DAKSHIN,4,NAZMUL ALOM SARKAR,All India Forward Bloc,330,80,410
S25,4,COOCHBEHAR_DAKSHIN,4,BHASKAR JYOTI DUTTA,Bahujan Samaj Party,108,36,144
S25,4,COOCHBEHAR_DAKSHIN,4,RATHINDRA BOSE,Bharatiya Janata Party,16079,6537,22616
S25,4,COOCHBEHAR_DAKSHIN,4,BIDHAN BARMA,Kamatapur People's Party (United),80,33,113
S25,4,COOCHBEHAR_DAKSHIN,4,SUMAN PANDIT,Socialist Unity Centre Of India (COMMUNIST),54,10,64
S25,4,COOCHBEHAR_DAKSHIN,4,HARIDAS MODAK,Amra Bangalee,32,6,38
S25,4,COOCHBEHAR_DAKSHIN,4,ANANTA BARMAN,Independent,38,7,45
S25,4,COOCHBEHAR_DAKSHIN,4,ABHIJIT DEY,Independent,23,5,28
S25,4,COOCHBEHAR_DAKSHIN,4,KOUSHIK BHATTACHARJEE,Independent,48,17,65
S25,4,COOCHBEHAR_DAKSHIN,4,RANJIT SARKAR,Independent,89,37,126
S25,4,COOCHBEHAR_DAKSHIN,4,RASHIDUL ALAM,Independent,31,14,45
S25,4,COOCHBEHAR_DAKSHIN,4,SANTOSH BARMAN,Independent,90,19,109
