State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,5,SITALKUCHI,1,NAMADIPTI ROY ADHIKARY,Communist Party of India (Marxist),0,154,154
S25,5,SITALKUCHI,1,SHYAMSUNDAR RAY,Bahujan Samaj Party,0,41,41
S25,5,SITALKUCHI,1,SABITRI BARMAN,Bharatiya Janata Party,0,7653,7653
S25,5,SITALKUCHI,1,SUKAMAL BARMAN,Indian National Congress,0,87,87
S25,5,SITALKUCHI,1,HARIHAR DAS,All India Trinamool Congress,0,4425,4425
S25,5,SITALKUCHI,1,KAMAL BARMAN,Amra Bangalee,0,73,73
S25,5,SITALKUCHI,1,JAGADISH ADHIKARI,Socialist Unity Centre Of India (COMMUNIST),0,58,58
S25,5,SITALKUCHI,1,MANIK CHANDRA BARMAN,Kamatapur People's Party (United),0,58,58
S25,5,SITALKUCHI,1,GAJENDRA  BARMAN,Independent,0,64,64
S25,5,SITALKUCHI,1,PARESH CHANDRA MANTA,Independent,0,73,73
S25,5,SITALKUCHI,1,HAREKRISHNA SARKAR,Independent,0,29,29
S25,5,SITALKUCHI,1,NOTA,None of the Above,0,90,90
S25,5,SITALKUCHI,2,NAMADIPTI ROY ADHIKARY,Communist Party of India (Marxist),154,129,283
S25,5,SITALKUCHI,2,SHYAMSUNDAR RAY,Bahujan Samaj Party,41,47,88
S25,5,SITALKUCHI,2,SABITRI BARMAN,Bharatiya Janata Party,7653,6061,13714
S25,5,SITALKUCHI,2,SUKAMAL BARMAN,Indian National Congress,87,85,172
S25,5,SITALKUCHI,2,HARIHAR DAS,All India Trinamool Congress,4425,4535,8960
S25,5,SITALKUCHI,2,KAMAL BARMAN,Amra Bangalee,73,48,121
S25,5,SITALKUCHI,2,JAGADISH ADHIKARI,Socialist Unity Centre Of India (COMMUNIST),58,34,92
S25,5,SITALKUCHI,2,MANIK CHANDRA BARMAN,Kamatapur People's Party (United),58,58,116
S25,5,SITALKUCHI,2,GAJENDRA  BARMAN,Independent,64,44,108
S25,5,SITALKUCHI,2,PARESH CHANDRA MANTA,Independent,73,65,138
S25,5,SITALKUCHI,2,HAREKRISHNA SARKAR,Independent,29,35,64
S25,5,SITALKUCHI,2,NOTA,None of the Above,90,61,151
S25,5,SITALKUCHI,3,NAMADIPTI ROY ADHIKARY,Communist Party of India (Marxist),283,118,401
S25,5,SITALKUCHI,3,SHYAMSUNDAR RAY,Bahujan Samaj Party,88,27,115
S25,5,SITALKUCHI,3,SABITRI BARMAN,Bharatiya Janata Party,13714,7270,20984
S25,5,SITALKUCHI,3,SUKAMAL BARMAN,Indian National Congress,172,95,267
