State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,10,KUMARGRAM,1,MANOJ KUMAR ORAON,Bharatiya Janata Party,0,6160,6160
S25,10,KUMARGRAM,1,RAJEEV TIRKEY,All India Trinamool Congress,0,4084,4084
S25,10,KUMARGRAM,1,SUDHAM LAMA,Indian National Congress,0,104,104
S25,10,KUMARGRAM,1,UNILISH MOCHARI,Aam Janata Unnayan party,0,20,20
S25,10,KUMARGRAM,1,KISHOR MINJ,Revolutionary Socialist Party,0,175,175
S25,10,KUMARGRAM,1,RAM ORAON,Socialist Unity Centre Of India (COMMUNIST),0,17,17
S25,10,KUMARGRAM,1,SUSHIL MINZ,Gana Suraksha Party,0,11,11
S25,10,KUMARGRAM,1,AMIT CHOMPRAMARI,Independent,0,20,20
S25,10,KUMARGRAM,1,ABKARI KUJUR,Independent,0,21,21
S25,10,KUMARGRAM,1,PAULUS TUDU,Independent,0,44,44
S25,10,KUMARGRAM,1,BIKASH ORAON,Independent,0,83,83
S25,10,KUMARGRAM,1,NOTA,None of the Above,0,225,225
S25,10,KUMARGRAM,2,MANOJ KUMAR ORAON,Bharatiya Janata Party,6160,4843,11003
S25,10,KUMARGRAM,2,RAJEEV TIRKEY,All India Trinamool Congress,4084,4248,8332
S25,10,KUMARGRAM,2,SUDHAM LAMA,Indian National Congress,104,119,223
S25,10,KUMARGRAM,2,UNILISH MOCHARI,Aam Janata Unnayan party,20,16,36
S25,10,KUMARGRAM,2,KISHOR MINJ,Revolutionary Socialist Party,175,88,263
S25,10,KUMARGRAM,2,RAM ORAON,Socialist Unity Centre Of India (COMMUNIST),17,21,38
S25,10,KUMARGRAM,2,SUSHIL MINZ,Gana Suraksha Party,11,8,19
S25,10,KUMARGRAM,2,AMIT CHOMPRAMARI,Independent,20,9,29
S25,10,KUMARGRAM,2,ABKARI KUJUR,Independent,21,25,46
S25,10,KUMARGRAM,2,PAULUS TUDU,Independent,44,40,84
S25,10,KUMARGRAM,2,BIKASH ORAON,Independent,83,96,179
S25,10,KUMARGRAM,2,NOTA,None of the Above,225,198,423
S25,10,KUMARGRAM,3,MANOJ KUMAR ORAON,Bharatiya Janata Party,11003,4520,15523
S25,10,KUMARGRAM,3,RAJEEV TIRKEY,All India Trinamool Congress,8332,3877,12209
S25,10,KUMARGRAM,3,SUDHAM LAMA,Indian National Congress,223,222,445
S25,10,KUMARGRAM,3,UNILISH MOCHARI,Aam Janata Unnayan party,36,21,57
S25,10,KUMARGRAM,3,KISHOR MINJ,Revolutionary Socialist Party,263,129,392
S25,10,KUMARGRAM,3,RAM ORAON,Socialist Unity Centre Of India (COMMUNIST),38,12,50
S25,10,KUMARGRAM,3,SUSHIL MINZ,Gana Suraksha Party,19,12,31
S25,10,KUMARGRAM,3,AMIT CHOMPRAMARI,Independent,29,9,38
S25,10,KUMARGRAM,3,ABKARI KUJUR,Independent,46,26,72
S25,10,KUMARGRAM,3,PAULUS TUDU,Independent,84,63,147
S25,10,KUMARGRAM,3,BIKASH ORAON,Independent,179,141,320
S25,10,KUMARGRAM,3,NOTA,None of the Above,423,211,634
S25,10,KUMARGRAM,4,MANOJ KUMAR ORAON,Bharatiya Janata Party,15523,6143,21666
S25,10,KUMARGRAM,4,RAJEEV TIRKEY,All India Trinamool Congress,12209,3029,15238
S25,10,KUMARGRAM,4,SUDHAM LAMA,Indian National Congress,445,61,506
S25,10,KUMARGRAM,4,UNILISH MOCHARI,Aam Janata Unnayan party,57,17,74
S25,10,KUMARGRAM,4,KISHOR MINJ,Revolutionary Socialist Party,392,155,547
S25,10,KUMARGRAM,4,RAM ORAON,Socialist Unity Centre Of India (COMMUNIST),50,13,63
S25,10,KUMARGRAM,4,SUSHIL MINZ,Gana Suraksha Party,31,14,45
S25,10,KUMARGRAM,4,AMIT CHOMPRAMARI,Independent,38,15,53
S25,10,KUMARGRAM,4,ABKARI KUJUR,Independent,72,26,98
S25,10,KUMARGRAM,4,PAULUS TUDU,Independent,147,54,201
S25,10,KUMARGRAM,4,BIKASH ORAON,Independent,320,108,428
S25,10,KUMARGRAM,4,NOTA,None of the Above,634,171,805
S25,10,KUMARGRAM,5,MANOJ KUMAR ORAON,Bharatiya Janata Party,21666,7512,29178
S25,10,KUMARGRAM,5,RAJEEV TIRKEY,All India Trinamool Congress,15238,2538,17776
S25,10,KUMARGRAM,5,SUDHAM LAMA,Indian National Congress,506,82,588
S25,10,KUMARGRAM,5,UNILISH MOCHARI,Aam Janata Unnayan party,74,32,106
S25,10,KUMARGRAM,5,KISHOR MINJ,Revolutionary Socialist Party,547,493,1040
S25,10,KUMARGRAM,5,RAM ORAON,Socialist Unity Centre Of India (COMMUNIST),63,16,79
S25,10,KUMARGRAM,5,SUSHIL MINZ,Gana Suraksha Party,45,27,72
S25,10,KUMARGRAM,5,AMIT CHOMPRAMARI,Independent,53,23,76
S25,10,KUMARGRAM,5,ABKARI KUJUR,Independent,98,38,136
S25,10,KUMARGRAM,5,PAULUS TUDU,Independent,201,54,255
S25,10,KUMARGRAM,5,BIKASH ORAON,Independent,428,83,511
S25,10,KUMARGRAM,5,NOTA,None of the Above,805,198,1003
S25,10,KUMARGRAM,6,MANOJ KUMAR ORAON,Bharatiya Janata Party,29178,5607,34785
S25,10,KUMARGRAM,6,RAJEEV TIRKEY,All India Trinamool Congress,17776,2984,20760
S25,10,KUMARGRAM,6,SUDHAM LAMA,Indian National Congress,588,68,656
S25,10,KUMARGRAM,6,UNILISH MOCHARI,Aam Janata Unnayan party,106,12,118
S25,10,KUMARGRAM,6,KISHOR MINJ,Revolutionary Socialist Party,1040,136,1176
S25,10,KUMARGRAM,6,RAM ORAON,Socialist Unity Centre Of India (COMMUNIST),79,12,91
S25,10,KUMARGRAM,6,SUSHIL MINZ,Gana Suraksha Party,72,10,82
S25,10,KUMARGRAM,6,AMIT CHOMPRAMARI,Independent,76,9,85
S25,10,KUMARGRAM,6,ABKARI KUJUR,Independent,136,27,163
S25,10,KUMARGRAM,6,PAULUS TUDU,Independent,255,34,289
S25,10,KUMARGRAM,6,BIKASH ORAON,Independent,511,58,569
S25,10,KUMARGRAM,6,NOTA,None of the Above,1003,91,1094
S25,10,KUMARGRAM,7,MANOJ KUMAR ORAON,Bharatiya Janata Party,34785,6498,41283
S25,10,KUMARGRAM,7,RAJEEV TIRKEY,All India Trinamool Congress,20760,3255,24015
S25,10,KUMARGRAM,7,SUDHAM LAMA,Indian National Congress,656,54,710
S25,10,KUMARGRAM,7,UNILISH MOCHARI,Aam Janata Unnayan party,118,9,127
S25,10,KUMARGRAM,7,KISHOR MINJ,Revolutionary Socialist Party,1176,181,1357
S25,10,KUMARGRAM,7,RAM ORAON,Socialist Unity Centre Of India (COMMUNIST),91,13,104
S25,10,KUMARGRAM,7,SUSHIL MINZ,Gana Suraksha Party,82,10,92
S25,10,KUMARGRAM,7,AMIT CHOMPRAMARI,Independent,85,4,89
S25,10,KUMARGRAM,7,ABKARI KUJUR,Independent,163,10,173
S25,10,KUMARGRAM,7,PAULUS TUDU,Independent,289,26,315
S25,10,KUMARGRAM,7,BIKASH ORAON,Independent,569,72,641
S25,10,KUMARGRAM,7,NOTA,None of the Above,1094,104,1198
S25,10,KUMARGRAM,8,MANOJ KUMAR ORAON,Bharatiya Janata Party,41283,6969,48252
S25,10,KUMARGRAM,8,RAJEEV TIRKEY,All India Trinamool Congress,24015,2832,26847
S25,10,KUMARGRAM,8,SUDHAM LAMA,Indian National Congress,710,66,776
S25,10,KUMARGRAM,8,UNILISH MOCHARI,Aam Janata Unnayan party,127,12,139
S25,10,KUMARGRAM,8,KISHOR MINJ,Revolutionary Socialist Party,1357,179,1536
S25,10,KUMARGRAM,8,RAM ORAON,Socialist Unity Centre Of India (COMMUNIST),104,7,111
S25,10,KUMARGRAM,8,SUSHIL MINZ,Gana Suraksha Party,92,7,99
S25,10,KUMARGRAM,8,AMIT CHOMPRAMARI,Independent,89,11,100
S25,10,KUMARGRAM,8,ABKARI KUJUR,Independent,173,14,187
