State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,11,KALCHINI,1,ANJAN CHIK BARAIK,Indian National Congress,0,94,94
S25,11,KALCHINI,1,BIRENDRA BARA (ORAON),All India Trinamool Congress,0,4758,4758
S25,11,KALCHINI,1,BISHAL LAMA,Bharatiya Janata Party,0,4639,4639
S25,11,KALCHINI,1,ARJUN INDWAR,Mulnibasi Party of India,0,31,31
S25,11,KALCHINI,1,PASSANG SHERPA,Revolutionary Socialist Party,0,74,74
S25,11,KALCHINI,1,NARAYAN LAMA,Independent,0,26,26
S25,11,KALCHINI,1,RANAJIT RABHA,Independent,0,31,31
S25,11,KALCHINI,1,NOTA,None of the Above,0,41,41
S25,11,KALCHINI,2,ANJAN CHIK BARAIK,Indian National Congress,94,99,193
S25,11,KALCHINI,2,BIRENDRA BARA (ORAON),All India Trinamool Congress,4758,4159,8917
S25,11,KALCHINI,2,BISHAL LAMA,Bharatiya Janata Party,4639,5227,9866
S25,11,KALCHINI,2,ARJUN INDWAR,Mulnibasi Party of India,31,40,71
S25,11,KALCHINI,2,PASSANG SHERPA,Revolutionary Socialist Party,74,124,198
S25,11,KALCHINI,2,NARAYAN LAMA,Independent,26,21,47
S25,11,KALCHINI,2,RANAJIT RABHA,Independent,31,46,77
S25,11,KALCHINI,2,NOTA,None of the Above,41,50,91
S25,11,KALCHINI,3,ANJAN CHIK BARAIK,Indian National Congress,193,118,311
S25,11,KALCHINI,3,BIRENDRA BARA (ORAON),All India Trinamool Congress,8917,2724,11641
S25,11,KALCHINI,3,BISHAL LAMA,Bharatiya Janata Party,9866,7744,17610
S25,11,KALCHINI,3,ARJUN INDWAR,Mulnibasi Party of India,71,41,112
S25,11,KALCHINI,3,PASSANG SHERPA,Revolutionary Socialist Party,198,76,274
S25,11,KALCHINI,3,NARAYAN LAMA,Independent,47,28,75
S25,11,KALCHINI,3,RANAJIT RABHA,Independent,77,43,120
S25,11,KALCHINI,3,NOTA,None of the Above,91,76,167
S25,11,KALCHINI,4,ANJAN CHIK BARAIK,Indian National Congress,311,218,529
S25,11,KALCHINI,4,BIRENDRA BARA (ORAON),All India Trinamool Congress,11641,2410,14051
S25,11,KALCHINI,4,BISHAL LAMA,Bharatiya Janata Party,17610,5656,23266
S25,11,KALCHINI,4,ARJUN INDWAR,Mulnibasi Party of India,112,45,157
