State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,13,FALAKATA,1,AKSHOY KUMAR BARMAN,Indian National Congress,0,107,107
S25,13,FALAKATA,1,KAMAL KISHOR ROY,Communist Party of India (Marxist),0,103,103
S25,13,FALAKATA,1,DIPAK BARMAN,Bharatiya Janata Party,0,6521,6521
S25,13,FALAKATA,1,SUBHASH CHANDRA ROY,All India Trinamool Congress,0,4319,4319
S25,13,FALAKATA,1,UKIL CHANDRA BHUIMALI,Socialist Unity Centre Of India (COMMUNIST),0,54,54
S25,13,FALAKATA,1,DIPANKAR BARMAN,Kamatapur People's Party (United),0,53,53
S25,13,FALAKATA,1,TARUN BARMAN,Independent,0,58,58
S25,13,FALAKATA,1,DILIP BARMAN,Independent,0,39,39
S25,13,FALAKATA,1,NOTA,None of the Above,0,103,103
S25,13,FALAKATA,2,AKSHOY KUMAR BARMAN,Indian National Congress,107,70,177
S25,13,FALAKATA,2,KAMAL KISHOR ROY,Communist Party of India (Marxist),103,219,322
S25,13,FALAKATA,2,DIPAK BARMAN,Bharatiya Janata Party,6521,6449,12970
S25,13,FALAKATA,2,SUBHASH CHANDRA ROY,All India Trinamool Congress,4319,4746,9065
S25,13,FALAKATA,2,UKIL CHANDRA BHUIMALI,Socialist Unity Centre Of India (COMMUNIST),54,58,112
S25,13,FALAKATA,2,DIPANKAR BARMAN,Kamatapur People's Party (United),53,57,110
S25,13,FALAKATA,2,TARUN BARMAN,Independent,58,47,105
S25,13,FALAKATA,2,DILIP BARMAN,Independent,39,35,74
S25,13,FALAKATA,2,NOTA,None of the Above,103,76,179
S25,13,FALAKATA,3,AKSHOY KUMAR BARMAN,Indian National Congress,177,235,412
S25,13,FALAKATA,3,KAMAL KISHOR ROY,Communist Party of India (Marxist),322,191,513
S25,13,FALAKATA,3,DIPAK BARMAN,Bharatiya Janata Party,12970,4700,17670
S25,13,FALAKATA,3,SUBHASH CHANDRA ROY,All India Trinamool Congress,9065,5318,14383
S25,13,FALAKATA,3,UKIL CHANDRA BHUIMALI,Socialist Unity Centre Of India (COMMUNIST),112,81,193
S25,13,FALAKATA,3,DIPANKAR BARMAN,Kamatapur People's Party (United),110,72,182
S25,13,FALAKATA,3,TARUN BARMAN,Independent,105,98,203
