State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,14,MADARIHAT,1,ISHAK RABHA,Bahujan Samaj Party,0,102,102
S25,14,MADARIHAT,1,JAYPRAKASH TOPPO,All India Trinamool Congress,0,3759,3759
S25,14,MADARIHAT,1,JOY PRAFFUL LAKRA,Indian National Congress,0,112,112
S25,14,MADARIHAT,1,LAXUMAN LIMBU,Bharatiya Janata Party,0,4847,4847
S25,14,MADARIHAT,1,BABITA BARA TIRKEY,Gana Suraksha Party,0,48,48
S25,14,MADARIHAT,1,SUDHIST BARAIK,Socialist Unity Centre Of India (COMMUNIST),0,28,28
S25,14,MADARIHAT,1,SUBHASH LOHAR,Revolutionary Socialist Party,0,139,139
S25,14,MADARIHAT,1,HAREN RABHA,Mulnibasi Party of India,0,42,42
S25,14,MADARIHAT,1,SARADIP NARJEENARY,Independent,0,99,99
S25,14,MADARIHAT,1,NOTA,None of the Above,0,131,131
S25,14,MADARIHAT,2,ISHAK RABHA,Bahujan Samaj Party,102,72,174
S25,14,MADARIHAT,2,JAYPRAKASH TOPPO,All India Trinamool Congress,3759,2349,6108
S25,14,MADARIHAT,2,JOY PRAFFUL LAKRA,Indian National Congress,112,107,219
S25,14,MADARIHAT,2,LAXUMAN LIMBU,Bharatiya Janata Party,4847,6299,11146
S25,14,MADARIHAT,2,BABITA BARA TIRKEY,Gana Suraksha Party,48,56,104
S25,14,MADARIHAT,2,SUDHIST BARAIK,Socialist Unity Centre Of India (COMMUNIST),28,29,57
S25,14,MADARIHAT,2,SUBHASH LOHAR,Revolutionary Socialist Party,139,100,239
S25,14,MADARIHAT,2,HAREN RABHA,Mulnibasi Party of India,42,36,78
S25,14,MADARIHAT,2,SARADIP NARJEENARY,Independent,99,65,164
S25,14,MADARIHAT,2,NOTA,None of the Above,131,126,257
S25,14,MADARIHAT,3,ISHAK RABHA,Bahujan Samaj Party,174,108,282
S25,14,MADARIHAT,3,JAYPRAKASH TOPPO,All India Trinamool Congress,6108,3127,9235
S25,14,MADARIHAT,3,JOY PRAFFUL LAKRA,Indian National Congress,219,119,338
S25,14,MADARIHAT,3,LAXUMAN LIMBU,Bharatiya Janata Party,11146,6012,17158
S25,14,MADARIHAT,3,BABITA BARA TIRKEY,Gana Suraksha Party,104,51,155
S25,14,MADARIHAT,3,SUDHIST BARAIK,Socialist Unity Centre Of India (COMMUNIST),57,58,115
S25,14,MADARIHAT,3,SUBHASH LOHAR,Revolutionary Socialist Party,239,80,319
S25,14,MADARIHAT,3,HAREN RABHA,Mulnibasi Party of India,78,32,110
S25,14,MADARIHAT,3,SARADIP NARJEENARY,Independent,164,71,235
S25,14,MADARIHAT,3,NOTA,None of the Above,257,109,366
S25,14,MADARIHAT,4,ISHAK RABHA,Bahujan Samaj Party,282,119,401
S25,14,MADARIHAT,4,JAYPRAKASH TOPPO,All India Trinamool Congress,9235,3347,12582
S25,14,MADARIHAT,4,JOY PRAFFUL LAKRA,Indian National Congress,338,204,542
S25,14,MADARIHAT,4,LAXUMAN LIMBU,Bharatiya Janata Party,17158,5294,22452
S25,14,MADARIHAT,4,BABITA BARA TIRKEY,Gana Suraksha Party,155,59,214
