State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,18,RAJGANJ,1,KHARENDRA NATH ROY,Communist Party of India (Marxist),0,297,297
S25,18,RAJGANJ,1,TUSHAR KANTI ROY,Indian National Congress,0,71,71
S25,18,RAJGANJ,1,DINESH SARKAR,Bharatiya Janata Party,0,10449,10449
S25,18,RAJGANJ,1,RADHU MANDAL,Bahujan Samaj Party,0,106,106
S25,18,RAJGANJ,1,SWAPNA BARMAN,All India Trinamool Congress,0,7085,7085
S25,18,RAJGANJ,1,ANANTA KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),0,78,78
S25,18,RAJGANJ,1,JAGADISH CHANDRA ROY,Kamatapur People's Party (United),0,14,14
S25,18,RAJGANJ,1,HARENDRANATH ROY,Amra Bangalee,0,23,23
S25,18,RAJGANJ,1,KUNAL ROY,Independent,0,20,20
S25,18,RAJGANJ,1,PRAKASH CHANDRA ROY,Independent,0,55,55
S25,18,RAJGANJ,1,BAPI ROY,Independent,0,39,39
S25,18,RAJGANJ,1,SANJIB ROY,Independent,0,113,113
S25,18,RAJGANJ,1,SWAPNA BARMAN,Independent,0,86,86
S25,18,RAJGANJ,1,NOTA,None of the Above,0,108,108
S25,18,RAJGANJ,2,KHARENDRA NATH ROY,Communist Party of India (Marxist),297,298,595
S25,18,RAJGANJ,2,TUSHAR KANTI ROY,Indian National Congress,71,63,134
S25,18,RAJGANJ,2,DINESH SARKAR,Bharatiya Janata Party,10449,8783,19232
S25,18,RAJGANJ,2,RADHU MANDAL,Bahujan Samaj Party,106,82,188
S25,18,RAJGANJ,2,SWAPNA BARMAN,All India Trinamool Congress,7085,6933,14018
S25,18,RAJGANJ,2,ANANTA KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),78,47,125
S25,18,RAJGANJ,2,JAGADISH CHANDRA ROY,Kamatapur People's Party (United),14,11,25
S25,18,RAJGANJ,2,HARENDRANATH ROY,Amra Bangalee,23,17,40
S25,18,RAJGANJ,2,KUNAL ROY,Independent,20,26,46
S25,18,RAJGANJ,2,PRAKASH CHANDRA ROY,Independent,55,75,130
S25,18,RAJGANJ,2,BAPI ROY,Independent,39,36,75
S25,18,RAJGANJ,2,SANJIB ROY,Independent,113,115,228
S25,18,RAJGANJ,2,SWAPNA BARMAN,Independent,86,72,158
S25,18,RAJGANJ,2,NOTA,None of the Above,108,109,217
S25,18,RAJGANJ,3,KHARENDRA NATH ROY,Communist Party of India (Marxist),595,256,851
S25,18,RAJGANJ,3,TUSHAR KANTI ROY,Indian National Congress,134,88,222
S25,18,RAJGANJ,3,DINESH SARKAR,Bharatiya Janata Party,19232,10649,29881
S25,18,RAJGANJ,3,RADHU MANDAL,Bahujan Samaj Party,188,104,292
S25,18,RAJGANJ,3,SWAPNA BARMAN,All India Trinamool Congress,14018,5836,19854
S25,18,RAJGANJ,3,ANANTA KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),125,55,180
S25,18,RAJGANJ,3,JAGADISH CHANDRA ROY,Kamatapur People's Party (United),25,26,51
S25,18,RAJGANJ,3,HARENDRANATH ROY,Amra Bangalee,40,27,67
S25,18,RAJGANJ,3,KUNAL ROY,Independent,46,19,65
S25,18,RAJGANJ,3,PRAKASH CHANDRA ROY,Independent,130,58,188
S25,18,RAJGANJ,3,BAPI ROY,Independent,75,45,120
S25,18,RAJGANJ,3,SANJIB ROY,Independent,228,134,362
S25,18,RAJGANJ,3,SWAPNA BARMAN,Independent,158,74,232
S25,18,RAJGANJ,3,NOTA,None of the Above,217,95,312
S25,18,RAJGANJ,4,KHARENDRA NATH ROY,Communist Party of India (Marxist),851,284,1135
S25,18,RAJGANJ,4,TUSHAR KANTI ROY,Indian National Congress,222,80,302
S25,18,RAJGANJ,4,DINESH SARKAR,Bharatiya Janata Party,29881,10075,39956
S25,18,RAJGANJ,4,RADHU MANDAL,Bahujan Samaj Party,292,88,380
S25,18,RAJGANJ,4,SWAPNA BARMAN,All India Trinamool Congress,19854,6516,26370
S25,18,RAJGANJ,4,ANANTA KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),180,43,223
S25,18,RAJGANJ,4,JAGADISH CHANDRA ROY,Kamatapur People's Party (United),51,10,61
S25,18,RAJGANJ,4,HARENDRANATH ROY,Amra Bangalee,67,15,82
S25,18,RAJGANJ,4,KUNAL ROY,Independent,65,18,83
S25,18,RAJGANJ,4,PRAKASH CHANDRA ROY,Independent,188,40,228
S25,18,RAJGANJ,4,BAPI ROY,Independent,120,50,170
S25,18,RAJGANJ,4,SANJIB ROY,Independent,362,94,456
S25,18,RAJGANJ,4,SWAPNA BARMAN,Independent,232,64,296
S25,18,RAJGANJ,4,NOTA,None of the Above,312,97,409
S25,18,RAJGANJ,5,KHARENDRA NATH ROY,Communist Party of India (Marxist),1135,469,1604
S25,18,RAJGANJ,5,TUSHAR KANTI ROY,Indian National Congress,302,89,391
S25,18,RAJGANJ,5,DINESH SARKAR,Bharatiya Janata Party,39956,9622,49578
S25,18,RAJGANJ,5,RADHU MANDAL,Bahujan Samaj Party,380,82,462
S25,18,RAJGANJ,5,SWAPNA BARMAN,All India Trinamool Congress,26370,5420,31790
S25,18,RAJGANJ,5,ANANTA KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),223,123,346
S25,18,RAJGANJ,5,JAGADISH CHANDRA ROY,Kamatapur People's Party (United),61,37,98
S25,18,RAJGANJ,5,HARENDRANATH ROY,Amra Bangalee,82,38,120
S25,18,RAJGANJ,5,KUNAL ROY,Independent,83,23,106
S25,18,RAJGANJ,5,PRAKASH CHANDRA ROY,Independent,228,42,270
S25,18,RAJGANJ,5,BAPI ROY,Independent,170,49,219
S25,18,RAJGANJ,5,SANJIB ROY,Independent,456,143,599
S25,18,RAJGANJ,5,SWAPNA BARMAN,Independent,296,69,365
S25,18,RAJGANJ,5,NOTA,None of the Above,409,97,506
S25,18,RAJGANJ,6,KHARENDRA NATH ROY,Communist Party of India (Marxist),1604,551,2155
S25,18,RAJGANJ,6,TUSHAR KANTI ROY,Indian National Congress,391,130,521
S25,18,RAJGANJ,6,DINESH SARKAR,Bharatiya Janata Party,49578,6865,56443
S25,18,RAJGANJ,6,RADHU MANDAL,Bahujan Samaj Party,462,99,561
S25,18,RAJGANJ,6,SWAPNA BARMAN,All India Trinamool Congress,31790,8265,40055
S25,18,RAJGANJ,6,ANANTA KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),346,120,466
S25,18,RAJGANJ,6,JAGADISH CHANDRA ROY,Kamatapur People's Party (United),98,10,108
S25,18,RAJGANJ,6,HARENDRANATH ROY,Amra Bangalee,120,25,145
S25,18,RAJGANJ,6,KUNAL ROY,Independent,106,19,125
S25,18,RAJGANJ,6,PRAKASH CHANDRA ROY,Independent,270,74,344
S25,18,RAJGANJ,6,BAPI ROY,Independent,219,44,263
S25,18,RAJGANJ,6,SANJIB ROY,Independent,599,116,715
S25,18,RAJGANJ,6,SWAPNA BARMAN,Independent,365,62,427
S25,18,RAJGANJ,6,NOTA,None of the Above,506,88,594
S25,18,RAJGANJ,7,KHARENDRA NATH ROY,Communist Party of India (Marxist),2155,698,2853
S25,18,RAJGANJ,7,TUSHAR KANTI ROY,Indian National Congress,521,234,755
S25,18,RAJGANJ,7,DINESH SARKAR,Bharatiya Janata Party,56443,8229,64672
S25,18,RAJGANJ,7,RADHU MANDAL,Bahujan Samaj Party,561,127,688
S25,18,RAJGANJ,7,SWAPNA BARMAN,All India Trinamool Congress,40055,8855,48910
S25,18,RAJGANJ,7,ANANTA KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),466,161,627
S25,18,RAJGANJ,7,JAGADISH CHANDRA ROY,Kamatapur People's Party (United),108,22,130
S25,18,RAJGANJ,7,HARENDRANATH ROY,Amra Bangalee,145,28,173
