State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,19,DABGRAM-FULBARI,1,DILIP SINGH,Communist Party of India (Marxist),0,234,234
S25,19,DABGRAM-FULBARI,1,BIRAJ SARKAR,Bahujan Samaj Party,0,27,27
S25,19,DABGRAM-FULBARI,1,RANJAN SIL SHARMA,All India Trinamool Congress,0,3646,3646
S25,19,DABGRAM-FULBARI,1,ROHIT SING (GUDDU),Indian National Congress,0,126,126
S25,19,DABGRAM-FULBARI,1,SIKHA CHATTERJEE,Bharatiya Janata Party,0,6544,6544
S25,19,DABGRAM-FULBARI,1,UTTAM DAS,North Bengal People's Party,0,31,31
S25,19,DABGRAM-FULBARI,1,MOUSUMI AICH,Amra Bangalee,0,15,15
S25,19,DABGRAM-FULBARI,1,RENUKA ROY,Socialist Unity Centre Of India (COMMUNIST),0,8,8
S25,19,DABGRAM-FULBARI,1,ALOK SEN,Independent,0,22,22
S25,19,DABGRAM-FULBARI,1,ASTAMI ROY,Independent,0,54,54
S25,19,DABGRAM-FULBARI,1,KRISHNADEV ADHIKARY,Independent,0,35,35
S25,19,DABGRAM-FULBARI,1,DIPALI ADITYA,Independent,0,24,24
S25,19,DABGRAM-FULBARI,1,DHANABALA ROY,Independent,0,69,69
S25,19,DABGRAM-FULBARI,1,RAMESH BARMAN,Independent,0,25,25
S25,19,DABGRAM-FULBARI,1,NOTA,None of the Above,0,43,43
S25,19,DABGRAM-FULBARI,2,DILIP SINGH,Communist Party of India (Marxist),234,401,635
S25,19,DABGRAM-FULBARI,2,BIRAJ SARKAR,Bahujan Samaj Party,27,26,53
S25,19,DABGRAM-FULBARI,2,RANJAN SIL SHARMA,All India Trinamool Congress,3646,3521,7167
S25,19,DABGRAM-FULBARI,2,ROHIT SING (GUDDU),Indian National Congress,126,108,234
S25,19,DABGRAM-FULBARI,2,SIKHA CHATTERJEE,Bharatiya Janata Party,6544,10742,17286
S25,19,DABGRAM-FULBARI,2,UTTAM DAS,North Bengal People's Party,31,41,72
