State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,22,KALIMPONG,1,BHARAT KUMAR CHETRI,Bharatiya Janata Party,0,5927,5927
S25,22,KALIMPONG,1,RITA THAPA,Communist Party of India (Marxist),0,86,86
S25,22,KALIMPONG,1,SANTA KUMAR PRADHAN,Indian National Congress,0,181,181
S25,22,KALIMPONG,1,RUDEN SADA LEPCHA,Bharatiya Gorkha Prajatantrik Morcha,0,6384,6384
S25,22,KALIMPONG,1,SISIR KUMAR SHARMA,Akhil Bharatiya Gorkha League,0,200,200
S25,22,KALIMPONG,1,ALDRIN LEPCHA,Independent,0,124,124
S25,22,KALIMPONG,1,BHERNONE BRITTO LEPCHA,Independent,0,2084,2084
S25,22,KALIMPONG,1,NOTA,None of the Above,0,210,210
S25,22,KALIMPONG,2,BHARAT KUMAR CHETRI,Bharatiya Janata Party,5927,6402,12329
S25,22,KALIMPONG,2,RITA THAPA,Communist Party of India (Marxist),86,93,179
S25,22,KALIMPONG,2,SANTA KUMAR PRADHAN,Indian National Congress,181,132,313
S25,22,KALIMPONG,2,RUDEN SADA LEPCHA,Bharatiya Gorkha Prajatantrik Morcha,6384,5844,12228
S25,22,KALIMPONG,2,SISIR KUMAR SHARMA,Akhil Bharatiya Gorkha League,200,171,371
S25,22,KALIMPONG,2,ALDRIN LEPCHA,Independent,124,235,359
S25,22,KALIMPONG,2,BHERNONE BRITTO LEPCHA,Independent,2084,1170,3254
S25,22,KALIMPONG,2,NOTA,None of the Above,210,187,397
S25,22,KALIMPONG,3,BHARAT KUMAR CHETRI,Bharatiya Janata Party,12329,7610,19939
S25,22,KALIMPONG,3,RITA THAPA,Communist Party of India (Marxist),179,70,249
S25,22,KALIMPONG,3,SANTA KUMAR PRADHAN,Indian National Congress,313,140,453
S25,22,KALIMPONG,3,RUDEN SADA LEPCHA,Bharatiya Gorkha Prajatantrik Morcha,12228,6593,18821
S25,22,KALIMPONG,3,SISIR KUMAR SHARMA,Akhil Bharatiya Gorkha League,371,197,568
S25,22,KALIMPONG,3,ALDRIN LEPCHA,Independent,359,148,507
S25,22,KALIMPONG,3,BHERNONE BRITTO LEPCHA,Independent,3254,958,4212
S25,22,KALIMPONG,3,NOTA,None of the Above,397,196,593
S25,22,KALIMPONG,4,BHARAT KUMAR CHETRI,Bharatiya Janata Party,19939,7790,27729
S25,22,KALIMPONG,4,RITA THAPA,Communist Party of India (Marxist),249,77,326
S25,22,KALIMPONG,4,SANTA KUMAR PRADHAN,Indian National Congress,453,202,655
S25,22,KALIMPONG,4,RUDEN SADA LEPCHA,Bharatiya Gorkha Prajatantrik Morcha,18821,4703,23524
S25,22,KALIMPONG,4,SISIR KUMAR SHARMA,Akhil Bharatiya Gorkha League,568,127,695
S25,22,KALIMPONG,4,ALDRIN LEPCHA,Independent,507,93,600
S25,22,KALIMPONG,4,BHERNONE BRITTO LEPCHA,Independent,4212,1388,5600
S25,22,KALIMPONG,4,NOTA,None of the Above,593,151,744
S25,22,KALIMPONG,5,BHARAT KUMAR CHETRI,Bharatiya Janata Party,27729,9193,36922
S25,22,KALIMPONG,5,RITA THAPA,Communist Party of India (Marxist),326,94,420
S25,22,KALIMPONG,5,SANTA KUMAR PRADHAN,Indian National Congress,655,266,921
S25,22,KALIMPONG,5,RUDEN SADA LEPCHA,Bharatiya Gorkha Prajatantrik Morcha,23524,4730,28254
S25,22,KALIMPONG,5,SISIR KUMAR SHARMA,Akhil Bharatiya Gorkha League,695,208,903
S25,22,KALIMPONG,5,ALDRIN LEPCHA,Independent,600,141,741
S25,22,KALIMPONG,5,BHERNONE BRITTO LEPCHA,Independent,5600,1594,7194
S25,22,KALIMPONG,5,NOTA,None of the Above,744,217,961
S25,22,KALIMPONG,6,BHARAT KUMAR CHETRI,Bharatiya Janata Party,36922,7567,44489
S25,22,KALIMPONG,6,RITA THAPA,Communist Party of India (Marxist),420,100,520
S25,22,KALIMPONG,6,SANTA KUMAR PRADHAN,Indian National Congress,921,159,1080
S25,22,KALIMPONG,6,RUDEN SADA LEPCHA,Bharatiya Gorkha Prajatantrik Morcha,28254,5925,34179
S25,22,KALIMPONG,6,SISIR KUMAR SHARMA,Akhil Bharatiya Gorkha League,903,210,1113
S25,22,KALIMPONG,6,ALDRIN LEPCHA,Independent,741,146,887
S25,22,KALIMPONG,6,BHERNONE BRITTO LEPCHA,Independent,7194,2027,9221
S25,22,KALIMPONG,6,NOTA,None of the Above,961,190,1151
S25,22,KALIMPONG,7,BHARAT KUMAR CHETRI,Bharatiya Janata Party,44489,7043,51532
S25,22,KALIMPONG,7,RITA THAPA,Communist Party of India (Marxist),520,80,600
S25,22,KALIMPONG,7,SANTA KUMAR PRADHAN,Indian National Congress,1080,137,1217
S25,22,KALIMPONG,7,RUDEN SADA LEPCHA,Bharatiya Gorkha Prajatantrik Morcha,34179,6660,40839
S25,22,KALIMPONG,7,SISIR KUMAR SHARMA,Akhil Bharatiya Gorkha League,1113,190,1303
S25,22,KALIMPONG,7,ALDRIN LEPCHA,Independent,887,129,1016
S25,22,KALIMPONG,7,BHERNONE BRITTO LEPCHA,Independent,9221,867,10088
S25,22,KALIMPONG,7,NOTA,None of the Above,1151,187,1338
S25,22,KALIMPONG,8,BHARAT KUMAR CHETRI,Bharatiya Janata Party,51532,8860,60392
S25,22,KALIMPONG,8,RITA THAPA,Communist Party of India (Marxist),600,75,675
S25,22,KALIMPONG,8,SANTA KUMAR PRADHAN,Indian National Congress,1217,164,1381
S25,22,KALIMPONG,8,RUDEN SADA LEPCHA,Bharatiya Gorkha Prajatantrik Morcha,40839,6331,47170
S25,22,KALIMPONG,8,SISIR KUMAR SHARMA,Akhil Bharatiya Gorkha League,1303,195,1498
S25,22,KALIMPONG,8,ALDRIN LEPCHA,Independent,1016,129,1145
S25,22,KALIMPONG,8,BHERNONE BRITTO LEPCHA,Independent,10088,1402,11490
S25,22,KALIMPONG,8,NOTA,None of the Above,1338,189,1527
