State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,27,PHANSIDEWA,1,DURGA MURMU,Bharatiya Janata Party,0,10959,10959
S25,27,PHANSIDEWA,1,NAVANEETA TIRKEY,Indian National Congress,0,171,171
S25,27,PHANSIDEWA,1,REENA TOPNO EKKA,All India Trinamool Congress,0,2574,2574
S25,27,PHANSIDEWA,1,RENUKA MARDI,Aam Janata Unnayan party,0,26,26
S25,27,PHANSIDEWA,1,SUNITA MURMU,Socialist Unity Centre Of India (COMMUNIST),0,40,40
S25,27,PHANSIDEWA,1,SUMANTI EKKA,Communist Party of India (Marxist-Leninist) (Liberation),0,144,144
S25,27,PHANSIDEWA,1,AMIT KUMAR LAKRA,Independent,0,51,51
S25,27,PHANSIDEWA,1,BAISHAKHI RAVA ROY,Independent,0,112,112
S25,27,PHANSIDEWA,1,NOTA,None of the Above,0,139,139
S25,27,PHANSIDEWA,2,DURGA MURMU,Bharatiya Janata Party,10959,11325,22284
S25,27,PHANSIDEWA,2,NAVANEETA TIRKEY,Indian National Congress,171,187,358
S25,27,PHANSIDEWA,2,REENA TOPNO EKKA,All India Trinamool Congress,2574,4065,6639
S25,27,PHANSIDEWA,2,RENUKA MARDI,Aam Janata Unnayan party,26,65,91
S25,27,PHANSIDEWA,2,SUNITA MURMU,Socialist Unity Centre Of India (COMMUNIST),40,39,79
S25,27,PHANSIDEWA,2,SUMANTI EKKA,Communist Party of India (Marxist-Leninist) (Liberation),144,90,234
S25,27,PHANSIDEWA,2,AMIT KUMAR LAKRA,Independent,51,51,102
S25,27,PHANSIDEWA,2,BAISHAKHI RAVA ROY,Independent,112,224,336
S25,27,PHANSIDEWA,2,NOTA,None of the Above,139,161,300
S25,27,PHANSIDEWA,3,DURGA MURMU,Bharatiya Janata Party,22284,9185,31469
S25,27,PHANSIDEWA,3,NAVANEETA TIRKEY,Indian National Congress,358,193,551
S25,27,PHANSIDEWA,3,REENA TOPNO EKKA,All India Trinamool Congress,6639,3977,10616
S25,27,PHANSIDEWA,3,RENUKA MARDI,Aam Janata Unnayan party,91,75,166
S25,27,PHANSIDEWA,3,SUNITA MURMU,Socialist Unity Centre Of India (COMMUNIST),79,39,118
S25,27,PHANSIDEWA,3,SUMANTI EKKA,Communist Party of India (Marxist-Leninist) (Liberation),234,213,447
S25,27,PHANSIDEWA,3,AMIT KUMAR LAKRA,Independent,102,65,167
