State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,30,GOALPOKHAR,1,ZAMALUDDIN,All India Forward Bloc,0,48,48
S25,30,GOALPOKHAR,1,MASOOD MD. NASEEM AHSEN,Indian National Congress,0,241,241
S25,30,GOALPOKHAR,1,MD GHULAM RABBANI,All India Trinamool Congress,0,6225,6225
S25,30,GOALPOKHAR,1,SARAJIT BISWAS,Bharatiya Janata Party,0,3921,3921
S25,30,GOALPOKHAR,1,SUNIL BISWAS,Bahujan Samaj Party,0,50,50
S25,30,GOALPOKHAR,1,TOWHID AHMED KHAN,Aam Janata Unnayan party,0,13,13
S25,30,GOALPOKHAR,1,NABIN  CHANDRA SINGHA,Socialist Unity Centre Of India (COMMUNIST),0,13,13
S25,30,GOALPOKHAR,1,MD. NAZIR AKHTAR,All India Majlis-E-Inquilab-E-Millat,0,26,26
S25,30,GOALPOKHAR,1,SHAMBHU LAL ROY,Swaraj India,0,59,59
S25,30,GOALPOKHAR,1,MD. GHULAM SARWAR,Independent,0,353,353
S25,30,GOALPOKHAR,1,RAGHU NATH SINGHA,Independent,0,19,19
S25,30,GOALPOKHAR,1,NOTA,None of the Above,0,52,52
S25,30,GOALPOKHAR,2,ZAMALUDDIN,All India Forward Bloc,48,54,102
S25,30,GOALPOKHAR,2,MASOOD MD. NASEEM AHSEN,Indian National Congress,241,156,397
S25,30,GOALPOKHAR,2,MD GHULAM RABBANI,All India Trinamool Congress,6225,6831,13056
S25,30,GOALPOKHAR,2,SARAJIT BISWAS,Bharatiya Janata Party,3921,2446,6367
S25,30,GOALPOKHAR,2,SUNIL BISWAS,Bahujan Samaj Party,50,41,91
S25,30,GOALPOKHAR,2,TOWHID AHMED KHAN,Aam Janata Unnayan party,13,11,24
S25,30,GOALPOKHAR,2,NABIN  CHANDRA SINGHA,Socialist Unity Centre Of India (COMMUNIST),13,17,30
S25,30,GOALPOKHAR,2,MD. NAZIR AKHTAR,All India Majlis-E-Inquilab-E-Millat,26,42,68
S25,30,GOALPOKHAR,2,SHAMBHU LAL ROY,Swaraj India,59,53,112
S25,30,GOALPOKHAR,2,MD. GHULAM SARWAR,Independent,353,618,971
S25,30,GOALPOKHAR,2,RAGHU NATH SINGHA,Independent,19,27,46
S25,30,GOALPOKHAR,2,NOTA,None of the Above,52,53,105
S25,30,GOALPOKHAR,3,ZAMALUDDIN,All India Forward Bloc,102,32,134
S25,30,GOALPOKHAR,3,MASOOD MD. NASEEM AHSEN,Indian National Congress,397,92,489
S25,30,GOALPOKHAR,3,MD GHULAM RABBANI,All India Trinamool Congress,13056,6546,19602
S25,30,GOALPOKHAR,3,SARAJIT BISWAS,Bharatiya Janata Party,6367,3314,9681
S25,30,GOALPOKHAR,3,SUNIL BISWAS,Bahujan Samaj Party,91,38,129
S25,30,GOALPOKHAR,3,TOWHID AHMED KHAN,Aam Janata Unnayan party,24,10,34
S25,30,GOALPOKHAR,3,NABIN  CHANDRA SINGHA,Socialist Unity Centre Of India (COMMUNIST),30,10,40
S25,30,GOALPOKHAR,3,MD. NAZIR AKHTAR,All India Majlis-E-Inquilab-E-Millat,68,15,83
S25,30,GOALPOKHAR,3,SHAMBHU LAL ROY,Swaraj India,112,36,148
S25,30,GOALPOKHAR,3,MD. GHULAM SARWAR,Independent,971,244,1215
S25,30,GOALPOKHAR,3,RAGHU NATH SINGHA,Independent,46,17,63
S25,30,GOALPOKHAR,3,NOTA,None of the Above,105,38,143
S25,30,GOALPOKHAR,4,ZAMALUDDIN,All India Forward Bloc,134,25,159
