State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,32,KARANDIGHI,1,GOUTAM PAUL,All India Trinamool Congress,0,6803,6803
S25,32,KARANDIGHI,1,NIROD BANDHU BISWAS,Bahujan Samaj Party,0,55,55
S25,32,KARANDIGHI,1,BIRAJ BISWAS,Bharatiya Janata Party,0,5853,5853
S25,32,KARANDIGHI,1,MD. SAHABUDDIN,Communist Party of India (Marxist),0,1452,1452
S25,32,KARANDIGHI,1,MURSID ALAM,Indian National Congress,0,64,64
S25,32,KARANDIGHI,1,SUSHANTA KUMAR SINHA,Socialist Unity Centre Of India (COMMUNIST),0,2,2
S25,32,KARANDIGHI,1,ANANDA SINGHA,Independent,0,9,9
S25,32,KARANDIGHI,1,GAUTAM PAL,Independent,0,11,11
S25,32,KARANDIGHI,1,BAHAMONI HANSDA,Independent,0,6,6
S25,32,KARANDIGHI,1,BIRAJ BISWAS,Independent,0,27,27
S25,32,KARANDIGHI,1,MD. SAHABUDDIN,Independent,0,14,14
S25,32,KARANDIGHI,1,MD. FARUQUE  HOSSAIN,Independent,0,19,19
S25,32,KARANDIGHI,1,RAMESH  CHANDRA SINHA,Independent,0,35,35
S25,32,KARANDIGHI,1,SK. MOHAMMAD ALAM,Independent,0,47,47
S25,32,KARANDIGHI,1,HASIB REJA,Independent,0,22,22
S25,32,KARANDIGHI,1,NOTA,None of the Above,0,108,108
S25,32,KARANDIGHI,2,GOUTAM PAUL,All India Trinamool Congress,6803,4100,10903
S25,32,KARANDIGHI,2,NIROD BANDHU BISWAS,Bahujan Samaj Party,55,26,81
S25,32,KARANDIGHI,2,BIRAJ BISWAS,Bharatiya Janata Party,5853,8775,14628
S25,32,KARANDIGHI,2,MD. SAHABUDDIN,Communist Party of India (Marxist),1452,503,1955
S25,32,KARANDIGHI,2,MURSID ALAM,Indian National Congress,64,427,491
S25,32,KARANDIGHI,2,SUSHANTA KUMAR SINHA,Socialist Unity Centre Of India (COMMUNIST),2,5,7
S25,32,KARANDIGHI,2,ANANDA SINGHA,Independent,9,7,16
S25,32,KARANDIGHI,2,GAUTAM PAL,Independent,11,3,14
S25,32,KARANDIGHI,2,BAHAMONI HANSDA,Independent,6,3,9
S25,32,KARANDIGHI,2,BIRAJ BISWAS,Independent,27,12,39
S25,32,KARANDIGHI,2,MD. SAHABUDDIN,Independent,14,11,25
S25,32,KARANDIGHI,2,MD. FARUQUE  HOSSAIN,Independent,19,8,27
S25,32,KARANDIGHI,2,RAMESH  CHANDRA SINHA,Independent,35,21,56
S25,32,KARANDIGHI,2,SK. MOHAMMAD ALAM,Independent,47,102,149
S25,32,KARANDIGHI,2,HASIB REJA,Independent,22,8,30
S25,32,KARANDIGHI,2,NOTA,None of the Above,108,80,188
S25,32,KARANDIGHI,3,GOUTAM PAUL,All India Trinamool Congress,10903,7011,17914
S25,32,KARANDIGHI,3,NIROD BANDHU BISWAS,Bahujan Samaj Party,81,59,140
S25,32,KARANDIGHI,3,BIRAJ BISWAS,Bharatiya Janata Party,14628,5400,20028
S25,32,KARANDIGHI,3,MD. SAHABUDDIN,Communist Party of India (Marxist),1955,2198,4153
S25,32,KARANDIGHI,3,MURSID ALAM,Indian National Congress,491,167,658
S25,32,KARANDIGHI,3,SUSHANTA KUMAR SINHA,Socialist Unity Centre Of India (COMMUNIST),7,4,11
S25,32,KARANDIGHI,3,ANANDA SINGHA,Independent,16,14,30
S25,32,KARANDIGHI,3,GAUTAM PAL,Independent,14,8,22
S25,32,KARANDIGHI,3,BAHAMONI HANSDA,Independent,9,11,20
S25,32,KARANDIGHI,3,BIRAJ BISWAS,Independent,39,40,79
S25,32,KARANDIGHI,3,MD. SAHABUDDIN,Independent,25,27,52
S25,32,KARANDIGHI,3,MD. FARUQUE  HOSSAIN,Independent,27,17,44
S25,32,KARANDIGHI,3,RAMESH  CHANDRA SINHA,Independent,56,42,98
S25,32,KARANDIGHI,3,SK. MOHAMMAD ALAM,Independent,149,73,222
S25,32,KARANDIGHI,3,HASIB REJA,Independent,30,23,53
S25,32,KARANDIGHI,3,NOTA,None of the Above,188,151,339
S25,32,KARANDIGHI,4,GOUTAM PAUL,All India Trinamool Congress,17914,3971,21885
S25,32,KARANDIGHI,4,NIROD BANDHU BISWAS,Bahujan Samaj Party,140,37,177
S25,32,KARANDIGHI,4,BIRAJ BISWAS,Bharatiya Janata Party,20028,6003,26031
S25,32,KARANDIGHI,4,MD. SAHABUDDIN,Communist Party of India (Marxist),4153,4520,8673
S25,32,KARANDIGHI,4,MURSID ALAM,Indian National Congress,658,143,801
S25,32,KARANDIGHI,4,SUSHANTA KUMAR SINHA,Socialist Unity Centre Of India (COMMUNIST),11,17,28
S25,32,KARANDIGHI,4,ANANDA SINGHA,Independent,30,19,49
S25,32,KARANDIGHI,4,GAUTAM PAL,Independent,22,10,32
S25,32,KARANDIGHI,4,BAHAMONI HANSDA,Independent,20,9,29
S25,32,KARANDIGHI,4,BIRAJ BISWAS,Independent,79,43,122
S25,32,KARANDIGHI,4,MD. SAHABUDDIN,Independent,52,39,91
S25,32,KARANDIGHI,4,MD. FARUQUE  HOSSAIN,Independent,44,23,67
S25,32,KARANDIGHI,4,RAMESH  CHANDRA SINHA,Independent,98,74,172
S25,32,KARANDIGHI,4,SK. MOHAMMAD ALAM,Independent,222,62,284
S25,32,KARANDIGHI,4,HASIB REJA,Independent,53,20,73
S25,32,KARANDIGHI,4,NOTA,None of the Above,339,89,428
S25,32,KARANDIGHI,5,GOUTAM PAUL,All India Trinamool Congress,21885,3882,25767
S25,32,KARANDIGHI,5,NIROD BANDHU BISWAS,Bahujan Samaj Party,177,50,227
S25,32,KARANDIGHI,5,BIRAJ BISWAS,Bharatiya Janata Party,26031,6014,32045
S25,32,KARANDIGHI,5,MD. SAHABUDDIN,Communist Party of India (Marxist),8673,2921,11594
S25,32,KARANDIGHI,5,MURSID ALAM,Indian National Congress,801,73,874
S25,32,KARANDIGHI,5,SUSHANTA KUMAR SINHA,Socialist Unity Centre Of India (COMMUNIST),28,9,37
S25,32,KARANDIGHI,5,ANANDA SINGHA,Independent,49,17,66
S25,32,KARANDIGHI,5,GAUTAM PAL,Independent,32,5,37
S25,32,KARANDIGHI,5,BAHAMONI HANSDA,Independent,29,9,38
S25,32,KARANDIGHI,5,BIRAJ BISWAS,Independent,122,36,158
S25,32,KARANDIGHI,5,MD. SAHABUDDIN,Independent,91,24,115
S25,32,KARANDIGHI,5,MD. FARUQUE  HOSSAIN,Independent,67,15,82
S25,32,KARANDIGHI,5,RAMESH  CHANDRA SINHA,Independent,172,48,220
S25,32,KARANDIGHI,5,SK. MOHAMMAD ALAM,Independent,284,47,331
S25,32,KARANDIGHI,5,HASIB REJA,Independent,73,19,92
S25,32,KARANDIGHI,5,NOTA,None of the Above,428,88,516
S25,32,KARANDIGHI,6,GOUTAM PAUL,All India Trinamool Congress,25767,5129,30896
S25,32,KARANDIGHI,6,NIROD BANDHU BISWAS,Bahujan Samaj Party,227,58,285
