State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,34,KALIAGANJ,1,UTPAL BRAHMACHARO,Bharatiya Janata Party,0,10433,10433
S25,34,KALIAGANJ,1,GIRIDHARI PRAMANIK,Indian National Congress,0,217,217
S25,34,KALIAGANJ,1,NITAI BAISHYA,All India Trinamool Congress,0,4734,4734
S25,34,KALIAGANJ,1,BASUDEB DEBSHARMA,Bahujan Samaj Party,0,42,42
S25,34,KALIAGANJ,1,HIRU ROY SARKAR,Communist Party of India (Marxist),0,219,219
S25,34,KALIAGANJ,1,ANJAY DEBSARMA,Aam Janata Unnayan party,0,16,16
S25,34,KALIAGANJ,1,DHULESH SARKAR,Socialist Unity Centre Of India (COMMUNIST),0,8,8
S25,34,KALIAGANJ,1,AJAY CHOUHAN,Independent,0,3,3
S25,34,KALIAGANJ,1,UTTAM BARMAN,Independent,0,9,9
S25,34,KALIAGANJ,1,DHARANIKANTA SARKAR,Independent,0,59,59
S25,34,KALIAGANJ,1,PANNA CHOWHAN,Independent,0,37,37
S25,34,KALIAGANJ,1,MINTU BARMAN,Independent,0,116,116
S25,34,KALIAGANJ,1,SANJIB ROY,Independent,0,53,53
S25,34,KALIAGANJ,1,NOTA,None of the Above,0,221,221
S25,34,KALIAGANJ,2,UTPAL BRAHMACHARO,Bharatiya Janata Party,10433,11094,21527
S25,34,KALIAGANJ,2,GIRIDHARI PRAMANIK,Indian National Congress,217,245,462
S25,34,KALIAGANJ,2,NITAI BAISHYA,All India Trinamool Congress,4734,5388,10122
S25,34,KALIAGANJ,2,BASUDEB DEBSHARMA,Bahujan Samaj Party,42,31,73
S25,34,KALIAGANJ,2,HIRU ROY SARKAR,Communist Party of India (Marxist),219,285,504
S25,34,KALIAGANJ,2,ANJAY DEBSARMA,Aam Janata Unnayan party,16,10,26
S25,34,KALIAGANJ,2,DHULESH SARKAR,Socialist Unity Centre Of India (COMMUNIST),8,9,17
S25,34,KALIAGANJ,2,AJAY CHOUHAN,Independent,3,14,17
S25,34,KALIAGANJ,2,UTTAM BARMAN,Independent,9,6,15
S25,34,KALIAGANJ,2,DHARANIKANTA SARKAR,Independent,59,36,95
S25,34,KALIAGANJ,2,PANNA CHOWHAN,Independent,37,23,60
S25,34,KALIAGANJ,2,MINTU BARMAN,Independent,116,81,197
S25,34,KALIAGANJ,2,SANJIB ROY,Independent,53,49,102
S25,34,KALIAGANJ,2,NOTA,None of the Above,221,227,448
S25,34,KALIAGANJ,3,UTPAL BRAHMACHARO,Bharatiya Janata Party,21527,11857,33384
S25,34,KALIAGANJ,3,GIRIDHARI PRAMANIK,Indian National Congress,462,188,650
S25,34,KALIAGANJ,3,NITAI BAISHYA,All India Trinamool Congress,10122,3867,13989
S25,34,KALIAGANJ,3,BASUDEB DEBSHARMA,Bahujan Samaj Party,73,30,103
S25,34,KALIAGANJ,3,HIRU ROY SARKAR,Communist Party of India (Marxist),504,417,921
S25,34,KALIAGANJ,3,ANJAY DEBSARMA,Aam Janata Unnayan party,26,12,38
S25,34,KALIAGANJ,3,DHULESH SARKAR,Socialist Unity Centre Of India (COMMUNIST),17,9,26
S25,34,KALIAGANJ,3,AJAY CHOUHAN,Independent,17,5,22
S25,34,KALIAGANJ,3,UTTAM BARMAN,Independent,15,3,18
S25,34,KALIAGANJ,3,DHARANIKANTA SARKAR,Independent,95,30,125
S25,34,KALIAGANJ,3,PANNA CHOWHAN,Independent,60,22,82
S25,34,KALIAGANJ,3,MINTU BARMAN,Independent,197,61,258
S25,34,KALIAGANJ,3,SANJIB ROY,Independent,102,38,140
S25,34,KALIAGANJ,3,NOTA,None of the Above,448,222,670
S25,34,KALIAGANJ,4,UTPAL BRAHMACHARO,Bharatiya Janata Party,33384,12291,45675
S25,34,KALIAGANJ,4,GIRIDHARI PRAMANIK,Indian National Congress,650,186,836
S25,34,KALIAGANJ,4,NITAI BAISHYA,All India Trinamool Congress,13989,2859,16848
S25,34,KALIAGANJ,4,BASUDEB DEBSHARMA,Bahujan Samaj Party,103,15,118
S25,34,KALIAGANJ,4,HIRU ROY SARKAR,Communist Party of India (Marxist),921,421,1342
S25,34,KALIAGANJ,4,ANJAY DEBSARMA,Aam Janata Unnayan party,38,8,46
S25,34,KALIAGANJ,4,DHULESH SARKAR,Socialist Unity Centre Of India (COMMUNIST),26,12,38
S25,34,KALIAGANJ,4,AJAY CHOUHAN,Independent,22,10,32
S25,34,KALIAGANJ,4,UTTAM BARMAN,Independent,18,12,30
S25,34,KALIAGANJ,4,DHARANIKANTA SARKAR,Independent,125,20,145
S25,34,KALIAGANJ,4,PANNA CHOWHAN,Independent,82,27,109
S25,34,KALIAGANJ,4,MINTU BARMAN,Independent,258,70,328
S25,34,KALIAGANJ,4,SANJIB ROY,Independent,140,33,173
S25,34,KALIAGANJ,4,NOTA,None of the Above,670,226,896
S25,34,KALIAGANJ,5,UTPAL BRAHMACHARO,Bharatiya Janata Party,45675,10783,56458
S25,34,KALIAGANJ,5,GIRIDHARI PRAMANIK,Indian National Congress,836,304,1140
S25,34,KALIAGANJ,5,NITAI BAISHYA,All India Trinamool Congress,16848,3993,20841
S25,34,KALIAGANJ,5,BASUDEB DEBSHARMA,Bahujan Samaj Party,118,40,158
S25,34,KALIAGANJ,5,HIRU ROY SARKAR,Communist Party of India (Marxist),1342,557,1899
S25,34,KALIAGANJ,5,ANJAY DEBSARMA,Aam Janata Unnayan party,46,7,53
S25,34,KALIAGANJ,5,DHULESH SARKAR,Socialist Unity Centre Of India (COMMUNIST),38,11,49
S25,34,KALIAGANJ,5,AJAY CHOUHAN,Independent,32,9,41
S25,34,KALIAGANJ,5,UTTAM BARMAN,Independent,30,8,38
S25,34,KALIAGANJ,5,DHARANIKANTA SARKAR,Independent,145,45,190
S25,34,KALIAGANJ,5,PANNA CHOWHAN,Independent,109,20,129
