State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,37,KUSHMANDI,1,TAPAS CHANDRA ROY,Bharatiya Janata Party,0,6443,6443
S25,37,KUSHMANDI,1,BABLU SARKAR,Indian National Congress,0,136,136
S25,37,KUSHMANDI,1,REKHA ROY,All India Trinamool Congress,0,4929,4929
S25,37,KUSHMANDI,1,JYOTIRMOY ROY,Revolutionary Socialist Party,0,486,486
S25,37,KUSHMANDI,1,KANSHA ROY,Independent,0,17,17
S25,37,KUSHMANDI,1,NIROD CANDRA ROY,Independent,0,40,40
S25,37,KUSHMANDI,1,PARESH ADHIKARI,Independent,0,77,77
S25,37,KUSHMANDI,1,JUGAL BISWAS,Independent,0,35,35
S25,37,KUSHMANDI,1,NOTA,None of the Above,0,91,91
S25,37,KUSHMANDI,2,TAPAS CHANDRA ROY,Bharatiya Janata Party,6443,7860,14303
S25,37,KUSHMANDI,2,BABLU SARKAR,Indian National Congress,136,157,293
S25,37,KUSHMANDI,2,REKHA ROY,All India Trinamool Congress,4929,4072,9001
S25,37,KUSHMANDI,2,JYOTIRMOY ROY,Revolutionary Socialist Party,486,271,757
S25,37,KUSHMANDI,2,KANSHA ROY,Independent,17,23,40
S25,37,KUSHMANDI,2,NIROD CANDRA ROY,Independent,40,40,80
S25,37,KUSHMANDI,2,PARESH ADHIKARI,Independent,77,75,152
S25,37,KUSHMANDI,2,JUGAL BISWAS,Independent,35,39,74
S25,37,KUSHMANDI,2,NOTA,None of the Above,91,126,217
S25,37,KUSHMANDI,3,TAPAS CHANDRA ROY,Bharatiya Janata Party,14303,6481,20784
S25,37,KUSHMANDI,3,BABLU SARKAR,Indian National Congress,293,152,445
S25,37,KUSHMANDI,3,REKHA ROY,All India Trinamool Congress,9001,4067,13068
S25,37,KUSHMANDI,3,JYOTIRMOY ROY,Revolutionary Socialist Party,757,479,1236
S25,37,KUSHMANDI,3,KANSHA ROY,Independent,40,12,52
S25,37,KUSHMANDI,3,NIROD CANDRA ROY,Independent,80,22,102
S25,37,KUSHMANDI,3,PARESH ADHIKARI,Independent,152,36,188
S25,37,KUSHMANDI,3,JUGAL BISWAS,Independent,74,25,99
S25,37,KUSHMANDI,3,NOTA,None of the Above,217,96,313
S25,37,KUSHMANDI,4,TAPAS CHANDRA ROY,Bharatiya Janata Party,20784,4635,25419
S25,37,KUSHMANDI,4,BABLU SARKAR,Indian National Congress,445,394,839
S25,37,KUSHMANDI,4,REKHA ROY,All India Trinamool Congress,13068,4780,17848
S25,37,KUSHMANDI,4,JYOTIRMOY ROY,Revolutionary Socialist Party,1236,401,1637
S25,37,KUSHMANDI,4,KANSHA ROY,Independent,52,18,70
S25,37,KUSHMANDI,4,NIROD CANDRA ROY,Independent,102,27,129
S25,37,KUSHMANDI,4,PARESH ADHIKARI,Independent,188,67,255
S25,37,KUSHMANDI,4,JUGAL BISWAS,Independent,99,20,119
S25,37,KUSHMANDI,4,NOTA,None of the Above,313,84,397
S25,37,KUSHMANDI,5,TAPAS CHANDRA ROY,Bharatiya Janata Party,25419,5947,31366
S25,37,KUSHMANDI,5,BABLU SARKAR,Indian National Congress,839,154,993
S25,37,KUSHMANDI,5,REKHA ROY,All India Trinamool Congress,17848,4769,22617
S25,37,KUSHMANDI,5,JYOTIRMOY ROY,Revolutionary Socialist Party,1637,417,2054
S25,37,KUSHMANDI,5,KANSHA ROY,Independent,70,13,83
S25,37,KUSHMANDI,5,NIROD CANDRA ROY,Independent,129,25,154
S25,37,KUSHMANDI,5,PARESH ADHIKARI,Independent,255,63,318
S25,37,KUSHMANDI,5,JUGAL BISWAS,Independent,119,25,144
S25,37,KUSHMANDI,5,NOTA,None of the Above,397,97,494
