State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,38,KUMARGANJ,1,GOLAM MORTUJA MONDAL,Indian National Congress,0,110,110
S25,38,KUMARGANJ,1,TORAF HOSSAIN MANDAL,All India Trinamool Congress,0,6682,6682
S25,38,KUMARGANJ,1,BIPUL TUDU,Bahujan Samaj Party,0,65,65
S25,38,KUMARGANJ,1,MOFAZZAL HOSSAIN,Communist Party of India (Marxist),0,1016,1016
S25,38,KUMARGANJ,1,SUBHENDU SARKAR,Bharatiya Janata Party,0,2613,2613
S25,38,KUMARGANJ,1,RANJIT DEV,Socialist Unity Centre Of India (COMMUNIST),0,32,32
S25,38,KUMARGANJ,1,CHARLESH KISKU,Independent,0,15,15
S25,38,KUMARGANJ,1,RUHUL AMIN HAQUE,Independent,0,55,55
S25,38,KUMARGANJ,1,NOTA,None of the Above,0,55,55
S25,38,KUMARGANJ,2,GOLAM MORTUJA MONDAL,Indian National Congress,110,233,343
S25,38,KUMARGANJ,2,TORAF HOSSAIN MANDAL,All India Trinamool Congress,6682,6746,13428
S25,38,KUMARGANJ,2,BIPUL TUDU,Bahujan Samaj Party,65,70,135
S25,38,KUMARGANJ,2,MOFAZZAL HOSSAIN,Communist Party of India (Marxist),1016,861,1877
S25,38,KUMARGANJ,2,SUBHENDU SARKAR,Bharatiya Janata Party,2613,3598,6211
S25,38,KUMARGANJ,2,RANJIT DEV,Socialist Unity Centre Of India (COMMUNIST),32,28,60
S25,38,KUMARGANJ,2,CHARLESH KISKU,Independent,15,132,147
S25,38,KUMARGANJ,2,RUHUL AMIN HAQUE,Independent,55,39,94
S25,38,KUMARGANJ,2,NOTA,None of the Above,55,55,110
S25,38,KUMARGANJ,3,GOLAM MORTUJA MONDAL,Indian National Congress,343,106,449
S25,38,KUMARGANJ,3,TORAF HOSSAIN MANDAL,All India Trinamool Congress,13428,4834,18262
S25,38,KUMARGANJ,3,BIPUL TUDU,Bahujan Samaj Party,135,62,197
S25,38,KUMARGANJ,3,MOFAZZAL HOSSAIN,Communist Party of India (Marxist),1877,485,2362
S25,38,KUMARGANJ,3,SUBHENDU SARKAR,Bharatiya Janata Party,6211,4744,10955
S25,38,KUMARGANJ,3,RANJIT DEV,Socialist Unity Centre Of India (COMMUNIST),60,51,111
S25,38,KUMARGANJ,3,CHARLESH KISKU,Independent,147,17,164
S25,38,KUMARGANJ,3,RUHUL AMIN HAQUE,Independent,94,37,131
S25,38,KUMARGANJ,3,NOTA,None of the Above,110,42,152
S25,38,KUMARGANJ,4,GOLAM MORTUJA MONDAL,Indian National Congress,449,92,541
S25,38,KUMARGANJ,4,TORAF HOSSAIN MANDAL,All India Trinamool Congress,18262,6695,24957
S25,38,KUMARGANJ,4,BIPUL TUDU,Bahujan Samaj Party,197,54,251
S25,38,KUMARGANJ,4,MOFAZZAL HOSSAIN,Communist Party of India (Marxist),2362,397,2759
S25,38,KUMARGANJ,4,SUBHENDU SARKAR,Bharatiya Janata Party,10955,4332,15287
S25,38,KUMARGANJ,4,RANJIT DEV,Socialist Unity Centre Of India (COMMUNIST),111,43,154
S25,38,KUMARGANJ,4,CHARLESH KISKU,Independent,164,30,194
S25,38,KUMARGANJ,4,RUHUL AMIN HAQUE,Independent,131,53,184
S25,38,KUMARGANJ,4,NOTA,None of the Above,152,53,205
S25,38,KUMARGANJ,5,GOLAM MORTUJA MONDAL,Indian National Congress,541,102,643
S25,38,KUMARGANJ,5,TORAF HOSSAIN MANDAL,All India Trinamool Congress,24957,7214,32171
S25,38,KUMARGANJ,5,BIPUL TUDU,Bahujan Samaj Party,251,51,302
S25,38,KUMARGANJ,5,MOFAZZAL HOSSAIN,Communist Party of India (Marxist),2759,762,3521
S25,38,KUMARGANJ,5,SUBHENDU SARKAR,Bharatiya Janata Party,15287,3162,18449
S25,38,KUMARGANJ,5,RANJIT DEV,Socialist Unity Centre Of India (COMMUNIST),154,25,179
S25,38,KUMARGANJ,5,CHARLESH KISKU,Independent,194,22,216
S25,38,KUMARGANJ,5,RUHUL AMIN HAQUE,Independent,184,43,227
S25,38,KUMARGANJ,5,NOTA,None of the Above,205,41,246
S25,38,KUMARGANJ,6,GOLAM MORTUJA MONDAL,Indian National Congress,643,56,699
S25,38,KUMARGANJ,6,TORAF HOSSAIN MANDAL,All India Trinamool Congress,32171,4793,36964
S25,38,KUMARGANJ,6,BIPUL TUDU,Bahujan Samaj Party,302,60,362
S25,38,KUMARGANJ,6,MOFAZZAL HOSSAIN,Communist Party of India (Marxist),3521,711,4232
S25,38,KUMARGANJ,6,SUBHENDU SARKAR,Bharatiya Janata Party,18449,5845,24294
S25,38,KUMARGANJ,6,RANJIT DEV,Socialist Unity Centre Of India (COMMUNIST),179,60,239
S25,38,KUMARGANJ,6,CHARLESH KISKU,Independent,216,17,233
S25,38,KUMARGANJ,6,RUHUL AMIN HAQUE,Independent,227,32,259
S25,38,KUMARGANJ,6,NOTA,None of the Above,246,60,306
S25,38,KUMARGANJ,7,GOLAM MORTUJA MONDAL,Indian National Congress,699,91,790
S25,38,KUMARGANJ,7,TORAF HOSSAIN MANDAL,All India Trinamool Congress,36964,5271,42235
S25,38,KUMARGANJ,7,BIPUL TUDU,Bahujan Samaj Party,362,64,426
S25,38,KUMARGANJ,7,MOFAZZAL HOSSAIN,Communist Party of India (Marxist),4232,491,4723
S25,38,KUMARGANJ,7,SUBHENDU SARKAR,Bharatiya Janata Party,24294,5405,29699
S25,38,KUMARGANJ,7,RANJIT DEV,Socialist Unity Centre Of India (COMMUNIST),239,65,304
S25,38,KUMARGANJ,7,CHARLESH KISKU,Independent,233,17,250
S25,38,KUMARGANJ,7,RUHUL AMIN HAQUE,Independent,259,32,291
S25,38,KUMARGANJ,7,NOTA,None of the Above,306,62,368
S25,38,KUMARGANJ,8,GOLAM MORTUJA MONDAL,Indian National Congress,790,53,843
S25,38,KUMARGANJ,8,TORAF HOSSAIN MANDAL,All India Trinamool Congress,42235,4795,47030
S25,38,KUMARGANJ,8,BIPUL TUDU,Bahujan Samaj Party,426,53,479
S25,38,KUMARGANJ,8,MOFAZZAL HOSSAIN,Communist Party of India (Marxist),4723,713,5436
S25,38,KUMARGANJ,8,SUBHENDU SARKAR,Bharatiya Janata Party,29699,4909,34608
S25,38,KUMARGANJ,8,RANJIT DEV,Socialist Unity Centre Of India (COMMUNIST),304,46,350
S25,38,KUMARGANJ,8,CHARLESH KISKU,Independent,250,18,268
S25,38,KUMARGANJ,8,RUHUL AMIN HAQUE,Independent,291,34,325
S25,38,KUMARGANJ,8,NOTA,None of the Above,368,48,416
S25,38,KUMARGANJ,9,GOLAM MORTUJA MONDAL,Indian National Congress,843,88,931
S25,38,KUMARGANJ,9,TORAF HOSSAIN MANDAL,All India Trinamool Congress,47030,6379,53409
S25,38,KUMARGANJ,9,BIPUL TUDU,Bahujan Samaj Party,479,60,539
S25,38,KUMARGANJ,9,MOFAZZAL HOSSAIN,Communist Party of India (Marxist),5436,1843,7279
S25,38,KUMARGANJ,9,SUBHENDU SARKAR,Bharatiya Janata Party,34608,3313,37921
S25,38,KUMARGANJ,9,RANJIT DEV,Socialist Unity Centre Of India (COMMUNIST),350,33,383
S25,38,KUMARGANJ,9,CHARLESH KISKU,Independent,268,24,292
S25,38,KUMARGANJ,9,RUHUL AMIN HAQUE,Independent,325,32,357
S25,38,KUMARGANJ,9,NOTA,None of the Above,416,37,453
S25,38,KUMARGANJ,10,GOLAM MORTUJA MONDAL,Indian National Congress,931,69,1000
S25,38,KUMARGANJ,10,TORAF HOSSAIN MANDAL,All India Trinamool Congress,53409,5048,58457
S25,38,KUMARGANJ,10,BIPUL TUDU,Bahujan Samaj Party,539,61,600
S25,38,KUMARGANJ,10,MOFAZZAL HOSSAIN,Communist Party of India (Marxist),7279,640,7919
S25,38,KUMARGANJ,10,SUBHENDU SARKAR,Bharatiya Janata Party,37921,4371,42292
S25,38,KUMARGANJ,10,RANJIT DEV,Socialist Unity Centre Of India (COMMUNIST),383,43,426
S25,38,KUMARGANJ,10,CHARLESH KISKU,Independent,292,25,317
S25,38,KUMARGANJ,10,RUHUL AMIN HAQUE,Independent,357,27,384
S25,38,KUMARGANJ,10,NOTA,None of the Above,453,51,504
