State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,39,BALURGHAT,1,ARPITA GHOSH,All India Trinamool Congress,0,2438,2438
S25,39,BALURGHAT,1,PRADIP KUMAR MITRA,Indian National Congress,0,92,92
S25,39,BALURGHAT,1,BIDYUT KUMAR ROY,Bharatiya Janata Party,0,6964,6964
S25,39,BALURGHAT,1,JOGESH CHANDRA MURMU,Bahujan Samaj Party,0,35,35
S25,39,BALURGHAT,1,ARNAB CHOWDHURY,Revolutionary Socialist Party,0,648,648
S25,39,BALURGHAT,1,NAMITA MAHANTA (POLI),Socialist Unity Centre Of India (COMMUNIST),0,13,13
S25,39,BALURGHAT,1,NAROTTAM SAHA,Amra Bangalee,0,5,5
S25,39,BALURGHAT,1,MASUMA KHATUN,Aam Janata Unnayan party,0,7,7
S25,39,BALURGHAT,1,DIPANKAR BARMAN,Independent,0,9,9
S25,39,BALURGHAT,1,DULAL BARMAN,Independent,0,16,16
S25,39,BALURGHAT,1,PRADYUT KUMAR SAHA,Independent,0,17,17
S25,39,BALURGHAT,1,MITHUN BARMAN,Independent,0,26,26
S25,39,BALURGHAT,1,SUSHIL MARDI,Independent,0,33,33
S25,39,BALURGHAT,1,NOTA,None of the Above,0,96,96
S25,39,BALURGHAT,2,ARPITA GHOSH,All India Trinamool Congress,2438,2358,4796
S25,39,BALURGHAT,2,PRADIP KUMAR MITRA,Indian National Congress,92,109,201
S25,39,BALURGHAT,2,BIDYUT KUMAR ROY,Bharatiya Janata Party,6964,6486,13450
S25,39,BALURGHAT,2,JOGESH CHANDRA MURMU,Bahujan Samaj Party,35,21,56
S25,39,BALURGHAT,2,ARNAB CHOWDHURY,Revolutionary Socialist Party,648,843,1491
S25,39,BALURGHAT,2,NAMITA MAHANTA (POLI),Socialist Unity Centre Of India (COMMUNIST),13,26,39
S25,39,BALURGHAT,2,NAROTTAM SAHA,Amra Bangalee,5,8,13
S25,39,BALURGHAT,2,MASUMA KHATUN,Aam Janata Unnayan party,7,1,8
S25,39,BALURGHAT,2,DIPANKAR BARMAN,Independent,9,5,14
S25,39,BALURGHAT,2,DULAL BARMAN,Independent,16,7,23
S25,39,BALURGHAT,2,PRADYUT KUMAR SAHA,Independent,17,12,29
S25,39,BALURGHAT,2,MITHUN BARMAN,Independent,26,17,43
S25,39,BALURGHAT,2,SUSHIL MARDI,Independent,33,30,63
S25,39,BALURGHAT,2,NOTA,None of the Above,96,104,200
S25,39,BALURGHAT,3,ARPITA GHOSH,All India Trinamool Congress,4796,2801,7597
S25,39,BALURGHAT,3,PRADIP KUMAR MITRA,Indian National Congress,201,100,301
S25,39,BALURGHAT,3,BIDYUT KUMAR ROY,Bharatiya Janata Party,13450,6716,20166
S25,39,BALURGHAT,3,JOGESH CHANDRA MURMU,Bahujan Samaj Party,56,33,89
S25,39,BALURGHAT,3,ARNAB CHOWDHURY,Revolutionary Socialist Party,1491,695,2186
S25,39,BALURGHAT,3,NAMITA MAHANTA (POLI),Socialist Unity Centre Of India (COMMUNIST),39,18,57
S25,39,BALURGHAT,3,NAROTTAM SAHA,Amra Bangalee,13,13,26
S25,39,BALURGHAT,3,MASUMA KHATUN,Aam Janata Unnayan party,8,0,8
S25,39,BALURGHAT,3,DIPANKAR BARMAN,Independent,14,5,19
S25,39,BALURGHAT,3,DULAL BARMAN,Independent,23,8,31
S25,39,BALURGHAT,3,PRADYUT KUMAR SAHA,Independent,29,13,42
S25,39,BALURGHAT,3,MITHUN BARMAN,Independent,43,35,78
S25,39,BALURGHAT,3,SUSHIL MARDI,Independent,63,24,87
S25,39,BALURGHAT,3,NOTA,None of the Above,200,78,278
S25,39,BALURGHAT,4,ARPITA GHOSH,All India Trinamool Congress,7597,2565,10162
S25,39,BALURGHAT,4,PRADIP KUMAR MITRA,Indian National Congress,301,91,392
S25,39,BALURGHAT,4,BIDYUT KUMAR ROY,Bharatiya Janata Party,20166,5697,25863
S25,39,BALURGHAT,4,JOGESH CHANDRA MURMU,Bahujan Samaj Party,89,15,104
S25,39,BALURGHAT,4,ARNAB CHOWDHURY,Revolutionary Socialist Party,2186,700,2886
S25,39,BALURGHAT,4,NAMITA MAHANTA (POLI),Socialist Unity Centre Of India (COMMUNIST),57,16,73
S25,39,BALURGHAT,4,NAROTTAM SAHA,Amra Bangalee,26,4,30
S25,39,BALURGHAT,4,MASUMA KHATUN,Aam Janata Unnayan party,8,4,12
S25,39,BALURGHAT,4,DIPANKAR BARMAN,Independent,19,6,25
S25,39,BALURGHAT,4,DULAL BARMAN,Independent,31,11,42
