State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,40,TAPAN,1,CHINTAMANI BIHA,All India Trinamool Congress,0,5052,5052
S25,40,TAPAN,1,JYOTI KUJUR,Bahujan Samaj Party,0,67,67
S25,40,TAPAN,1,BANKIM CHANDRA TOPPO,Indian National Congress,0,84,84
S25,40,TAPAN,1,BUDHRAI TUDU,Bharatiya Janata Party,0,5628,5628
S25,40,TAPAN,1,BAPPAI HORO,Revolutionary Socialist Party,0,313,313
S25,40,TAPAN,1,BIKASH NONA,Socialist Unity Centre Of India (COMMUNIST),0,12,12
S25,40,TAPAN,1,MANUEL HANSADA,Aam Janata Unnayan party,0,14,14
S25,40,TAPAN,1,AVIJIT BASKEY,Independent,0,19,19
S25,40,TAPAN,1,ARJUN MARDI,Independent,0,17,17
S25,40,TAPAN,1,BRIJESH HEMBRAM,Independent,0,20,20
S25,40,TAPAN,1,SUKANTA KISKU,Independent,0,24,24
S25,40,TAPAN,1,NOTA,None of the Above,0,86,86
S25,40,TAPAN,2,CHINTAMANI BIHA,All India Trinamool Congress,5052,6472,11524
S25,40,TAPAN,2,JYOTI KUJUR,Bahujan Samaj Party,67,67,134
S25,40,TAPAN,2,BANKIM CHANDRA TOPPO,Indian National Congress,84,113,197
S25,40,TAPAN,2,BUDHRAI TUDU,Bharatiya Janata Party,5628,3671,9299
S25,40,TAPAN,2,BAPPAI HORO,Revolutionary Socialist Party,313,338,651
S25,40,TAPAN,2,BIKASH NONA,Socialist Unity Centre Of India (COMMUNIST),12,12,24
S25,40,TAPAN,2,MANUEL HANSADA,Aam Janata Unnayan party,14,15,29
S25,40,TAPAN,2,AVIJIT BASKEY,Independent,19,21,40
S25,40,TAPAN,2,ARJUN MARDI,Independent,17,13,30
S25,40,TAPAN,2,BRIJESH HEMBRAM,Independent,20,15,35
S25,40,TAPAN,2,SUKANTA KISKU,Independent,24,27,51
S25,40,TAPAN,2,NOTA,None of the Above,86,70,156
S25,40,TAPAN,3,CHINTAMANI BIHA,All India Trinamool Congress,11524,4596,16120
S25,40,TAPAN,3,JYOTI KUJUR,Bahujan Samaj Party,134,45,179
S25,40,TAPAN,3,BANKIM CHANDRA TOPPO,Indian National Congress,197,118,315
S25,40,TAPAN,3,BUDHRAI TUDU,Bharatiya Janata Party,9299,6235,15534
S25,40,TAPAN,3,BAPPAI HORO,Revolutionary Socialist Party,651,316,967
S25,40,TAPAN,3,BIKASH NONA,Socialist Unity Centre Of India (COMMUNIST),24,9,33
S25,40,TAPAN,3,MANUEL HANSADA,Aam Janata Unnayan party,29,11,40
S25,40,TAPAN,3,AVIJIT BASKEY,Independent,40,23,63
S25,40,TAPAN,3,ARJUN MARDI,Independent,30,27,57
S25,40,TAPAN,3,BRIJESH HEMBRAM,Independent,35,13,48
S25,40,TAPAN,3,SUKANTA KISKU,Independent,51,21,72
S25,40,TAPAN,3,NOTA,None of the Above,156,85,241
S25,40,TAPAN,4,CHINTAMANI BIHA,All India Trinamool Congress,16120,5208,21328
S25,40,TAPAN,4,JYOTI KUJUR,Bahujan Samaj Party,179,86,265
