State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,43,HABIBPUR,1,AMAL KISKU,All India Trinamool Congress,0,3618,3618
S25,43,HABIBPUR,1,JOYEL MURMU,Bharatiya Janata Party,0,7349,7349
S25,43,HABIBPUR,1,BASUDEV MURMU,Communist Party of India (Marxist),0,253,253
S25,43,HABIBPUR,1,RAJEN SOREN,Indian National Congress,0,100,100
S25,43,HABIBPUR,1,NICHOLAS SOREN,Kamatapur People's Party (United),0,10,10
S25,43,HABIBPUR,1,BABULAL HASDA,Aam Janata Unnayan party,0,11,11
S25,43,HABIBPUR,1,BIMAL MURMU,Socialist Unity Centre Of India (COMMUNIST),0,9,9
S25,43,HABIBPUR,1,BABURAM KISKU,Independent,0,103,103
S25,43,HABIBPUR,1,MANJLA MARDI,Independent,0,27,27
S25,43,HABIBPUR,1,LAKHIN HEMBROM,Independent,0,35,35
S25,43,HABIBPUR,1,NOTA,None of the Above,0,79,79
S25,43,HABIBPUR,2,AMAL KISKU,All India Trinamool Congress,3618,2996,6614
S25,43,HABIBPUR,2,JOYEL MURMU,Bharatiya Janata Party,7349,6789,14138
S25,43,HABIBPUR,2,BASUDEV MURMU,Communist Party of India (Marxist),253,372,625
S25,43,HABIBPUR,2,RAJEN SOREN,Indian National Congress,100,64,164
S25,43,HABIBPUR,2,NICHOLAS SOREN,Kamatapur People's Party (United),10,14,24
S25,43,HABIBPUR,2,BABULAL HASDA,Aam Janata Unnayan party,11,9,20
S25,43,HABIBPUR,2,BIMAL MURMU,Socialist Unity Centre Of India (COMMUNIST),9,3,12
S25,43,HABIBPUR,2,BABURAM KISKU,Independent,103,44,147
S25,43,HABIBPUR,2,MANJLA MARDI,Independent,27,25,52
S25,43,HABIBPUR,2,LAKHIN HEMBROM,Independent,35,41,76
S25,43,HABIBPUR,2,NOTA,None of the Above,79,94,173
S25,43,HABIBPUR,3,AMAL KISKU,All India Trinamool Congress,6614,3123,9737
S25,43,HABIBPUR,3,JOYEL MURMU,Bharatiya Janata Party,14138,7238,21376
S25,43,HABIBPUR,3,BASUDEV MURMU,Communist Party of India (Marxist),625,298,923
S25,43,HABIBPUR,3,RAJEN SOREN,Indian National Congress,164,66,230
S25,43,HABIBPUR,3,NICHOLAS SOREN,Kamatapur People's Party (United),24,22,46
S25,43,HABIBPUR,3,BABULAL HASDA,Aam Janata Unnayan party,20,32,52
S25,43,HABIBPUR,3,BIMAL MURMU,Socialist Unity Centre Of India (COMMUNIST),12,11,23
S25,43,HABIBPUR,3,BABURAM KISKU,Independent,147,202,349
S25,43,HABIBPUR,3,MANJLA MARDI,Independent,52,70,122
S25,43,HABIBPUR,3,LAKHIN HEMBROM,Independent,76,62,138
S25,43,HABIBPUR,3,NOTA,None of the Above,173,102,275
S25,43,HABIBPUR,4,AMAL KISKU,All India Trinamool Congress,9737,3731,13468
S25,43,HABIBPUR,4,JOYEL MURMU,Bharatiya Janata Party,21376,7204,28580
S25,43,HABIBPUR,4,BASUDEV MURMU,Communist Party of India (Marxist),923,252,1175
S25,43,HABIBPUR,4,RAJEN SOREN,Indian National Congress,230,65,295
S25,43,HABIBPUR,4,NICHOLAS SOREN,Kamatapur People's Party (United),46,15,61
S25,43,HABIBPUR,4,BABULAL HASDA,Aam Janata Unnayan party,52,17,69
S25,43,HABIBPUR,4,BIMAL MURMU,Socialist Unity Centre Of India (COMMUNIST),23,6,29
S25,43,HABIBPUR,4,BABURAM KISKU,Independent,349,27,376
S25,43,HABIBPUR,4,MANJLA MARDI,Independent,122,57,179
S25,43,HABIBPUR,4,LAKHIN HEMBROM,Independent,138,83,221
S25,43,HABIBPUR,4,NOTA,None of the Above,275,107,382
S25,43,HABIBPUR,5,AMAL KISKU,All India Trinamool Congress,13468,3365,16833
S25,43,HABIBPUR,5,JOYEL MURMU,Bharatiya Janata Party,28580,6804,35384
S25,43,HABIBPUR,5,BASUDEV MURMU,Communist Party of India (Marxist),1175,370,1545
S25,43,HABIBPUR,5,RAJEN SOREN,Indian National Congress,295,92,387
S25,43,HABIBPUR,5,NICHOLAS SOREN,Kamatapur People's Party (United),61,24,85
S25,43,HABIBPUR,5,BABULAL HASDA,Aam Janata Unnayan party,69,15,84
S25,43,HABIBPUR,5,BIMAL MURMU,Socialist Unity Centre Of India (COMMUNIST),29,18,47
S25,43,HABIBPUR,5,BABURAM KISKU,Independent,376,50,426
S25,43,HABIBPUR,5,MANJLA MARDI,Independent,179,39,218
S25,43,HABIBPUR,5,LAKHIN HEMBROM,Independent,221,61,282
S25,43,HABIBPUR,5,NOTA,None of the Above,382,82,464
S25,43,HABIBPUR,6,AMAL KISKU,All India Trinamool Congress,16833,3086,19919
S25,43,HABIBPUR,6,JOYEL MURMU,Bharatiya Janata Party,35384,7021,42405
S25,43,HABIBPUR,6,BASUDEV MURMU,Communist Party of India (Marxist),1545,511,2056
S25,43,HABIBPUR,6,RAJEN SOREN,Indian National Congress,387,107,494
S25,43,HABIBPUR,6,NICHOLAS SOREN,Kamatapur People's Party (United),85,7,92
S25,43,HABIBPUR,6,BABULAL HASDA,Aam Janata Unnayan party,84,14,98
S25,43,HABIBPUR,6,BIMAL MURMU,Socialist Unity Centre Of India (COMMUNIST),47,8,55
S25,43,HABIBPUR,6,BABURAM KISKU,Independent,426,121,547
S25,43,HABIBPUR,6,MANJLA MARDI,Independent,218,36,254
S25,43,HABIBPUR,6,LAKHIN HEMBROM,Independent,282,45,327
S25,43,HABIBPUR,6,NOTA,None of the Above,464,74,538
S25,43,HABIBPUR,7,AMAL KISKU,All India Trinamool Congress,19919,2732,22651
S25,43,HABIBPUR,7,JOYEL MURMU,Bharatiya Janata Party,42405,8285,50690
S25,43,HABIBPUR,7,BASUDEV MURMU,Communist Party of India (Marxist),2056,303,2359
S25,43,HABIBPUR,7,RAJEN SOREN,Indian National Congress,494,92,586
S25,43,HABIBPUR,7,NICHOLAS SOREN,Kamatapur People's Party (United),92,45,137
S25,43,HABIBPUR,7,BABULAL HASDA,Aam Janata Unnayan party,98,10,108
S25,43,HABIBPUR,7,BIMAL MURMU,Socialist Unity Centre Of India (COMMUNIST),55,12,67
S25,43,HABIBPUR,7,BABURAM KISKU,Independent,547,31,578
S25,43,HABIBPUR,7,MANJLA MARDI,Independent,254,17,271
S25,43,HABIBPUR,7,LAKHIN HEMBROM,Independent,327,45,372
S25,43,HABIBPUR,7,NOTA,None of the Above,538,97,635
S25,43,HABIBPUR,8,AMAL KISKU,All India Trinamool Congress,22651,2498,25149
S25,43,HABIBPUR,8,JOYEL MURMU,Bharatiya Janata Party,50690,8309,58999
S25,43,HABIBPUR,8,BASUDEV MURMU,Communist Party of India (Marxist),2359,231,2590
S25,43,HABIBPUR,8,RAJEN SOREN,Indian National Congress,586,62,648
S25,43,HABIBPUR,8,NICHOLAS SOREN,Kamatapur People's Party (United),137,27,164
S25,43,HABIBPUR,8,BABULAL HASDA,Aam Janata Unnayan party,108,15,123
S25,43,HABIBPUR,8,BIMAL MURMU,Socialist Unity Centre Of India (COMMUNIST),67,10,77
S25,43,HABIBPUR,8,BABURAM KISKU,Independent,578,43,621
S25,43,HABIBPUR,8,MANJLA MARDI,Independent,271,24,295
S25,43,HABIBPUR,8,LAKHIN HEMBROM,Independent,372,57,429
S25,43,HABIBPUR,8,NOTA,None of the Above,635,72,707
