State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,44,GAZOLE,1,KSHITISH CHANDRA SARKAR,Communist Party of India (Marxist),0,446,446
S25,44,GAZOLE,1,CHINMOY DEB BARMAN,Bharatiya Janata Party,0,7590,7590
S25,44,GAZOLE,1,PRASENJIT DAS,All India Trinamool Congress,0,4521,4521
S25,44,GAZOLE,1,PREM CHOWDHURY,Indian National Congress,0,269,269
S25,44,GAZOLE,1,SUDIPTA ROY,Bahujan Samaj Party,0,25,25
S25,44,GAZOLE,1,MINOTI SARKAR,Mulnibasi Party of India,0,4,4
S25,44,GAZOLE,1,RATAN ROY,Aam Janata Unnayan party,0,23,23
S25,44,GAZOLE,1,SUPEN KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),0,6,6
S25,44,GAZOLE,1,SUSHIL CHANDRA BARMAN,Ambedkarite Party of India,0,35,35
S25,44,GAZOLE,1,UJJWAL BARMAN,Independent,0,6,6
S25,44,GAZOLE,1,CHANDAN MANDAL,Independent,0,11,11
S25,44,GAZOLE,1,BIJOY KUMAR BISWAS,Independent,0,40,40
S25,44,GAZOLE,1,MIRANA SARKAR,Independent,0,48,48
S25,44,GAZOLE,1,NOTA,None of the Above,0,34,34
S25,44,GAZOLE,2,KSHITISH CHANDRA SARKAR,Communist Party of India (Marxist),446,137,583
S25,44,GAZOLE,2,CHINMOY DEB BARMAN,Bharatiya Janata Party,7590,3344,10934
S25,44,GAZOLE,2,PRASENJIT DAS,All India Trinamool Congress,4521,5917,10438
S25,44,GAZOLE,2,PREM CHOWDHURY,Indian National Congress,269,920,1189
S25,44,GAZOLE,2,SUDIPTA ROY,Bahujan Samaj Party,25,21,46
S25,44,GAZOLE,2,MINOTI SARKAR,Mulnibasi Party of India,4,5,9
S25,44,GAZOLE,2,RATAN ROY,Aam Janata Unnayan party,23,6,29
S25,44,GAZOLE,2,SUPEN KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),6,7,13
S25,44,GAZOLE,2,SUSHIL CHANDRA BARMAN,Ambedkarite Party of India,35,34,69
S25,44,GAZOLE,2,UJJWAL BARMAN,Independent,6,7,13
S25,44,GAZOLE,2,CHANDAN MANDAL,Independent,11,14,25
S25,44,GAZOLE,2,BIJOY KUMAR BISWAS,Independent,40,46,86
S25,44,GAZOLE,2,MIRANA SARKAR,Independent,48,48,96
S25,44,GAZOLE,2,NOTA,None of the Above,34,51,85
S25,44,GAZOLE,3,KSHITISH CHANDRA SARKAR,Communist Party of India (Marxist),583,554,1137
S25,44,GAZOLE,3,CHINMOY DEB BARMAN,Bharatiya Janata Party,10934,5595,16529
S25,44,GAZOLE,3,PRASENJIT DAS,All India Trinamool Congress,10438,4910,15348
S25,44,GAZOLE,3,PREM CHOWDHURY,Indian National Congress,1189,144,1333
S25,44,GAZOLE,3,SUDIPTA ROY,Bahujan Samaj Party,46,19,65
S25,44,GAZOLE,3,MINOTI SARKAR,Mulnibasi Party of India,9,15,24
S25,44,GAZOLE,3,RATAN ROY,Aam Janata Unnayan party,29,17,46
S25,44,GAZOLE,3,SUPEN KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),13,9,22
S25,44,GAZOLE,3,SUSHIL CHANDRA BARMAN,Ambedkarite Party of India,69,52,121
S25,44,GAZOLE,3,UJJWAL BARMAN,Independent,13,14,27
S25,44,GAZOLE,3,CHANDAN MANDAL,Independent,25,15,40
S25,44,GAZOLE,3,BIJOY KUMAR BISWAS,Independent,86,49,135
S25,44,GAZOLE,3,MIRANA SARKAR,Independent,96,64,160
S25,44,GAZOLE,3,NOTA,None of the Above,85,81,166
S25,44,GAZOLE,4,KSHITISH CHANDRA SARKAR,Communist Party of India (Marxist),1137,316,1453
S25,44,GAZOLE,4,CHINMOY DEB BARMAN,Bharatiya Janata Party,16529,5402,21931
S25,44,GAZOLE,4,PRASENJIT DAS,All India Trinamool Congress,15348,5405,20753
S25,44,GAZOLE,4,PREM CHOWDHURY,Indian National Congress,1333,183,1516
S25,44,GAZOLE,4,SUDIPTA ROY,Bahujan Samaj Party,65,25,90
S25,44,GAZOLE,4,MINOTI SARKAR,Mulnibasi Party of India,24,9,33
S25,44,GAZOLE,4,RATAN ROY,Aam Janata Unnayan party,46,33,79
S25,44,GAZOLE,4,SUPEN KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),22,10,32
S25,44,GAZOLE,4,SUSHIL CHANDRA BARMAN,Ambedkarite Party of India,121,36,157
S25,44,GAZOLE,4,UJJWAL BARMAN,Independent,27,17,44
S25,44,GAZOLE,4,CHANDAN MANDAL,Independent,40,18,58
S25,44,GAZOLE,4,BIJOY KUMAR BISWAS,Independent,135,44,179
S25,44,GAZOLE,4,MIRANA SARKAR,Independent,160,59,219
S25,44,GAZOLE,4,NOTA,None of the Above,166,59,225
S25,44,GAZOLE,5,KSHITISH CHANDRA SARKAR,Communist Party of India (Marxist),1453,408,1861
S25,44,GAZOLE,5,CHINMOY DEB BARMAN,Bharatiya Janata Party,21931,4114,26045
