State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,46,HARISCHANDRAPUR,1,MOSTAQUE ALAM,Indian National Congress,0,1983,1983
S25,46,HARISCHANDRAPUR,1,EFRAJUL HOQUE,Bahujan Samaj Party,0,63,63
S25,46,HARISCHANDRAPUR,1,MD. MATIBUR RAHAMAN,All India Trinamool Congress,0,5793,5793
S25,46,HARISCHANDRAPUR,1,RATAN DAS,Bharatiya Janata Party,0,3198,3198
S25,46,HARISCHANDRAPUR,1,SK KHALIL,Communist Party of India (Marxist),0,432,432
S25,46,HARISCHANDRAPUR,1,MD OLIUR RAHAMAN,Rastriya Aam Jan Seva Party,0,21,21
S25,46,HARISCHANDRAPUR,1,MOHD. TAFAZZUL HAQUE,Aam Janata Unnayan party,0,15,15
S25,46,HARISCHANDRAPUR,1,MUSARAF HOSSAIN,Socialist Unity Centre Of India (COMMUNIST),0,18,18
S25,46,HARISCHANDRAPUR,1,KISHOR SHARMA,Independent,0,14,14
S25,46,HARISCHANDRAPUR,1,PHATIK KUMAR DAS,Independent,0,47,47
S25,46,HARISCHANDRAPUR,1,BHUDEB DAS,Independent,0,53,53
S25,46,HARISCHANDRAPUR,1,MD. SERAJUDDIN,Independent,0,20,20
S25,46,HARISCHANDRAPUR,1,NOTA,None of the Above,0,52,52
S25,46,HARISCHANDRAPUR,2,MOSTAQUE ALAM,Indian National Congress,1983,2004,3987
S25,46,HARISCHANDRAPUR,2,EFRAJUL HOQUE,Bahujan Samaj Party,63,40,103
S25,46,HARISCHANDRAPUR,2,MD. MATIBUR RAHAMAN,All India Trinamool Congress,5793,6810,12603
S25,46,HARISCHANDRAPUR,2,RATAN DAS,Bharatiya Janata Party,3198,1254,4452
S25,46,HARISCHANDRAPUR,2,SK KHALIL,Communist Party of India (Marxist),432,1070,1502
S25,46,HARISCHANDRAPUR,2,MD OLIUR RAHAMAN,Rastriya Aam Jan Seva Party,21,16,37
S25,46,HARISCHANDRAPUR,2,MOHD. TAFAZZUL HAQUE,Aam Janata Unnayan party,15,12,27
S25,46,HARISCHANDRAPUR,2,MUSARAF HOSSAIN,Socialist Unity Centre Of India (COMMUNIST),18,7,25
S25,46,HARISCHANDRAPUR,2,KISHOR SHARMA,Independent,14,5,19
S25,46,HARISCHANDRAPUR,2,PHATIK KUMAR DAS,Independent,47,36,83
S25,46,HARISCHANDRAPUR,2,BHUDEB DAS,Independent,53,73,126
S25,46,HARISCHANDRAPUR,2,MD. SERAJUDDIN,Independent,20,9,29
S25,46,HARISCHANDRAPUR,2,NOTA,None of the Above,52,43,95
S25,46,HARISCHANDRAPUR,3,MOSTAQUE ALAM,Indian National Congress,3987,469,4456
S25,46,HARISCHANDRAPUR,3,EFRAJUL HOQUE,Bahujan Samaj Party,103,42,145
S25,46,HARISCHANDRAPUR,3,MD. MATIBUR RAHAMAN,All India Trinamool Congress,12603,6632,19235
S25,46,HARISCHANDRAPUR,3,RATAN DAS,Bharatiya Janata Party,4452,3561,8013
S25,46,HARISCHANDRAPUR,3,SK KHALIL,Communist Party of India (Marxist),1502,716,2218
S25,46,HARISCHANDRAPUR,3,MD OLIUR RAHAMAN,Rastriya Aam Jan Seva Party,37,15,52
S25,46,HARISCHANDRAPUR,3,MOHD. TAFAZZUL HAQUE,Aam Janata Unnayan party,27,21,48
