State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,49,MANIKCHAK,1,ANSARUL HAQUE (KALU),Indian National Congress,0,92,92
S25,49,MANIKCHAK,1,KABITA MANDAL,All India Trinamool Congress,0,815,815
S25,49,MANIKCHAK,1,GOUR CHANDRA MANDAL,Bharatiya Janata Party,0,7807,7807
S25,49,MANIKCHAK,1,DEBAJYOTI SINHA (BABU),Communist Party of India (Marxist),0,209,209
S25,49,MANIKCHAK,1,MD TOHIDUR RAHAMAN,Aam Janata Unnayan party,0,25,25
S25,49,MANIKCHAK,1,AMAL KUMAR RABIDAS,Independent,0,38,38
S25,49,MANIKCHAK,1,MD SARIFUL,Independent,0,36,36
S25,49,MANIKCHAK,1,NOTA,None of the Above,0,79,79
S25,49,MANIKCHAK,2,ANSARUL HAQUE (KALU),Indian National Congress,92,233,325
S25,49,MANIKCHAK,2,KABITA MANDAL,All India Trinamool Congress,815,1716,2531
S25,49,MANIKCHAK,2,GOUR CHANDRA MANDAL,Bharatiya Janata Party,7807,8034,15841
S25,49,MANIKCHAK,2,DEBAJYOTI SINHA (BABU),Communist Party of India (Marxist),209,161,370
S25,49,MANIKCHAK,2,MD TOHIDUR RAHAMAN,Aam Janata Unnayan party,25,28,53
S25,49,MANIKCHAK,2,AMAL KUMAR RABIDAS,Independent,38,30,68
S25,49,MANIKCHAK,2,MD SARIFUL,Independent,36,20,56
S25,49,MANIKCHAK,2,NOTA,None of the Above,79,56,135
S25,49,MANIKCHAK,3,ANSARUL HAQUE (KALU),Indian National Congress,325,755,1080
S25,49,MANIKCHAK,3,KABITA MANDAL,All India Trinamool Congress,2531,4778,7309
S25,49,MANIKCHAK,3,GOUR CHANDRA MANDAL,Bharatiya Janata Party,15841,4184,20025
S25,49,MANIKCHAK,3,DEBAJYOTI SINHA (BABU),Communist Party of India (Marxist),370,338,708
S25,49,MANIKCHAK,3,MD TOHIDUR RAHAMAN,Aam Janata Unnayan party,53,24,77
S25,49,MANIKCHAK,3,AMAL KUMAR RABIDAS,Independent,68,34,102
S25,49,MANIKCHAK,3,MD SARIFUL,Independent,56,36,92
S25,49,MANIKCHAK,3,NOTA,None of the Above,135,63,198
S25,49,MANIKCHAK,4,ANSARUL HAQUE (KALU),Indian National Congress,1080,148,1228
S25,49,MANIKCHAK,4,KABITA MANDAL,All India Trinamool Congress,7309,2480,9789
S25,49,MANIKCHAK,4,GOUR CHANDRA MANDAL,Bharatiya Janata Party,20025,8756,28781
S25,49,MANIKCHAK,4,DEBAJYOTI SINHA (BABU),Communist Party of India (Marxist),708,267,975
S25,49,MANIKCHAK,4,MD TOHIDUR RAHAMAN,Aam Janata Unnayan party,77,31,108
S25,49,MANIKCHAK,4,AMAL KUMAR RABIDAS,Independent,102,44,146
S25,49,MANIKCHAK,4,MD SARIFUL,Independent,92,36,128
S25,49,MANIKCHAK,4,NOTA,None of the Above,198,56,254
S25,49,MANIKCHAK,5,ANSARUL HAQUE (KALU),Indian National Congress,1228,267,1495
S25,49,MANIKCHAK,5,KABITA MANDAL,All India Trinamool Congress,9789,4287,14076
S25,49,MANIKCHAK,5,GOUR CHANDRA MANDAL,Bharatiya Janata Party,28781,5476,34257
S25,49,MANIKCHAK,5,DEBAJYOTI SINHA (BABU),Communist Party of India (Marxist),975,614,1589
S25,49,MANIKCHAK,5,MD TOHIDUR RAHAMAN,Aam Janata Unnayan party,108,25,133
S25,49,MANIKCHAK,5,AMAL KUMAR RABIDAS,Independent,146,27,173
S25,49,MANIKCHAK,5,MD SARIFUL,Independent,128,45,173
S25,49,MANIKCHAK,5,NOTA,None of the Above,254,48,302
S25,49,MANIKCHAK,6,ANSARUL HAQUE (KALU),Indian National Congress,1495,445,1940
S25,49,MANIKCHAK,6,KABITA MANDAL,All India Trinamool Congress,14076,7352,21428
S25,49,MANIKCHAK,6,GOUR CHANDRA MANDAL,Bharatiya Janata Party,34257,4252,38509
S25,49,MANIKCHAK,6,DEBAJYOTI SINHA (BABU),Communist Party of India (Marxist),1589,882,2471
S25,49,MANIKCHAK,6,MD TOHIDUR RAHAMAN,Aam Janata Unnayan party,133,36,169
S25,49,MANIKCHAK,6,AMAL KUMAR RABIDAS,Independent,173,29,202
S25,49,MANIKCHAK,6,MD SARIFUL,Independent,173,70,243
S25,49,MANIKCHAK,6,NOTA,None of the Above,302,68,370
S25,49,MANIKCHAK,7,ANSARUL HAQUE (KALU),Indian National Congress,1940,181,2121
S25,49,MANIKCHAK,7,KABITA MANDAL,All India Trinamool Congress,21428,2988,24416
S25,49,MANIKCHAK,7,GOUR CHANDRA MANDAL,Bharatiya Janata Party,38509,6200,44709
S25,49,MANIKCHAK,7,DEBAJYOTI SINHA (BABU),Communist Party of India (Marxist),2471,308,2779
S25,49,MANIKCHAK,7,MD TOHIDUR RAHAMAN,Aam Janata Unnayan party,169,32,201
S25,49,MANIKCHAK,7,AMAL KUMAR RABIDAS,Independent,202,34,236
