State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,50,MALDAHA,1,GOPAL CHANDRA SAHA,Bharatiya Janata Party,0,6307,6307
S25,50,MALDAHA,1,BHUPENDRA NATH HALDER (ARJUN),Indian National Congress,0,981,981
S25,50,MALDAHA,1,LIPIKA BARMAN GHOSH,All India Trinamool Congress,0,3932,3932
S25,50,MALDAHA,1,HARIDAS KARMAKAR,Bahujan Samaj Party,0,64,64
S25,50,MALDAHA,1,KALYAN RAJBANSHI,Aam Janata Unnayan party,0,31,31
S25,50,MALDAHA,1,DIPAK BARMAN,Communist Party of India,0,126,126
S25,50,MALDAHA,1,BASUDEB SARKAR,Socialist Unity Centre Of India (COMMUNIST),0,13,13
S25,50,MALDAHA,1,SURAJIT HALDER,Kamatapur People's Party (United),0,8,8
S25,50,MALDAHA,1,NITAI MANDAL,Independent,0,98,98
S25,50,MALDAHA,1,MATINDRA NATH RAJBANSHI,Independent,0,53,53
S25,50,MALDAHA,1,SANTANU ROY,Independent,0,76,76
S25,50,MALDAHA,1,SUMITRA SARKAR,Independent,0,45,45
S25,50,MALDAHA,1,NOTA,None of the Above,0,124,124
S25,50,MALDAHA,2,GOPAL CHANDRA SAHA,Bharatiya Janata Party,6307,2703,9010
S25,50,MALDAHA,2,BHUPENDRA NATH HALDER (ARJUN),Indian National Congress,981,599,1580
S25,50,MALDAHA,2,LIPIKA BARMAN GHOSH,All India Trinamool Congress,3932,5463,9395
S25,50,MALDAHA,2,HARIDAS KARMAKAR,Bahujan Samaj Party,64,65,129
S25,50,MALDAHA,2,KALYAN RAJBANSHI,Aam Janata Unnayan party,31,23,54
S25,50,MALDAHA,2,DIPAK BARMAN,Communist Party of India,126,100,226
S25,50,MALDAHA,2,BASUDEB SARKAR,Socialist Unity Centre Of India (COMMUNIST),13,21,34
S25,50,MALDAHA,2,SURAJIT HALDER,Kamatapur People's Party (United),8,13,21
S25,50,MALDAHA,2,NITAI MANDAL,Independent,98,76,174
S25,50,MALDAHA,2,MATINDRA NATH RAJBANSHI,Independent,53,27,80
S25,50,MALDAHA,2,SANTANU ROY,Independent,76,95,171
S25,50,MALDAHA,2,SUMITRA SARKAR,Independent,45,32,77
S25,50,MALDAHA,2,NOTA,None of the Above,124,78,202
S25,50,MALDAHA,3,GOPAL CHANDRA SAHA,Bharatiya Janata Party,9010,6375,15385
S25,50,MALDAHA,3,BHUPENDRA NATH HALDER (ARJUN),Indian National Congress,1580,376,1956
