State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,58,JANGIPUR,1,ALOKE KUMAR DAS,Communist Party of India (Marxist),0,104,104
S25,58,JANGIPUR,1,CHITTA MUKHERJEE,Bharatiya Janata Party,0,6191,6191
S25,58,JANGIPUR,1,JAKIR HOSSAIN,All India Trinamool Congress,0,3590,3590
S25,58,JANGIPUR,1,MOHAMMAD IMRAN ALI,Indian National Congress,0,841,841
S25,58,JANGIPUR,1,PRABIR HALDER,Bhartiya Lokmat Rashtrawadi Party,0,15,15
S25,58,JANGIPUR,1,BAPI SK,Bharatiya Nyay-Adhikar Raksha Party,0,11,11
S25,58,JANGIPUR,1,MD HASANUZZAMAN,Aam Janata Unnayan party,0,39,39
S25,58,JANGIPUR,1,MIRZA NASHIR UDDIN,Socialist Unity Centre Of India (COMMUNIST),0,55,55
S25,58,JANGIPUR,1,SOMA SAHA DAS,Independent,0,52,52
S25,58,JANGIPUR,1,NOTA,None of the Above,0,62,62
S25,58,JANGIPUR,2,ALOKE KUMAR DAS,Communist Party of India (Marxist),104,94,198
S25,58,JANGIPUR,2,CHITTA MUKHERJEE,Bharatiya Janata Party,6191,4706,10897
S25,58,JANGIPUR,2,JAKIR HOSSAIN,All India Trinamool Congress,3590,3048,6638
S25,58,JANGIPUR,2,MOHAMMAD IMRAN ALI,Indian National Congress,841,698,1539
S25,58,JANGIPUR,2,PRABIR HALDER,Bhartiya Lokmat Rashtrawadi Party,15,10,25
S25,58,JANGIPUR,2,BAPI SK,Bharatiya Nyay-Adhikar Raksha Party,11,17,28
S25,58,JANGIPUR,2,MD HASANUZZAMAN,Aam Janata Unnayan party,39,33,72
S25,58,JANGIPUR,2,MIRZA NASHIR UDDIN,Socialist Unity Centre Of India (COMMUNIST),55,90,145
S25,58,JANGIPUR,2,SOMA SAHA DAS,Independent,52,51,103
S25,58,JANGIPUR,2,NOTA,None of the Above,62,61,123
S25,58,JANGIPUR,3,ALOKE KUMAR DAS,Communist Party of India (Marxist),198,144,342
S25,58,JANGIPUR,3,CHITTA MUKHERJEE,Bharatiya Janata Party,10897,6232,17129
S25,58,JANGIPUR,3,JAKIR HOSSAIN,All India Trinamool Congress,6638,2369,9007
S25,58,JANGIPUR,3,MOHAMMAD IMRAN ALI,Indian National Congress,1539,492,2031
S25,58,JANGIPUR,3,PRABIR HALDER,Bhartiya Lokmat Rashtrawadi Party,25,14,39
S25,58,JANGIPUR,3,BAPI SK,Bharatiya Nyay-Adhikar Raksha Party,28,8,36
S25,58,JANGIPUR,3,MD HASANUZZAMAN,Aam Janata Unnayan party,72,31,103
S25,58,JANGIPUR,3,MIRZA NASHIR UDDIN,Socialist Unity Centre Of India (COMMUNIST),145,54,199
S25,58,JANGIPUR,3,SOMA SAHA DAS,Independent,103,57,160
S25,58,JANGIPUR,3,NOTA,None of the Above,123,48,171
S25,58,JANGIPUR,4,ALOKE KUMAR DAS,Communist Party of India (Marxist),342,92,434
S25,58,JANGIPUR,4,CHITTA MUKHERJEE,Bharatiya Janata Party,17129,2565,19694
S25,58,JANGIPUR,4,JAKIR HOSSAIN,All India Trinamool Congress,9007,4957,13964
S25,58,JANGIPUR,4,MOHAMMAD IMRAN ALI,Indian National Congress,2031,1313,3344
S25,58,JANGIPUR,4,PRABIR HALDER,Bhartiya Lokmat Rashtrawadi Party,39,14,53
S25,58,JANGIPUR,4,BAPI SK,Bharatiya Nyay-Adhikar Raksha Party,36,14,50
S25,58,JANGIPUR,4,MD HASANUZZAMAN,Aam Janata Unnayan party,103,48,151
S25,58,JANGIPUR,4,MIRZA NASHIR UDDIN,Socialist Unity Centre Of India (COMMUNIST),199,132,331
S25,58,JANGIPUR,4,SOMA SAHA DAS,Independent,160,46,206
S25,58,JANGIPUR,4,NOTA,None of the Above,171,42,213
S25,58,JANGIPUR,5,ALOKE KUMAR DAS,Communist Party of India (Marxist),434,171,605
S25,58,JANGIPUR,5,CHITTA MUKHERJEE,Bharatiya Janata Party,19694,6592,26286
S25,58,JANGIPUR,5,JAKIR HOSSAIN,All India Trinamool Congress,13964,5395,19359
S25,58,JANGIPUR,5,MOHAMMAD IMRAN ALI,Indian National Congress,3344,738,4082
S25,58,JANGIPUR,5,PRABIR HALDER,Bhartiya Lokmat Rashtrawadi Party,53,6,59
S25,58,JANGIPUR,5,BAPI SK,Bharatiya Nyay-Adhikar Raksha Party,50,7,57
S25,58,JANGIPUR,5,MD HASANUZZAMAN,Aam Janata Unnayan party,151,36,187
S25,58,JANGIPUR,5,MIRZA NASHIR UDDIN,Socialist Unity Centre Of India (COMMUNIST),331,96,427
S25,58,JANGIPUR,5,SOMA SAHA DAS,Independent,206,92,298
S25,58,JANGIPUR,5,NOTA,None of the Above,213,71,284
S25,58,JANGIPUR,6,ALOKE KUMAR DAS,Communist Party of India (Marxist),605,175,780
S25,58,JANGIPUR,6,CHITTA MUKHERJEE,Bharatiya Janata Party,26286,7124,33410
S25,58,JANGIPUR,6,JAKIR HOSSAIN,All India Trinamool Congress,19359,1777,21136
S25,58,JANGIPUR,6,MOHAMMAD IMRAN ALI,Indian National Congress,4082,549,4631
S25,58,JANGIPUR,6,PRABIR HALDER,Bhartiya Lokmat Rashtrawadi Party,59,5,64
S25,58,JANGIPUR,6,BAPI SK,Bharatiya Nyay-Adhikar Raksha Party,57,14,71
S25,58,JANGIPUR,6,MD HASANUZZAMAN,Aam Janata Unnayan party,187,24,211
S25,58,JANGIPUR,6,MIRZA NASHIR UDDIN,Socialist Unity Centre Of India (COMMUNIST),427,48,475
S25,58,JANGIPUR,6,SOMA SAHA DAS,Independent,298,66,364
S25,58,JANGIPUR,6,NOTA,None of the Above,284,44,328
