State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,62,BHAGAWANGOLA,1,ANJU BEGAM,Indian National Congress,0,1425,1425
S25,62,BHAGAWANGOLA,1,BHASKAR SARKAR,Bharatiya Janata Party,0,3845,3845
S25,62,BHAGAWANGOLA,1,MAHAMUDAL HASAN,Communist Party of India (Marxist),0,1122,1122
S25,62,BHAGAWANGOLA,1,REYAT HOSSAIN SARKAR,All India Trinamool Congress,0,3474,3474
S25,62,BHAGAWANGOLA,1,OMAR KHAYYAM (ZIKO),Socialist Unity Centre Of India (COMMUNIST),0,39,39
S25,62,BHAGAWANGOLA,1,MD. NURUL ISLAM,Vikas India Party,0,13,13
S25,62,BHAGAWANGOLA,1,HUMAYUN KABIR,Aam Janata Unnayan party,0,115,115
S25,62,BHAGAWANGOLA,1,EMON SAYED,Independent,0,26,26
S25,62,BHAGAWANGOLA,1,MD. AKRAMUL HOQUE,Independent,0,35,35
S25,62,BHAGAWANGOLA,1,NOTA,None of the Above,0,43,43
S25,62,BHAGAWANGOLA,2,ANJU BEGAM,Indian National Congress,1425,1635,3060
S25,62,BHAGAWANGOLA,2,BHASKAR SARKAR,Bharatiya Janata Party,3845,3179,7024
S25,62,BHAGAWANGOLA,2,MAHAMUDAL HASAN,Communist Party of India (Marxist),1122,2183,3305
S25,62,BHAGAWANGOLA,2,REYAT HOSSAIN SARKAR,All India Trinamool Congress,3474,4218,7692
S25,62,BHAGAWANGOLA,2,OMAR KHAYYAM (ZIKO),Socialist Unity Centre Of India (COMMUNIST),39,77,116
S25,62,BHAGAWANGOLA,2,MD. NURUL ISLAM,Vikas India Party,13,30,43
S25,62,BHAGAWANGOLA,2,HUMAYUN KABIR,Aam Janata Unnayan party,115,385,500
S25,62,BHAGAWANGOLA,2,EMON SAYED,Independent,26,31,57
S25,62,BHAGAWANGOLA,2,MD. AKRAMUL HOQUE,Independent,35,39,74
S25,62,BHAGAWANGOLA,2,NOTA,None of the Above,43,55,98
S25,62,BHAGAWANGOLA,3,ANJU BEGAM,Indian National Congress,3060,1079,4139
S25,62,BHAGAWANGOLA,3,BHASKAR SARKAR,Bharatiya Janata Party,7024,1952,8976
S25,62,BHAGAWANGOLA,3,MAHAMUDAL HASAN,Communist Party of India (Marxist),3305,2151,5456
S25,62,BHAGAWANGOLA,3,REYAT HOSSAIN SARKAR,All India Trinamool Congress,7692,5863,13555
S25,62,BHAGAWANGOLA,3,OMAR KHAYYAM (ZIKO),Socialist Unity Centre Of India (COMMUNIST),116,84,200
S25,62,BHAGAWANGOLA,3,MD. NURUL ISLAM,Vikas India Party,43,37,80
S25,62,BHAGAWANGOLA,3,HUMAYUN KABIR,Aam Janata Unnayan party,500,583,1083
S25,62,BHAGAWANGOLA,3,EMON SAYED,Independent,57,43,100
S25,62,BHAGAWANGOLA,3,MD. AKRAMUL HOQUE,Independent,74,41,115
S25,62,BHAGAWANGOLA,3,NOTA,None of the Above,98,66,164
S25,62,BHAGAWANGOLA,4,ANJU BEGAM,Indian National Congress,4139,1943,6082
S25,62,BHAGAWANGOLA,4,BHASKAR SARKAR,Bharatiya Janata Party,8976,1000,9976
S25,62,BHAGAWANGOLA,4,MAHAMUDAL HASAN,Communist Party of India (Marxist),5456,1483,6939
S25,62,BHAGAWANGOLA,4,REYAT HOSSAIN SARKAR,All India Trinamool Congress,13555,6230,19785
S25,62,BHAGAWANGOLA,4,OMAR KHAYYAM (ZIKO),Socialist Unity Centre Of India (COMMUNIST),200,38,238
S25,62,BHAGAWANGOLA,4,MD. NURUL ISLAM,Vikas India Party,80,18,98
S25,62,BHAGAWANGOLA,4,HUMAYUN KABIR,Aam Janata Unnayan party,1083,166,1249
S25,62,BHAGAWANGOLA,4,EMON SAYED,Independent,100,21,121
S25,62,BHAGAWANGOLA,4,MD. AKRAMUL HOQUE,Independent,115,21,136
S25,62,BHAGAWANGOLA,4,NOTA,None of the Above,164,57,221
S25,62,BHAGAWANGOLA,5,ANJU BEGAM,Indian National Congress,6082,1153,7235
S25,62,BHAGAWANGOLA,5,BHASKAR SARKAR,Bharatiya Janata Party,9976,1815,11791
S25,62,BHAGAWANGOLA,5,MAHAMUDAL HASAN,Communist Party of India (Marxist),6939,2131,9070
S25,62,BHAGAWANGOLA,5,REYAT HOSSAIN SARKAR,All India Trinamool Congress,19785,4622,24407
S25,62,BHAGAWANGOLA,5,OMAR KHAYYAM (ZIKO),Socialist Unity Centre Of India (COMMUNIST),238,73,311
S25,62,BHAGAWANGOLA,5,MD. NURUL ISLAM,Vikas India Party,98,17,115
S25,62,BHAGAWANGOLA,5,HUMAYUN KABIR,Aam Janata Unnayan party,1249,204,1453
S25,62,BHAGAWANGOLA,5,EMON SAYED,Independent,121,22,143
S25,62,BHAGAWANGOLA,5,MD. AKRAMUL HOQUE,Independent,136,27,163
S25,62,BHAGAWANGOLA,5,NOTA,None of the Above,221,64,285
S25,62,BHAGAWANGOLA,6,ANJU BEGAM,Indian National Congress,7235,1303,8538
S25,62,BHAGAWANGOLA,6,BHASKAR SARKAR,Bharatiya Janata Party,11791,885,12676
S25,62,BHAGAWANGOLA,6,MAHAMUDAL HASAN,Communist Party of India (Marxist),9070,3278,12348
S25,62,BHAGAWANGOLA,6,REYAT HOSSAIN SARKAR,All India Trinamool Congress,24407,5411,29818
S25,62,BHAGAWANGOLA,6,OMAR KHAYYAM (ZIKO),Socialist Unity Centre Of India (COMMUNIST),311,85,396
S25,62,BHAGAWANGOLA,6,MD. NURUL ISLAM,Vikas India Party,115,32,147
S25,62,BHAGAWANGOLA,6,HUMAYUN KABIR,Aam Janata Unnayan party,1453,375,1828
S25,62,BHAGAWANGOLA,6,EMON SAYED,Independent,143,32,175
S25,62,BHAGAWANGOLA,6,MD. AKRAMUL HOQUE,Independent,163,25,188
S25,62,BHAGAWANGOLA,6,NOTA,None of the Above,285,54,339
S25,62,BHAGAWANGOLA,7,ANJU BEGAM,Indian National Congress,8538,849,9387
S25,62,BHAGAWANGOLA,7,BHASKAR SARKAR,Bharatiya Janata Party,12676,700,13376
S25,62,BHAGAWANGOLA,7,MAHAMUDAL HASAN,Communist Party of India (Marxist),12348,1832,14180
S25,62,BHAGAWANGOLA,7,REYAT HOSSAIN SARKAR,All India Trinamool Congress,29818,5434,35252
S25,62,BHAGAWANGOLA,7,OMAR KHAYYAM (ZIKO),Socialist Unity Centre Of India (COMMUNIST),396,65,461
S25,62,BHAGAWANGOLA,7,MD. NURUL ISLAM,Vikas India Party,147,21,168
S25,62,BHAGAWANGOLA,7,HUMAYUN KABIR,Aam Janata Unnayan party,1828,250,2078
S25,62,BHAGAWANGOLA,7,EMON SAYED,Independent,175,30,205
S25,62,BHAGAWANGOLA,7,MD. AKRAMUL HOQUE,Independent,188,25,213
S25,62,BHAGAWANGOLA,7,NOTA,None of the Above,339,79,418
S25,62,BHAGAWANGOLA,8,ANJU BEGAM,Indian National Congress,9387,562,9949
S25,62,BHAGAWANGOLA,8,BHASKAR SARKAR,Bharatiya Janata Party,13376,192,13568
S25,62,BHAGAWANGOLA,8,MAHAMUDAL HASAN,Communist Party of India (Marxist),14180,2827,17007
S25,62,BHAGAWANGOLA,8,REYAT HOSSAIN SARKAR,All India Trinamool Congress,35252,5621,40873
S25,62,BHAGAWANGOLA,8,OMAR KHAYYAM (ZIKO),Socialist Unity Centre Of India (COMMUNIST),461,74,535
S25,62,BHAGAWANGOLA,8,MD. NURUL ISLAM,Vikas India Party,168,18,186
S25,62,BHAGAWANGOLA,8,HUMAYUN KABIR,Aam Janata Unnayan party,2078,486,2564
S25,62,BHAGAWANGOLA,8,EMON SAYED,Independent,205,29,234
S25,62,BHAGAWANGOLA,8,MD. AKRAMUL HOQUE,Independent,213,21,234
S25,62,BHAGAWANGOLA,8,NOTA,None of the Above,418,37,455
S25,62,BHAGAWANGOLA,9,ANJU BEGAM,Indian National Congress,9949,1309,11258
S25,62,BHAGAWANGOLA,9,BHASKAR SARKAR,Bharatiya Janata Party,13568,416,13984
S25,62,BHAGAWANGOLA,9,MAHAMUDAL HASAN,Communist Party of India (Marxist),17007,3605,20612
S25,62,BHAGAWANGOLA,9,REYAT HOSSAIN SARKAR,All India Trinamool Congress,40873,5589,46462
S25,62,BHAGAWANGOLA,9,OMAR KHAYYAM (ZIKO),Socialist Unity Centre Of India (COMMUNIST),535,115,650
S25,62,BHAGAWANGOLA,9,MD. NURUL ISLAM,Vikas India Party,186,31,217
S25,62,BHAGAWANGOLA,9,HUMAYUN KABIR,Aam Janata Unnayan party,2564,183,2747
S25,62,BHAGAWANGOLA,9,EMON SAYED,Independent,234,29,263
S25,62,BHAGAWANGOLA,9,MD. AKRAMUL HOQUE,Independent,234,27,261
S25,62,BHAGAWANGOLA,9,NOTA,None of the Above,455,46,501
S25,62,BHAGAWANGOLA,10,ANJU BEGAM,Indian National Congress,11258,1609,12867
S25,62,BHAGAWANGOLA,10,BHASKAR SARKAR,Bharatiya Janata Party,13984,242,14226
S25,62,BHAGAWANGOLA,10,MAHAMUDAL HASAN,Communist Party of India (Marxist),20612,2572,23184
