State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,64,MURSHIDABAD,1,ABDUL MANNAN,All India Forward Bloc,0,133,133
S25,64,MURSHIDABAD,1,ALI SIDDIQUE,Indian National Congress,0,215,215
S25,64,MURSHIDABAD,1,GOURI SANKAR GHOSH,Bharatiya Janata Party,0,7247,7247
S25,64,MURSHIDABAD,1,PRALLAD MAHATO,Bahujan Samaj Party,0,53,53
S25,64,MURSHIDABAD,1,SHAONI SINGHA ROY,All India Trinamool Congress,0,3173,3173
S25,64,MURSHIDABAD,1,MILIA SAJEM,Socialist Unity Centre Of India (COMMUNIST),0,74,74
S25,64,MURSHIDABAD,1,MIR HASNAT ALI,Aam Janata Unnayan party,0,41,41
S25,64,MURSHIDABAD,1,CHAMPA BIBI,Independent,0,71,71
S25,64,MURSHIDABAD,1,SAHABUDDIN SK,Independent,0,29,29
S25,64,MURSHIDABAD,1,NOTA,None of the Above,0,66,66
S25,64,MURSHIDABAD,2,ABDUL MANNAN,All India Forward Bloc,133,129,262
S25,64,MURSHIDABAD,2,ALI SIDDIQUE,Indian National Congress,215,173,388
S25,64,MURSHIDABAD,2,GOURI SANKAR GHOSH,Bharatiya Janata Party,7247,6890,14137
S25,64,MURSHIDABAD,2,PRALLAD MAHATO,Bahujan Samaj Party,53,57,110
S25,64,MURSHIDABAD,2,SHAONI SINGHA ROY,All India Trinamool Congress,3173,2610,5783
S25,64,MURSHIDABAD,2,MILIA SAJEM,Socialist Unity Centre Of India (COMMUNIST),74,58,132
S25,64,MURSHIDABAD,2,MIR HASNAT ALI,Aam Janata Unnayan party,41,36,77
S25,64,MURSHIDABAD,2,CHAMPA BIBI,Independent,71,65,136
S25,64,MURSHIDABAD,2,SAHABUDDIN SK,Independent,29,20,49
S25,64,MURSHIDABAD,2,NOTA,None of the Above,66,79,145
S25,64,MURSHIDABAD,3,ABDUL MANNAN,All India Forward Bloc,262,147,409
S25,64,MURSHIDABAD,3,ALI SIDDIQUE,Indian National Congress,388,241,629
S25,64,MURSHIDABAD,3,GOURI SANKAR GHOSH,Bharatiya Janata Party,14137,7174,21311
S25,64,MURSHIDABAD,3,PRALLAD MAHATO,Bahujan Samaj Party,110,45,155
S25,64,MURSHIDABAD,3,SHAONI SINGHA ROY,All India Trinamool Congress,5783,2769,8552
S25,64,MURSHIDABAD,3,MILIA SAJEM,Socialist Unity Centre Of India (COMMUNIST),132,58,190
S25,64,MURSHIDABAD,3,MIR HASNAT ALI,Aam Janata Unnayan party,77,36,113
S25,64,MURSHIDABAD,3,CHAMPA BIBI,Independent,136,65,201
S25,64,MURSHIDABAD,3,SAHABUDDIN SK,Independent,49,11,60
S25,64,MURSHIDABAD,3,NOTA,None of the Above,145,57,202
S25,64,MURSHIDABAD,4,ABDUL MANNAN,All India Forward Bloc,409,160,569
S25,64,MURSHIDABAD,4,ALI SIDDIQUE,Indian National Congress,629,298,927
S25,64,MURSHIDABAD,4,GOURI SANKAR GHOSH,Bharatiya Janata Party,21311,7055,28366
S25,64,MURSHIDABAD,4,PRALLAD MAHATO,Bahujan Samaj Party,155,69,224
S25,64,MURSHIDABAD,4,SHAONI SINGHA ROY,All India Trinamool Congress,8552,3263,11815
S25,64,MURSHIDABAD,4,MILIA SAJEM,Socialist Unity Centre Of India (COMMUNIST),190,81,271
S25,64,MURSHIDABAD,4,MIR HASNAT ALI,Aam Janata Unnayan party,113,82,195
S25,64,MURSHIDABAD,4,CHAMPA BIBI,Independent,201,105,306
S25,64,MURSHIDABAD,4,SAHABUDDIN SK,Independent,60,20,80
S25,64,MURSHIDABAD,4,NOTA,None of the Above,202,69,271
S25,64,MURSHIDABAD,5,ABDUL MANNAN,All India Forward Bloc,569,113,682
S25,64,MURSHIDABAD,5,ALI SIDDIQUE,Indian National Congress,927,179,1106
S25,64,MURSHIDABAD,5,GOURI SANKAR GHOSH,Bharatiya Janata Party,28366,7366,35732
S25,64,MURSHIDABAD,5,PRALLAD MAHATO,Bahujan Samaj Party,224,53,277
S25,64,MURSHIDABAD,5,SHAONI SINGHA ROY,All India Trinamool Congress,11815,1734,13549
S25,64,MURSHIDABAD,5,MILIA SAJEM,Socialist Unity Centre Of India (COMMUNIST),271,30,301
S25,64,MURSHIDABAD,5,MIR HASNAT ALI,Aam Janata Unnayan party,195,33,228
S25,64,MURSHIDABAD,5,CHAMPA BIBI,Independent,306,86,392
S25,64,MURSHIDABAD,5,SAHABUDDIN SK,Independent,80,15,95
S25,64,MURSHIDABAD,5,NOTA,None of the Above,271,48,319
S25,64,MURSHIDABAD,6,ABDUL MANNAN,All India Forward Bloc,682,99,781
S25,64,MURSHIDABAD,6,ALI SIDDIQUE,Indian National Congress,1106,110,1216
S25,64,MURSHIDABAD,6,GOURI SANKAR GHOSH,Bharatiya Janata Party,35732,8773,44505
S25,64,MURSHIDABAD,6,PRALLAD MAHATO,Bahujan Samaj Party,277,57,334
S25,64,MURSHIDABAD,6,SHAONI SINGHA ROY,All India Trinamool Congress,13549,1573,15122
S25,64,MURSHIDABAD,6,MILIA SAJEM,Socialist Unity Centre Of India (COMMUNIST),301,48,349
S25,64,MURSHIDABAD,6,MIR HASNAT ALI,Aam Janata Unnayan party,228,50,278
S25,64,MURSHIDABAD,6,CHAMPA BIBI,Independent,392,95,487
S25,64,MURSHIDABAD,6,SAHABUDDIN SK,Independent,95,20,115
S25,64,MURSHIDABAD,6,NOTA,None of the Above,319,75,394
S25,64,MURSHIDABAD,7,ABDUL MANNAN,All India Forward Bloc,781,573,1354
S25,64,MURSHIDABAD,7,ALI SIDDIQUE,Indian National Congress,1216,1189,2405
S25,64,MURSHIDABAD,7,GOURI SANKAR GHOSH,Bharatiya Janata Party,44505,689,45194
S25,64,MURSHIDABAD,7,PRALLAD MAHATO,Bahujan Samaj Party,334,75,409
S25,64,MURSHIDABAD,7,SHAONI SINGHA ROY,All India Trinamool Congress,15122,6716,21838
S25,64,MURSHIDABAD,7,MILIA SAJEM,Socialist Unity Centre Of India (COMMUNIST),349,116,465
S25,64,MURSHIDABAD,7,MIR HASNAT ALI,Aam Janata Unnayan party,278,193,471
S25,64,MURSHIDABAD,7,CHAMPA BIBI,Independent,487,54,541
