State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,66,KHARGRAM,1,ASHIS MARJIT,All India Trinamool Congress,0,5157,5157
S25,66,KHARGRAM,1,DHRUBAJOTI SAHA,Communist Party of India (Marxist),0,4585,4585
S25,66,KHARGRAM,1,MANDER KANTI MONDAL,Indian National Congress,0,1226,1226
S25,66,KHARGRAM,1,MITALI MAL,Bharatiya Janata Party,0,4041,4041
S25,66,KHARGRAM,1,SAILESWAR MONDAL,Bahujan Samaj Party,0,35,35
S25,66,KHARGRAM,1,JADAB DAS,Aam Janata Unnayan party,0,49,49
S25,66,KHARGRAM,1,BHUBAN MOHAN SAHA,Independent,0,47,47
S25,66,KHARGRAM,1,MANIK KUMAR DAS,Independent,0,47,47
S25,66,KHARGRAM,1,RAJEN MEHANA,Independent,0,53,53
S25,66,KHARGRAM,1,NOTA,None of the Above,0,142,142
S25,66,KHARGRAM,2,ASHIS MARJIT,All India Trinamool Congress,5157,4564,9721
S25,66,KHARGRAM,2,DHRUBAJOTI SAHA,Communist Party of India (Marxist),4585,1656,6241
S25,66,KHARGRAM,2,MANDER KANTI MONDAL,Indian National Congress,1226,648,1874
S25,66,KHARGRAM,2,MITALI MAL,Bharatiya Janata Party,4041,8387,12428
S25,66,KHARGRAM,2,SAILESWAR MONDAL,Bahujan Samaj Party,35,51,86
S25,66,KHARGRAM,2,JADAB DAS,Aam Janata Unnayan party,49,35,84
S25,66,KHARGRAM,2,BHUBAN MOHAN SAHA,Independent,47,52,99
S25,66,KHARGRAM,2,MANIK KUMAR DAS,Independent,47,43,90
S25,66,KHARGRAM,2,RAJEN MEHANA,Independent,53,37,90
S25,66,KHARGRAM,2,NOTA,None of the Above,142,150,292
S25,66,KHARGRAM,3,ASHIS MARJIT,All India Trinamool Congress,9721,4687,14408
S25,66,KHARGRAM,3,DHRUBAJOTI SAHA,Communist Party of India (Marxist),6241,2704,8945
S25,66,KHARGRAM,3,MANDER KANTI MONDAL,Indian National Congress,1874,777,2651
S25,66,KHARGRAM,3,MITALI MAL,Bharatiya Janata Party,12428,6186,18614
S25,66,KHARGRAM,3,SAILESWAR MONDAL,Bahujan Samaj Party,86,42,128
S25,66,KHARGRAM,3,JADAB DAS,Aam Janata Unnayan party,84,42,126
S25,66,KHARGRAM,3,BHUBAN MOHAN SAHA,Independent,99,38,137
S25,66,KHARGRAM,3,MANIK KUMAR DAS,Independent,90,40,130
S25,66,KHARGRAM,3,RAJEN MEHANA,Independent,90,37,127
S25,66,KHARGRAM,3,NOTA,None of the Above,292,102,394
S25,66,KHARGRAM,4,ASHIS MARJIT,All India Trinamool Congress,14408,4887,19295
S25,66,KHARGRAM,4,DHRUBAJOTI SAHA,Communist Party of India (Marxist),8945,2452,11397
S25,66,KHARGRAM,4,MANDER KANTI MONDAL,Indian National Congress,2651,768,3419
S25,66,KHARGRAM,4,MITALI MAL,Bharatiya Janata Party,18614,6295,24909
S25,66,KHARGRAM,4,SAILESWAR MONDAL,Bahujan Samaj Party,128,57,185
S25,66,KHARGRAM,4,JADAB DAS,Aam Janata Unnayan party,126,40,166
S25,66,KHARGRAM,4,BHUBAN MOHAN SAHA,Independent,137,52,189
S25,66,KHARGRAM,4,MANIK KUMAR DAS,Independent,130,20,150
S25,66,KHARGRAM,4,RAJEN MEHANA,Independent,127,41,168
S25,66,KHARGRAM,4,NOTA,None of the Above,394,146,540
S25,66,KHARGRAM,5,ASHIS MARJIT,All India Trinamool Congress,19295,5238,24533
S25,66,KHARGRAM,5,DHRUBAJOTI SAHA,Communist Party of India (Marxist),11397,5462,16859
S25,66,KHARGRAM,5,MANDER KANTI MONDAL,Indian National Congress,3419,1391,4810
S25,66,KHARGRAM,5,MITALI MAL,Bharatiya Janata Party,24909,2504,27413
S25,66,KHARGRAM,5,SAILESWAR MONDAL,Bahujan Samaj Party,185,46,231
S25,66,KHARGRAM,5,JADAB DAS,Aam Janata Unnayan party,166,46,212
S25,66,KHARGRAM,5,BHUBAN MOHAN SAHA,Independent,189,29,218
S25,66,KHARGRAM,5,MANIK KUMAR DAS,Independent,150,41,191
S25,66,KHARGRAM,5,RAJEN MEHANA,Independent,168,58,226
S25,66,KHARGRAM,5,NOTA,None of the Above,540,99,639
S25,66,KHARGRAM,6,ASHIS MARJIT,All India Trinamool Congress,24533,9124,33657
S25,66,KHARGRAM,6,DHRUBAJOTI SAHA,Communist Party of India (Marxist),16859,2202,19061
S25,66,KHARGRAM,6,MANDER KANTI MONDAL,Indian National Congress,4810,740,5550
S25,66,KHARGRAM,6,MITALI MAL,Bharatiya Janata Party,27413,3340,30753
S25,66,KHARGRAM,6,SAILESWAR MONDAL,Bahujan Samaj Party,231,53,284
S25,66,KHARGRAM,6,JADAB DAS,Aam Janata Unnayan party,212,145,357
S25,66,KHARGRAM,6,BHUBAN MOHAN SAHA,Independent,218,78,296
S25,66,KHARGRAM,6,MANIK KUMAR DAS,Independent,191,49,240
S25,66,KHARGRAM,6,RAJEN MEHANA,Independent,226,44,270
S25,66,KHARGRAM,6,NOTA,None of the Above,639,214,853
S25,66,KHARGRAM,7,ASHIS MARJIT,All India Trinamool Congress,33657,5714,39371
S25,66,KHARGRAM,7,DHRUBAJOTI SAHA,Communist Party of India (Marxist),19061,5159,24220
S25,66,KHARGRAM,7,MANDER KANTI MONDAL,Indian National Congress,5550,912,6462
S25,66,KHARGRAM,7,MITALI MAL,Bharatiya Janata Party,30753,2758,33511
S25,66,KHARGRAM,7,SAILESWAR MONDAL,Bahujan Samaj Party,284,36,320
S25,66,KHARGRAM,7,JADAB DAS,Aam Janata Unnayan party,357,50,407
S25,66,KHARGRAM,7,BHUBAN MOHAN SAHA,Independent,296,48,344
S25,66,KHARGRAM,7,MANIK KUMAR DAS,Independent,240,56,296
S25,66,KHARGRAM,7,RAJEN MEHANA,Independent,270,52,322
S25,66,KHARGRAM,7,NOTA,None of the Above,853,130,983
S25,66,KHARGRAM,8,ASHIS MARJIT,All India Trinamool Congress,39371,5591,44962
S25,66,KHARGRAM,8,DHRUBAJOTI SAHA,Communist Party of India (Marxist),24220,2708,26928
S25,66,KHARGRAM,8,MANDER KANTI MONDAL,Indian National Congress,6462,508,6970
S25,66,KHARGRAM,8,MITALI MAL,Bharatiya Janata Party,33511,5812,39323
S25,66,KHARGRAM,8,SAILESWAR MONDAL,Bahujan Samaj Party,320,45,365
S25,66,KHARGRAM,8,JADAB DAS,Aam Janata Unnayan party,407,63,470
S25,66,KHARGRAM,8,BHUBAN MOHAN SAHA,Independent,344,36,380
S25,66,KHARGRAM,8,MANIK KUMAR DAS,Independent,296,54,350
S25,66,KHARGRAM,8,RAJEN MEHANA,Independent,322,46,368
S25,66,KHARGRAM,8,NOTA,None of the Above,983,151,1134
S25,66,KHARGRAM,9,ASHIS MARJIT,All India Trinamool Congress,44962,4386,49348
S25,66,KHARGRAM,9,DHRUBAJOTI SAHA,Communist Party of India (Marxist),26928,2243,29171
S25,66,KHARGRAM,9,MANDER KANTI MONDAL,Indian National Congress,6970,725,7695
S25,66,KHARGRAM,9,MITALI MAL,Bharatiya Janata Party,39323,5662,44985
S25,66,KHARGRAM,9,SAILESWAR MONDAL,Bahujan Samaj Party,365,52,417
S25,66,KHARGRAM,9,JADAB DAS,Aam Janata Unnayan party,470,77,547
S25,66,KHARGRAM,9,BHUBAN MOHAN SAHA,Independent,380,74,454
S25,66,KHARGRAM,9,MANIK KUMAR DAS,Independent,350,46,396
S25,66,KHARGRAM,9,RAJEN MEHANA,Independent,368,41,409
S25,66,KHARGRAM,9,NOTA,None of the Above,1134,126,1260
S25,66,KHARGRAM,10,ASHIS MARJIT,All India Trinamool Congress,49348,3997,53345
S25,66,KHARGRAM,10,DHRUBAJOTI SAHA,Communist Party of India (Marxist),29171,1193,30364
S25,66,KHARGRAM,10,MANDER KANTI MONDAL,Indian National Congress,7695,1328,9023
S25,66,KHARGRAM,10,MITALI MAL,Bharatiya Janata Party,44985,7288,52273
