State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,67,BURWAN,1,PROTIMA RAJAK,All India Trinamool Congress,0,5525,5525
S25,67,BURWAN,1,PROSENJIT HAZRA,Bahujan Samaj Party,0,66,66
S25,67,BURWAN,1,SANJIT DAS,Indian National Congress,0,833,833
S25,67,BURWAN,1,SUKHEN KUMAR BAGDI,Bharatiya Janata Party,0,9572,9572
S25,67,BURWAN,1,ANANDA DAS BAGDI,Revolutionary Socialist Party,0,250,250
S25,67,BURWAN,1,SHASTHI CHARAN MAL,Aam Janata Unnayan party,0,52,52
S25,67,BURWAN,1,RAKESH BAGDI,Independent,0,124,124
S25,67,BURWAN,1,RADHIKANATH BAGDI,Independent,0,55,55
S25,67,BURWAN,1,SUNITA KONAI,Independent,0,65,65
S25,67,BURWAN,1,NOTA,None of the Above,0,203,203
S25,67,BURWAN,2,PROTIMA RAJAK,All India Trinamool Congress,5525,6010,11535
S25,67,BURWAN,2,PROSENJIT HAZRA,Bahujan Samaj Party,66,49,115
S25,67,BURWAN,2,SANJIT DAS,Indian National Congress,833,1516,2349
S25,67,BURWAN,2,SUKHEN KUMAR BAGDI,Bharatiya Janata Party,9572,7228,16800
S25,67,BURWAN,2,ANANDA DAS BAGDI,Revolutionary Socialist Party,250,342,592
S25,67,BURWAN,2,SHASTHI CHARAN MAL,Aam Janata Unnayan party,52,48,100
S25,67,BURWAN,2,RAKESH BAGDI,Independent,124,67,191
S25,67,BURWAN,2,RADHIKANATH BAGDI,Independent,55,57,112
S25,67,BURWAN,2,SUNITA KONAI,Independent,65,65,130
S25,67,BURWAN,2,NOTA,None of the Above,203,143,346
S25,67,BURWAN,3,PROTIMA RAJAK,All India Trinamool Congress,11535,8270,19805
S25,67,BURWAN,3,PROSENJIT HAZRA,Bahujan Samaj Party,115,52,167
S25,67,BURWAN,3,SANJIT DAS,Indian National Congress,2349,2734,5083
S25,67,BURWAN,3,SUKHEN KUMAR BAGDI,Bharatiya Janata Party,16800,2773,19573
S25,67,BURWAN,3,ANANDA DAS BAGDI,Revolutionary Socialist Party,592,221,813
S25,67,BURWAN,3,SHASTHI CHARAN MAL,Aam Janata Unnayan party,100,77,177
S25,67,BURWAN,3,RAKESH BAGDI,Independent,191,75,266
S25,67,BURWAN,3,RADHIKANATH BAGDI,Independent,112,46,158
S25,67,BURWAN,3,SUNITA KONAI,Independent,130,65,195
S25,67,BURWAN,3,NOTA,None of the Above,346,222,568
S25,67,BURWAN,4,PROTIMA RAJAK,All India Trinamool Congress,19805,7516,27321
S25,67,BURWAN,4,PROSENJIT HAZRA,Bahujan Samaj Party,167,46,213
S25,67,BURWAN,4,SANJIT DAS,Indian National Congress,5083,1851,6934
S25,67,BURWAN,4,SUKHEN KUMAR BAGDI,Bharatiya Janata Party,19573,5204,24777
S25,67,BURWAN,4,ANANDA DAS BAGDI,Revolutionary Socialist Party,813,315,1128
S25,67,BURWAN,4,SHASTHI CHARAN MAL,Aam Janata Unnayan party,177,62,239
S25,67,BURWAN,4,RAKESH BAGDI,Independent,266,72,338
S25,67,BURWAN,4,RADHIKANATH BAGDI,Independent,158,28,186
S25,67,BURWAN,4,SUNITA KONAI,Independent,195,61,256
S25,67,BURWAN,4,NOTA,None of the Above,568,184,752
S25,67,BURWAN,5,PROTIMA RAJAK,All India Trinamool Congress,27321,3880,31201
S25,67,BURWAN,5,PROSENJIT HAZRA,Bahujan Samaj Party,213,58,271
S25,67,BURWAN,5,SANJIT DAS,Indian National Congress,6934,1343,8277
S25,67,BURWAN,5,SUKHEN KUMAR BAGDI,Bharatiya Janata Party,24777,9965,34742
S25,67,BURWAN,5,ANANDA DAS BAGDI,Revolutionary Socialist Party,1128,215,1343
S25,67,BURWAN,5,SHASTHI CHARAN MAL,Aam Janata Unnayan party,239,56,295
