State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,71,BELDANGA,1,BHARAT KUMAR JHAWAR,Bharatiya Janata Party,0,5074,5074
S25,71,BELDANGA,1,MD SAHARUDDIN SK,Indian National Congress,0,2718,2718
S25,71,BELDANGA,1,MD ISMAIL,Bahujan Samaj Party,0,52,52
S25,71,BELDANGA,1,RABIUL ALAM CHOWDHURY,All India Trinamool Congress,0,4862,4862
S25,71,BELDANGA,1,RAJESH GHOSH,Revolutionary Socialist Party,0,491,491
S25,71,BELDANGA,1,LOCKMAN HAKIM,Socialist Unity Centre Of India (COMMUNIST),0,156,156
S25,71,BELDANGA,1,SHOAIB AHMED,Aam Janata Unnayan party,0,1172,1172
S25,71,BELDANGA,1,MD SAFIUR RAHMAN BISWAS,Independent,0,46,46
S25,71,BELDANGA,1,NOTA,None of the Above,0,150,150
S25,71,BELDANGA,2,BHARAT KUMAR JHAWAR,Bharatiya Janata Party,5074,13347,18421
S25,71,BELDANGA,2,MD SAHARUDDIN SK,Indian National Congress,2718,1284,4002
S25,71,BELDANGA,2,MD ISMAIL,Bahujan Samaj Party,52,48,100
S25,71,BELDANGA,2,RABIUL ALAM CHOWDHURY,All India Trinamool Congress,4862,1227,6089
S25,71,BELDANGA,2,RAJESH GHOSH,Revolutionary Socialist Party,491,254,745
S25,71,BELDANGA,2,LOCKMAN HAKIM,Socialist Unity Centre Of India (COMMUNIST),156,37,193
S25,71,BELDANGA,2,SHOAIB AHMED,Aam Janata Unnayan party,1172,21,1193
S25,71,BELDANGA,2,MD SAFIUR RAHMAN BISWAS,Independent,46,55,101
S25,71,BELDANGA,2,NOTA,None of the Above,150,204,354
S25,71,BELDANGA,3,BHARAT KUMAR JHAWAR,Bharatiya Janata Party,18421,8771,27192
S25,71,BELDANGA,3,MD SAHARUDDIN SK,Indian National Congress,4002,2301,6303
S25,71,BELDANGA,3,MD ISMAIL,Bahujan Samaj Party,100,50,150
S25,71,BELDANGA,3,RABIUL ALAM CHOWDHURY,All India Trinamool Congress,6089,3844,9933
S25,71,BELDANGA,3,RAJESH GHOSH,Revolutionary Socialist Party,745,158,903
S25,71,BELDANGA,3,LOCKMAN HAKIM,Socialist Unity Centre Of India (COMMUNIST),193,74,267
S25,71,BELDANGA,3,SHOAIB AHMED,Aam Janata Unnayan party,1193,231,1424
S25,71,BELDANGA,3,MD SAFIUR RAHMAN BISWAS,Independent,101,44,145
S25,71,BELDANGA,3,NOTA,None of the Above,354,142,496
S25,71,BELDANGA,4,BHARAT KUMAR JHAWAR,Bharatiya Janata Party,27192,7174,34366
S25,71,BELDANGA,4,MD SAHARUDDIN SK,Indian National Congress,6303,1967,8270
S25,71,BELDANGA,4,MD ISMAIL,Bahujan Samaj Party,150,63,213
S25,71,BELDANGA,4,RABIUL ALAM CHOWDHURY,All India Trinamool Congress,9933,4488,14421
S25,71,BELDANGA,4,RAJESH GHOSH,Revolutionary Socialist Party,903,236,1139
S25,71,BELDANGA,4,LOCKMAN HAKIM,Socialist Unity Centre Of India (COMMUNIST),267,171,438
S25,71,BELDANGA,4,SHOAIB AHMED,Aam Janata Unnayan party,1424,2028,3452
S25,71,BELDANGA,4,MD SAFIUR RAHMAN BISWAS,Independent,145,34,179
S25,71,BELDANGA,4,NOTA,None of the Above,496,147,643
S25,71,BELDANGA,5,BHARAT KUMAR JHAWAR,Bharatiya Janata Party,34366,1814,36180
S25,71,BELDANGA,5,MD SAHARUDDIN SK,Indian National Congress,8270,3860,12130
S25,71,BELDANGA,5,MD ISMAIL,Bahujan Samaj Party,213,54,267
S25,71,BELDANGA,5,RABIUL ALAM CHOWDHURY,All India Trinamool Congress,14421,6013,20434
S25,71,BELDANGA,5,RAJESH GHOSH,Revolutionary Socialist Party,1139,509,1648
S25,71,BELDANGA,5,LOCKMAN HAKIM,Socialist Unity Centre Of India (COMMUNIST),438,282,720
S25,71,BELDANGA,5,SHOAIB AHMED,Aam Janata Unnayan party,3452,2956,6408
S25,71,BELDANGA,5,MD SAFIUR RAHMAN BISWAS,Independent,179,54,233
S25,71,BELDANGA,5,NOTA,None of the Above,643,103,746
S25,71,BELDANGA,6,BHARAT KUMAR JHAWAR,Bharatiya Janata Party,36180,3723,39903
S25,71,BELDANGA,6,MD SAHARUDDIN SK,Indian National Congress,12130,2883,15013
S25,71,BELDANGA,6,MD ISMAIL,Bahujan Samaj Party,267,70,337
S25,71,BELDANGA,6,RABIUL ALAM CHOWDHURY,All India Trinamool Congress,20434,4844,25278
S25,71,BELDANGA,6,RAJESH GHOSH,Revolutionary Socialist Party,1648,149,1797
S25,71,BELDANGA,6,LOCKMAN HAKIM,Socialist Unity Centre Of India (COMMUNIST),720,215,935
S25,71,BELDANGA,6,SHOAIB AHMED,Aam Janata Unnayan party,6408,3826,10234
S25,71,BELDANGA,6,MD SAFIUR RAHMAN BISWAS,Independent,233,50,283
S25,71,BELDANGA,6,NOTA,None of the Above,746,109,855
S25,71,BELDANGA,7,BHARAT KUMAR JHAWAR,Bharatiya Janata Party,39903,8847,48750
S25,71,BELDANGA,7,MD SAHARUDDIN SK,Indian National Congress,15013,1356,16369
S25,71,BELDANGA,7,MD ISMAIL,Bahujan Samaj Party,337,38,375
S25,71,BELDANGA,7,RABIUL ALAM CHOWDHURY,All India Trinamool Congress,25278,2732,28010
S25,71,BELDANGA,7,RAJESH GHOSH,Revolutionary Socialist Party,1797,214,2011
S25,71,BELDANGA,7,LOCKMAN HAKIM,Socialist Unity Centre Of India (COMMUNIST),935,153,1088
S25,71,BELDANGA,7,SHOAIB AHMED,Aam Janata Unnayan party,10234,2085,12319
S25,71,BELDANGA,7,MD SAFIUR RAHMAN BISWAS,Independent,283,41,324
S25,71,BELDANGA,7,NOTA,None of the Above,855,146,1001
S25,71,BELDANGA,8,BHARAT KUMAR JHAWAR,Bharatiya Janata Party,48750,5182,53932
S25,71,BELDANGA,8,MD SAHARUDDIN SK,Indian National Congress,16369,4737,21106
S25,71,BELDANGA,8,MD ISMAIL,Bahujan Samaj Party,375,94,469
S25,71,BELDANGA,8,RABIUL ALAM CHOWDHURY,All India Trinamool Congress,28010,4376,32386
S25,71,BELDANGA,8,RAJESH GHOSH,Revolutionary Socialist Party,2011,156,2167
S25,71,BELDANGA,8,LOCKMAN HAKIM,Socialist Unity Centre Of India (COMMUNIST),1088,271,1359
S25,71,BELDANGA,8,SHOAIB AHMED,Aam Janata Unnayan party,12319,3062,15381
S25,71,BELDANGA,8,MD SAFIUR RAHMAN BISWAS,Independent,324,56,380
S25,71,BELDANGA,8,NOTA,None of the Above,1001,152,1153
S25,71,BELDANGA,9,BHARAT KUMAR JHAWAR,Bharatiya Janata Party,53932,3123,57055
S25,71,BELDANGA,9,MD SAHARUDDIN SK,Indian National Congress,21106,1461,22567
S25,71,BELDANGA,9,MD ISMAIL,Bahujan Samaj Party,469,108,577
S25,71,BELDANGA,9,RABIUL ALAM CHOWDHURY,All India Trinamool Congress,32386,2497,34883
S25,71,BELDANGA,9,RAJESH GHOSH,Revolutionary Socialist Party,2167,94,2261
S25,71,BELDANGA,9,LOCKMAN HAKIM,Socialist Unity Centre Of India (COMMUNIST),1359,292,1651
S25,71,BELDANGA,9,SHOAIB AHMED,Aam Janata Unnayan party,15381,7889,23270
S25,71,BELDANGA,9,MD SAFIUR RAHMAN BISWAS,Independent,380,57,437
S25,71,BELDANGA,9,NOTA,None of the Above,1153,100,1253
S25,71,BELDANGA,10,BHARAT KUMAR JHAWAR,Bharatiya Janata Party,57055,2482,59537
S25,71,BELDANGA,10,MD SAHARUDDIN SK,Indian National Congress,22567,2531,25098
S25,71,BELDANGA,10,MD ISMAIL,Bahujan Samaj Party,577,73,650
