State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,74,NOWDA,1,MATIUR RAHAMAN,Indian National Congress,0,1132,1132
S25,74,NOWDA,1,RANA MANDAL,Bharatiya Janata Party,0,1603,1603
S25,74,NOWDA,1,SAHINA MOMTAZ KHAN,All India Trinamool Congress,0,3515,3515
S25,74,NOWDA,1,ABDUS SALAM,Socialist Unity Centre Of India (COMMUNIST),0,145,145
S25,74,NOWDA,1,SURAJ SK,Bhartiya Lokmat Rashtrawadi Party,0,74,74
S25,74,NOWDA,1,HABIBUR RAHAMAN MONDAL(SOHEL),Revolutionary Socialist Party,0,164,164
S25,74,NOWDA,1,HUMAYUN KABIR,Aam Janata Unnayan party,0,6405,6405
S25,74,NOWDA,1,MOTIUR RAHAMAN MUNSHI,Independent,0,47,47
S25,74,NOWDA,1,RAMIJ RAJA BISWAS,Independent,0,41,41
S25,74,NOWDA,1,HUMAYUN KABIR SEKH,Independent,0,98,98
S25,74,NOWDA,1,NOTA,None of the Above,0,74,74
S25,74,NOWDA,2,MATIUR RAHAMAN,Indian National Congress,1132,929,2061
S25,74,NOWDA,2,RANA MANDAL,Bharatiya Janata Party,1603,2661,4264
S25,74,NOWDA,2,SAHINA MOMTAZ KHAN,All India Trinamool Congress,3515,2477,5992
S25,74,NOWDA,2,ABDUS SALAM,Socialist Unity Centre Of India (COMMUNIST),145,93,238
S25,74,NOWDA,2,SURAJ SK,Bhartiya Lokmat Rashtrawadi Party,74,43,117
S25,74,NOWDA,2,HABIBUR RAHAMAN MONDAL(SOHEL),Revolutionary Socialist Party,164,92,256
S25,74,NOWDA,2,HUMAYUN KABIR,Aam Janata Unnayan party,6405,4915,11320
S25,74,NOWDA,2,MOTIUR RAHAMAN MUNSHI,Independent,47,38,85
S25,74,NOWDA,2,RAMIJ RAJA BISWAS,Independent,41,36,77
S25,74,NOWDA,2,HUMAYUN KABIR SEKH,Independent,98,48,146
S25,74,NOWDA,2,NOTA,None of the Above,74,28,102
S25,74,NOWDA,3,MATIUR RAHAMAN,Indian National Congress,2061,1039,3100
S25,74,NOWDA,3,RANA MANDAL,Bharatiya Janata Party,4264,1073,5337
S25,74,NOWDA,3,SAHINA MOMTAZ KHAN,All India Trinamool Congress,5992,2466,8458
S25,74,NOWDA,3,ABDUS SALAM,Socialist Unity Centre Of India (COMMUNIST),238,125,363
S25,74,NOWDA,3,SURAJ SK,Bhartiya Lokmat Rashtrawadi Party,117,70,187
S25,74,NOWDA,3,HABIBUR RAHAMAN MONDAL(SOHEL),Revolutionary Socialist Party,256,70,326
