State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,75,DOMKAL,1,NANDADULAL PAL,Bharatiya Janata Party,0,1644,1644
S25,75,DOMKAL,1,BEGAM SAHANAJ,Indian National Congress,0,618,618
S25,75,DOMKAL,1,MD. MOSTAFIJUR RAHAMAN,Communist Party of India (Marxist),0,6254,6254
S25,75,DOMKAL,1,HUMAYUN KABIR,All India Trinamool Congress,0,5636,5636
S25,75,DOMKAL,1,AYESHA SIDDIQUA,Socialist Unity Centre Of India (COMMUNIST),0,65,65
S25,75,DOMKAL,1,KALU MONDAL,Magadh Congress of India,0,35,35
S25,75,DOMKAL,1,MD. MOSHARAF HOSSAIN,Aam Janata Unnayan party,0,361,361
S25,75,DOMKAL,1,MD SALAUDDIN,Indian National League,0,27,27
S25,75,DOMKAL,1,SAFAR ALI BISWAS(ROBI),Bhartiya Lokmat Rashtrawadi Party,0,19,19
S25,75,DOMKAL,1,MUSTAK AHMED,Independent,0,41,41
S25,75,DOMKAL,1,MUSTAFIJUR RAHAMAN,Independent,0,109,109
S25,75,DOMKAL,1,SAHANAJ BEGAM,Independent,0,70,70
S25,75,DOMKAL,1,SOYAIB ANSARY,Independent,0,33,33
S25,75,DOMKAL,1,NOTA,None of the Above,0,87,87
S25,75,DOMKAL,2,NANDADULAL PAL,Bharatiya Janata Party,1644,779,2423
S25,75,DOMKAL,2,BEGAM SAHANAJ,Indian National Congress,618,1268,1886
S25,75,DOMKAL,2,MD. MOSTAFIJUR RAHAMAN,Communist Party of India (Marxist),6254,6342,12596
S25,75,DOMKAL,2,HUMAYUN KABIR,All India Trinamool Congress,5636,4146,9782
S25,75,DOMKAL,2,AYESHA SIDDIQUA,Socialist Unity Centre Of India (COMMUNIST),65,86,151
S25,75,DOMKAL,2,KALU MONDAL,Magadh Congress of India,35,39,74
S25,75,DOMKAL,2,MD. MOSHARAF HOSSAIN,Aam Janata Unnayan party,361,570,931
S25,75,DOMKAL,2,MD SALAUDDIN,Indian National League,27,22,49
S25,75,DOMKAL,2,SAFAR ALI BISWAS(ROBI),Bhartiya Lokmat Rashtrawadi Party,19,17,36
S25,75,DOMKAL,2,MUSTAK AHMED,Independent,41,27,68
S25,75,DOMKAL,2,MUSTAFIJUR RAHAMAN,Independent,109,85,194
S25,75,DOMKAL,2,SAHANAJ BEGAM,Independent,70,66,136
S25,75,DOMKAL,2,SOYAIB ANSARY,Independent,33,41,74
S25,75,DOMKAL,2,NOTA,None of the Above,87,70,157
S25,75,DOMKAL,3,NANDADULAL PAL,Bharatiya Janata Party,2423,125,2548
S25,75,DOMKAL,3,BEGAM SAHANAJ,Indian National Congress,1886,2282,4168
S25,75,DOMKAL,3,MD. MOSTAFIJUR RAHAMAN,Communist Party of India (Marxist),12596,6975,19571
S25,75,DOMKAL,3,HUMAYUN KABIR,All India Trinamool Congress,9782,3826,13608
S25,75,DOMKAL,3,AYESHA SIDDIQUA,Socialist Unity Centre Of India (COMMUNIST),151,109,260
S25,75,DOMKAL,3,KALU MONDAL,Magadh Congress of India,74,31,105
S25,75,DOMKAL,3,MD. MOSHARAF HOSSAIN,Aam Janata Unnayan party,931,768,1699
S25,75,DOMKAL,3,MD SALAUDDIN,Indian National League,49,31,80
S25,75,DOMKAL,3,SAFAR ALI BISWAS(ROBI),Bhartiya Lokmat Rashtrawadi Party,36,21,57
S25,75,DOMKAL,3,MUSTAK AHMED,Independent,68,27,95
S25,75,DOMKAL,3,MUSTAFIJUR RAHAMAN,Independent,194,55,249
S25,75,DOMKAL,3,SAHANAJ BEGAM,Independent,136,59,195
S25,75,DOMKAL,3,SOYAIB ANSARY,Independent,74,68,142
S25,75,DOMKAL,3,NOTA,None of the Above,157,81,238
S25,75,DOMKAL,4,NANDADULAL PAL,Bharatiya Janata Party,2548,2204,4752
S25,75,DOMKAL,4,BEGAM SAHANAJ,Indian National Congress,4168,2487,6655
S25,75,DOMKAL,4,MD. MOSTAFIJUR RAHAMAN,Communist Party of India (Marxist),19571,6011,25582
S25,75,DOMKAL,4,HUMAYUN KABIR,All India Trinamool Congress,13608,3617,17225
