State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,76,JALANGI,1,ABDUR RAZZAK MOLLA,Indian National Congress,0,5192,5192
S25,76,JALANGI,1,IANUS ALI SARKAR,Communist Party of India (Marxist),0,3552,3552
S25,76,JALANGI,1,NABA KUMAR SARKAR,Bharatiya Janata Party,0,1413,1413
S25,76,JALANGI,1,BABAR ALI,All India Trinamool Congress,0,6274,6274
S25,76,JALANGI,1,ASADUL SK,Indian National League,0,44,44
S25,76,JALANGI,1,ENAMUL HAQUE,Socialist Unity Centre Of India (COMMUNIST),0,43,43
S25,76,JALANGI,1,SUBIR KUMAR SARKAR,Amra Bangalee,0,58,58
S25,76,JALANGI,1,HABIBUR RAHAMAN,Aam Janata Unnayan party,0,137,137
S25,76,JALANGI,1,MD HASIM BISWAS,Independent,0,59,59
S25,76,JALANGI,1,NOTA,None of the Above,0,93,93
S25,76,JALANGI,2,ABDUR RAZZAK MOLLA,Indian National Congress,5192,3260,8452
S25,76,JALANGI,2,IANUS ALI SARKAR,Communist Party of India (Marxist),3552,2154,5706
S25,76,JALANGI,2,NABA KUMAR SARKAR,Bharatiya Janata Party,1413,3825,5238
S25,76,JALANGI,2,BABAR ALI,All India Trinamool Congress,6274,4413,10687
S25,76,JALANGI,2,ASADUL SK,Indian National League,44,38,82
S25,76,JALANGI,2,ENAMUL HAQUE,Socialist Unity Centre Of India (COMMUNIST),43,35,78
S25,76,JALANGI,2,SUBIR KUMAR SARKAR,Amra Bangalee,58,58,116
S25,76,JALANGI,2,HABIBUR RAHAMAN,Aam Janata Unnayan party,137,189,326
S25,76,JALANGI,2,MD HASIM BISWAS,Independent,59,55,114
S25,76,JALANGI,2,NOTA,None of the Above,93,98,191
S25,76,JALANGI,3,ABDUR RAZZAK MOLLA,Indian National Congress,8452,2455,10907
S25,76,JALANGI,3,IANUS ALI SARKAR,Communist Party of India (Marxist),5706,2465,8171
S25,76,JALANGI,3,NABA KUMAR SARKAR,Bharatiya Janata Party,5238,5001,10239
S25,76,JALANGI,3,BABAR ALI,All India Trinamool Congress,10687,4504,15191
S25,76,JALANGI,3,ASADUL SK,Indian National League,82,34,116
S25,76,JALANGI,3,ENAMUL HAQUE,Socialist Unity Centre Of India (COMMUNIST),78,22,100
S25,76,JALANGI,3,SUBIR KUMAR SARKAR,Amra Bangalee,116,63,179
S25,76,JALANGI,3,HABIBUR RAHAMAN,Aam Janata Unnayan party,326,134,460
S25,76,JALANGI,3,MD HASIM BISWAS,Independent,114,56,170
S25,76,JALANGI,3,NOTA,None of the Above,191,73,264
S25,76,JALANGI,4,ABDUR RAZZAK MOLLA,Indian National Congress,10907,3446,14353
