State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,78,TEHATTA,1,ARABINDA BISWAS,Bahujan Samaj Party,0,35,35
S25,78,TEHATTA,1,JYOTIRMOY SARKAR,Indian National Congress,0,143,143
S25,78,TEHATTA,1,DILIP KUMAR PODDAR,All India Trinamool Congress,0,5451,5451
S25,78,TEHATTA,1,SUBODH CHANDRA BISWAS,Communist Party of India (Marxist),0,3711,3711
S25,78,TEHATTA,1,SUBRATA KABIRAJ,Bharatiya Janata Party,0,354,354
S25,78,TEHATTA,1,JAMAT ALI MANDAL,Aam Janata Unnayan party,0,871,871
S25,78,TEHATTA,1,Najbul Ansary,Socialist Unity Centre Of India (COMMUNIST),0,135,135
S25,78,TEHATTA,1,MILAN SARKAR,Independent,0,37,37
S25,78,TEHATTA,1,JUDHISTHIR SARKAR,Independent,0,73,73
S25,78,TEHATTA,1,SAMAR KUMAR BISWAS,Independent,0,32,32
S25,78,TEHATTA,1,NOTA,None of the Above,0,66,66
S25,78,TEHATTA,2,ARABINDA BISWAS,Bahujan Samaj Party,35,41,76
S25,78,TEHATTA,2,JYOTIRMOY SARKAR,Indian National Congress,143,96,239
S25,78,TEHATTA,2,DILIP KUMAR PODDAR,All India Trinamool Congress,5451,5579,11030
S25,78,TEHATTA,2,SUBODH CHANDRA BISWAS,Communist Party of India (Marxist),3711,2939,6650
S25,78,TEHATTA,2,SUBRATA KABIRAJ,Bharatiya Janata Party,354,1462,1816
S25,78,TEHATTA,2,JAMAT ALI MANDAL,Aam Janata Unnayan party,871,364,1235
S25,78,TEHATTA,2,Najbul Ansary,Socialist Unity Centre Of India (COMMUNIST),135,45,180
S25,78,TEHATTA,2,MILAN SARKAR,Independent,37,17,54
S25,78,TEHATTA,2,JUDHISTHIR SARKAR,Independent,73,82,155
S25,78,TEHATTA,2,SAMAR KUMAR BISWAS,Independent,32,29,61
S25,78,TEHATTA,2,NOTA,None of the Above,66,51,117
S25,78,TEHATTA,3,ARABINDA BISWAS,Bahujan Samaj Party,76,23,99
S25,78,TEHATTA,3,JYOTIRMOY SARKAR,Indian National Congress,239,135,374
S25,78,TEHATTA,3,DILIP KUMAR PODDAR,All India Trinamool Congress,11030,5385,16415
S25,78,TEHATTA,3,SUBODH CHANDRA BISWAS,Communist Party of India (Marxist),6650,1920,8570
S25,78,TEHATTA,3,SUBRATA KABIRAJ,Bharatiya Janata Party,1816,1580,3396
S25,78,TEHATTA,3,JAMAT ALI MANDAL,Aam Janata Unnayan party,1235,1365,2600
S25,78,TEHATTA,3,Najbul Ansary,Socialist Unity Centre Of India (COMMUNIST),180,110,290
S25,78,TEHATTA,3,MILAN SARKAR,Independent,54,43,97
S25,78,TEHATTA,3,JUDHISTHIR SARKAR,Independent,155,103,258
S25,78,TEHATTA,3,SAMAR KUMAR BISWAS,Independent,61,28,89
S25,78,TEHATTA,3,NOTA,None of the Above,117,72,189
S25,78,TEHATTA,4,ARABINDA BISWAS,Bahujan Samaj Party,99,18,117
S25,78,TEHATTA,4,JYOTIRMOY SARKAR,Indian National Congress,374,98,472
S25,78,TEHATTA,4,DILIP KUMAR PODDAR,All India Trinamool Congress,16415,4393,20808
S25,78,TEHATTA,4,SUBODH CHANDRA BISWAS,Communist Party of India (Marxist),8570,391,8961
S25,78,TEHATTA,4,SUBRATA KABIRAJ,Bharatiya Janata Party,3396,6264,9660
S25,78,TEHATTA,4,JAMAT ALI MANDAL,Aam Janata Unnayan party,2600,78,2678
S25,78,TEHATTA,4,Najbul Ansary,Socialist Unity Centre Of India (COMMUNIST),290,30,320
S25,78,TEHATTA,4,MILAN SARKAR,Independent,97,11,108
S25,78,TEHATTA,4,JUDHISTHIR SARKAR,Independent,258,54,312
S25,78,TEHATTA,4,SAMAR KUMAR BISWAS,Independent,89,24,113
S25,78,TEHATTA,4,NOTA,None of the Above,189,42,231
S25,78,TEHATTA,5,ARABINDA BISWAS,Bahujan Samaj Party,117,24,141
S25,78,TEHATTA,5,JYOTIRMOY SARKAR,Indian National Congress,472,19,491
S25,78,TEHATTA,5,DILIP KUMAR PODDAR,All India Trinamool Congress,20808,2487,23295
S25,78,TEHATTA,5,SUBODH CHANDRA BISWAS,Communist Party of India (Marxist),8961,147,9108
S25,78,TEHATTA,5,SUBRATA KABIRAJ,Bharatiya Janata Party,9660,6858,16518
S25,78,TEHATTA,5,JAMAT ALI MANDAL,Aam Janata Unnayan party,2678,22,2700
S25,78,TEHATTA,5,Najbul Ansary,Socialist Unity Centre Of India (COMMUNIST),320,21,341
S25,78,TEHATTA,5,MILAN SARKAR,Independent,108,7,115
S25,78,TEHATTA,5,JUDHISTHIR SARKAR,Independent,312,38,350
S25,78,TEHATTA,5,SAMAR KUMAR BISWAS,Independent,113,19,132
S25,78,TEHATTA,5,NOTA,None of the Above,231,26,257
S25,78,TEHATTA,6,ARABINDA BISWAS,Bahujan Samaj Party,141,22,163
S25,78,TEHATTA,6,JYOTIRMOY SARKAR,Indian National Congress,491,101,592
S25,78,TEHATTA,6,DILIP KUMAR PODDAR,All India Trinamool Congress,23295,3984,27279
S25,78,TEHATTA,6,SUBODH CHANDRA BISWAS,Communist Party of India (Marxist),9108,582,9690
S25,78,TEHATTA,6,SUBRATA KABIRAJ,Bharatiya Janata Party,16518,6118,22636
S25,78,TEHATTA,6,JAMAT ALI MANDAL,Aam Janata Unnayan party,2700,132,2832
S25,78,TEHATTA,6,Najbul Ansary,Socialist Unity Centre Of India (COMMUNIST),341,34,375
S25,78,TEHATTA,6,MILAN SARKAR,Independent,115,19,134
S25,78,TEHATTA,6,JUDHISTHIR SARKAR,Independent,350,54,404
S25,78,TEHATTA,6,SAMAR KUMAR BISWAS,Independent,132,32,164
S25,78,TEHATTA,6,NOTA,None of the Above,257,51,308
S25,78,TEHATTA,7,ARABINDA BISWAS,Bahujan Samaj Party,163,21,184
S25,78,TEHATTA,7,JYOTIRMOY SARKAR,Indian National Congress,592,53,645
S25,78,TEHATTA,7,DILIP KUMAR PODDAR,All India Trinamool Congress,27279,4315,31594
S25,78,TEHATTA,7,SUBODH CHANDRA BISWAS,Communist Party of India (Marxist),9690,687,10377
S25,78,TEHATTA,7,SUBRATA KABIRAJ,Bharatiya Janata Party,22636,3717,26353
S25,78,TEHATTA,7,JAMAT ALI MANDAL,Aam Janata Unnayan party,2832,451,3283
S25,78,TEHATTA,7,Najbul Ansary,Socialist Unity Centre Of India (COMMUNIST),375,47,422
S25,78,TEHATTA,7,MILAN SARKAR,Independent,134,13,147
S25,78,TEHATTA,7,JUDHISTHIR SARKAR,Independent,404,53,457
S25,78,TEHATTA,7,SAMAR KUMAR BISWAS,Independent,164,20,184
S25,78,TEHATTA,7,NOTA,None of the Above,308,23,331
S25,78,TEHATTA,8,ARABINDA BISWAS,Bahujan Samaj Party,184,20,204
S25,78,TEHATTA,8,JYOTIRMOY SARKAR,Indian National Congress,645,78,723
S25,78,TEHATTA,8,DILIP KUMAR PODDAR,All India Trinamool Congress,31594,2979,34573
S25,78,TEHATTA,8,SUBODH CHANDRA BISWAS,Communist Party of India (Marxist),10377,531,10908
S25,78,TEHATTA,8,SUBRATA KABIRAJ,Bharatiya Janata Party,26353,7327,33680
S25,78,TEHATTA,8,JAMAT ALI MANDAL,Aam Janata Unnayan party,3283,59,3342
S25,78,TEHATTA,8,Najbul Ansary,Socialist Unity Centre Of India (COMMUNIST),422,15,437
S25,78,TEHATTA,8,MILAN SARKAR,Independent,147,11,158
S25,78,TEHATTA,8,JUDHISTHIR SARKAR,Independent,457,24,481
S25,78,TEHATTA,8,SAMAR KUMAR BISWAS,Independent,184,15,199
S25,78,TEHATTA,8,NOTA,None of the Above,331,25,356
S25,78,TEHATTA,9,ARABINDA BISWAS,Bahujan Samaj Party,204,46,250
S25,78,TEHATTA,9,JYOTIRMOY SARKAR,Indian National Congress,723,42,765
S25,78,TEHATTA,9,DILIP KUMAR PODDAR,All India Trinamool Congress,34573,2638,37211
S25,78,TEHATTA,9,SUBODH CHANDRA BISWAS,Communist Party of India (Marxist),10908,499,11407
S25,78,TEHATTA,9,SUBRATA KABIRAJ,Bharatiya Janata Party,33680,7181,40861
S25,78,TEHATTA,9,JAMAT ALI MANDAL,Aam Janata Unnayan party,3342,315,3657
S25,78,TEHATTA,9,Najbul Ansary,Socialist Unity Centre Of India (COMMUNIST),437,33,470
S25,78,TEHATTA,9,MILAN SARKAR,Independent,158,8,166
S25,78,TEHATTA,9,JUDHISTHIR SARKAR,Independent,481,33,514
S25,78,TEHATTA,9,SAMAR KUMAR BISWAS,Independent,199,19,218
S25,78,TEHATTA,9,NOTA,None of the Above,356,27,383
S25,78,TEHATTA,10,ARABINDA BISWAS,Bahujan Samaj Party,250,37,287
S25,78,TEHATTA,10,JYOTIRMOY SARKAR,Indian National Congress,765,87,852
S25,78,TEHATTA,10,DILIP KUMAR PODDAR,All India Trinamool Congress,37211,4187,41398
S25,78,TEHATTA,10,SUBODH CHANDRA BISWAS,Communist Party of India (Marxist),11407,872,12279
S25,78,TEHATTA,10,SUBRATA KABIRAJ,Bharatiya Janata Party,40861,4393,45254
S25,78,TEHATTA,10,JAMAT ALI MANDAL,Aam Janata Unnayan party,3657,221,3878
S25,78,TEHATTA,10,Najbul Ansary,Socialist Unity Centre Of India (COMMUNIST),470,49,519
S25,78,TEHATTA,10,MILAN SARKAR,Independent,166,19,185
S25,78,TEHATTA,10,JUDHISTHIR SARKAR,Independent,514,32,546
S25,78,TEHATTA,10,SAMAR KUMAR BISWAS,Independent,218,27,245
S25,78,TEHATTA,10,NOTA,None of the Above,383,32,415
S25,78,TEHATTA,11,ARABINDA BISWAS,Bahujan Samaj Party,287,34,321
S25,78,TEHATTA,11,JYOTIRMOY SARKAR,Indian National Congress,852,686,1538
S25,78,TEHATTA,11,DILIP KUMAR PODDAR,All India Trinamool Congress,41398,6046,47444
S25,78,TEHATTA,11,SUBODH CHANDRA BISWAS,Communist Party of India (Marxist),12279,1444,13723
S25,78,TEHATTA,11,SUBRATA KABIRAJ,Bharatiya Janata Party,45254,1988,47242
S25,78,TEHATTA,11,JAMAT ALI MANDAL,Aam Janata Unnayan party,3878,699,4577
S25,78,TEHATTA,11,Najbul Ansary,Socialist Unity Centre Of India (COMMUNIST),519,64,583
S25,78,TEHATTA,11,MILAN SARKAR,Independent,185,23,208
S25,78,TEHATTA,11,JUDHISTHIR SARKAR,Independent,546,48,594
S25,78,TEHATTA,11,SAMAR KUMAR BISWAS,Independent,245,24,269
S25,78,TEHATTA,11,NOTA,None of the Above,415,50,465
S25,78,TEHATTA,12,ARABINDA BISWAS,Bahujan Samaj Party,321,18,339
S25,78,TEHATTA,12,JYOTIRMOY SARKAR,Indian National Congress,1538,185,1723
S25,78,TEHATTA,12,DILIP KUMAR PODDAR,All India Trinamool Congress,47444,3916,51360
S25,78,TEHATTA,12,SUBODH CHANDRA BISWAS,Communist Party of India (Marxist),13723,1365,15088
S25,78,TEHATTA,12,SUBRATA KABIRAJ,Bharatiya Janata Party,47242,3171,50413
S25,78,TEHATTA,12,JAMAT ALI MANDAL,Aam Janata Unnayan party,4577,137,4714
S25,78,TEHATTA,12,Najbul Ansary,Socialist Unity Centre Of India (COMMUNIST),583,28,611
S25,78,TEHATTA,12,MILAN SARKAR,Independent,208,12,220
S25,78,TEHATTA,12,JUDHISTHIR SARKAR,Independent,594,32,626
S25,78,TEHATTA,12,SAMAR KUMAR BISWAS,Independent,269,36,305
S25,78,TEHATTA,12,NOTA,None of the Above,465,34,499
S25,78,TEHATTA,13,ARABINDA BISWAS,Bahujan Samaj Party,339,13,352
S25,78,TEHATTA,13,JYOTIRMOY SARKAR,Indian National Congress,1723,46,1769
S25,78,TEHATTA,13,DILIP KUMAR PODDAR,All India Trinamool Congress,51360,3311,54671
S25,78,TEHATTA,13,SUBODH CHANDRA BISWAS,Communist Party of India (Marxist),15088,1361,16449
S25,78,TEHATTA,13,SUBRATA KABIRAJ,Bharatiya Janata Party,50413,4867,55280
S25,78,TEHATTA,13,JAMAT ALI MANDAL,Aam Janata Unnayan party,4714,43,4757
S25,78,TEHATTA,13,Najbul Ansary,Socialist Unity Centre Of India (COMMUNIST),611,22,633
S25,78,TEHATTA,13,MILAN SARKAR,Independent,220,16,236
S25,78,TEHATTA,13,JUDHISTHIR SARKAR,Independent,626,41,667
S25,78,TEHATTA,13,SAMAR KUMAR BISWAS,Independent,305,20,325
S25,78,TEHATTA,13,NOTA,None of the Above,499,33,532
S25,78,TEHATTA,14,ARABINDA BISWAS,Bahujan Samaj Party,352,24,376
S25,78,TEHATTA,14,JYOTIRMOY SARKAR,Indian National Congress,1769,31,1800
S25,78,TEHATTA,14,DILIP KUMAR PODDAR,All India Trinamool Congress,54671,1645,56316
S25,78,TEHATTA,14,SUBODH CHANDRA BISWAS,Communist Party of India (Marxist),16449,323,16772
S25,78,TEHATTA,14,SUBRATA KABIRAJ,Bharatiya Janata Party,55280,7387,62667
S25,78,TEHATTA,14,JAMAT ALI MANDAL,Aam Janata Unnayan party,4757,53,4810
S25,78,TEHATTA,14,Najbul Ansary,Socialist Unity Centre Of India (COMMUNIST),633,27,660
S25,78,TEHATTA,14,MILAN SARKAR,Independent,236,13,249
S25,78,TEHATTA,14,JUDHISTHIR SARKAR,Independent,667,33,700
S25,78,TEHATTA,14,SAMAR KUMAR BISWAS,Independent,325,25,350
S25,78,TEHATTA,14,NOTA,None of the Above,532,48,580
S25,78,TEHATTA,15,ARABINDA BISWAS,Bahujan Samaj Party,376,27,403
S25,78,TEHATTA,15,JYOTIRMOY SARKAR,Indian National Congress,1800,19,1819
S25,78,TEHATTA,15,DILIP KUMAR PODDAR,All India Trinamool Congress,56316,2225,58541
S25,78,TEHATTA,15,SUBODH CHANDRA BISWAS,Communist Party of India (Marxist),16772,184,16956
S25,78,TEHATTA,15,SUBRATA KABIRAJ,Bharatiya Janata Party,62667,7423,70090
S25,78,TEHATTA,15,JAMAT ALI MANDAL,Aam Janata Unnayan party,4810,31,4841
S25,78,TEHATTA,15,Najbul Ansary,Socialist Unity Centre Of India (COMMUNIST),660,15,675
S25,78,TEHATTA,15,MILAN SARKAR,Independent,249,12,261
S25,78,TEHATTA,15,JUDHISTHIR SARKAR,Independent,700,35,735
S25,78,TEHATTA,15,SAMAR KUMAR BISWAS,Independent,350,19,369
S25,78,TEHATTA,15,NOTA,None of the Above,580,21,601
