State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,81,NAKASHIPARA,1,KALLOL KHAN,All India Trinamool Congress,0,7144,7144
S25,81,NAKASHIPARA,1,TAHIR SEKH,Indian National Congress,0,143,143
S25,81,NAKASHIPARA,1,BIMAL ROY,Bahujan Samaj Party,0,46,46
S25,81,NAKASHIPARA,1,SANTANU DEY,Bharatiya Janata Party,0,6057,6057
S25,81,NAKASHIPARA,1,SUKLA SAHA,Communist Party of India (Marxist),0,2972,2972
S25,81,NAKASHIPARA,1,JEBUNNESSA MUNSHI,Aam Janata Unnayan party,0,231,231
S25,81,NAKASHIPARA,1,MASIKUR RAHAMAN KHAN,Socialist Unity Centre Of India (COMMUNIST),0,81,81
S25,81,NAKASHIPARA,1,SWADHIN CHOUDHURY,Independent,0,29,29
S25,81,NAKASHIPARA,1,HARIDAS DEY,Independent,0,36,36
S25,81,NAKASHIPARA,1,NOTA,None of the Above,0,179,179
S25,81,NAKASHIPARA,2,KALLOL KHAN,All India Trinamool Congress,7144,6657,13801
S25,81,NAKASHIPARA,2,TAHIR SEKH,Indian National Congress,143,526,669
S25,81,NAKASHIPARA,2,BIMAL ROY,Bahujan Samaj Party,46,43,89
S25,81,NAKASHIPARA,2,SANTANU DEY,Bharatiya Janata Party,6057,7080,13137
S25,81,NAKASHIPARA,2,SUKLA SAHA,Communist Party of India (Marxist),2972,1171,4143
S25,81,NAKASHIPARA,2,JEBUNNESSA MUNSHI,Aam Janata Unnayan party,231,97,328
S25,81,NAKASHIPARA,2,MASIKUR RAHAMAN KHAN,Socialist Unity Centre Of India (COMMUNIST),81,65,146
S25,81,NAKASHIPARA,2,SWADHIN CHOUDHURY,Independent,29,22,51
S25,81,NAKASHIPARA,2,HARIDAS DEY,Independent,36,39,75
S25,81,NAKASHIPARA,2,NOTA,None of the Above,179,118,297
S25,81,NAKASHIPARA,3,KALLOL KHAN,All India Trinamool Congress,13801,5467,19268
S25,81,NAKASHIPARA,3,TAHIR SEKH,Indian National Congress,669,135,804
S25,81,NAKASHIPARA,3,BIMAL ROY,Bahujan Samaj Party,89,55,144
S25,81,NAKASHIPARA,3,SANTANU DEY,Bharatiya Janata Party,13137,10897,24034
S25,81,NAKASHIPARA,3,SUKLA SAHA,Communist Party of India (Marxist),4143,473,4616
S25,81,NAKASHIPARA,3,JEBUNNESSA MUNSHI,Aam Janata Unnayan party,328,75,403
S25,81,NAKASHIPARA,3,MASIKUR RAHAMAN KHAN,Socialist Unity Centre Of India (COMMUNIST),146,159,305
S25,81,NAKASHIPARA,3,SWADHIN CHOUDHURY,Independent,51,36,87
S25,81,NAKASHIPARA,3,HARIDAS DEY,Independent,75,47,122
S25,81,NAKASHIPARA,3,NOTA,None of the Above,297,227,524
S25,81,NAKASHIPARA,4,KALLOL KHAN,All India Trinamool Congress,19268,8319,27587
S25,81,NAKASHIPARA,4,TAHIR SEKH,Indian National Congress,804,202,1006
S25,81,NAKASHIPARA,4,BIMAL ROY,Bahujan Samaj Party,144,53,197
S25,81,NAKASHIPARA,4,SANTANU DEY,Bharatiya Janata Party,24034,7291,31325
S25,81,NAKASHIPARA,4,SUKLA SAHA,Communist Party of India (Marxist),4616,1022,5638
S25,81,NAKASHIPARA,4,JEBUNNESSA MUNSHI,Aam Janata Unnayan party,403,111,514
S25,81,NAKASHIPARA,4,MASIKUR RAHAMAN KHAN,Socialist Unity Centre Of India (COMMUNIST),305,71,376
S25,81,NAKASHIPARA,4,SWADHIN CHOUDHURY,Independent,87,29,116
S25,81,NAKASHIPARA,4,HARIDAS DEY,Independent,122,28,150
S25,81,NAKASHIPARA,4,NOTA,None of the Above,524,136,660
S25,81,NAKASHIPARA,5,KALLOL KHAN,All India Trinamool Congress,27587,3645,31232
S25,81,NAKASHIPARA,5,TAHIR SEKH,Indian National Congress,1006,85,1091
S25,81,NAKASHIPARA,5,BIMAL ROY,Bahujan Samaj Party,197,47,244
S25,81,NAKASHIPARA,5,SANTANU DEY,Bharatiya Janata Party,31325,12546,43871
S25,81,NAKASHIPARA,5,SUKLA SAHA,Communist Party of India (Marxist),5638,372,6010
