State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,83,KRISHNANAGAR_UTTAR,1,ADWAITA BISWAS,Communist Party of India (Marxist),0,780,780
S25,83,KRISHNANAGAR_UTTAR,1,ARGHYA GON,Indian National Congress,0,123,123
S25,83,KRISHNANAGAR_UTTAR,1,TARAK NATH CHATTERJEE,Bharatiya Janata Party,0,8173,8173
S25,83,KRISHNANAGAR_UTTAR,1,BIDHAN HALDER,Bahujan Samaj Party,0,61,61
S25,83,KRISHNANAGAR_UTTAR,1,SOMNATH DUTTA,All India Trinamool Congress,0,3101,3101
S25,83,KRISHNANAGAR_UTTAR,1,JOYDIP CHAUDHURI,Socialist Unity Centre Of India (COMMUNIST),0,75,75
S25,83,KRISHNANAGAR_UTTAR,1,AMITAVA NANDI,Independent,0,13,13
S25,83,KRISHNANAGAR_UTTAR,1,NOTA,None of the Above,0,95,95
S25,83,KRISHNANAGAR_UTTAR,2,ADWAITA BISWAS,Communist Party of India (Marxist),780,640,1420
S25,83,KRISHNANAGAR_UTTAR,2,ARGHYA GON,Indian National Congress,123,92,215
S25,83,KRISHNANAGAR_UTTAR,2,TARAK NATH CHATTERJEE,Bharatiya Janata Party,8173,10823,18996
S25,83,KRISHNANAGAR_UTTAR,2,BIDHAN HALDER,Bahujan Samaj Party,61,97,158
S25,83,KRISHNANAGAR_UTTAR,2,SOMNATH DUTTA,All India Trinamool Congress,3101,3056,6157
S25,83,KRISHNANAGAR_UTTAR,2,JOYDIP CHAUDHURI,Socialist Unity Centre Of India (COMMUNIST),75,96,171
S25,83,KRISHNANAGAR_UTTAR,2,AMITAVA NANDI,Independent,13,29,42
S25,83,KRISHNANAGAR_UTTAR,2,NOTA,None of the Above,95,90,185
S25,83,KRISHNANAGAR_UTTAR,3,ADWAITA BISWAS,Communist Party of India (Marxist),1420,898,2318
S25,83,KRISHNANAGAR_UTTAR,3,ARGHYA GON,Indian National Congress,215,126,341
S25,83,KRISHNANAGAR_UTTAR,3,TARAK NATH CHATTERJEE,Bharatiya Janata Party,18996,9576,28572
S25,83,KRISHNANAGAR_UTTAR,3,BIDHAN HALDER,Bahujan Samaj Party,158,68,226
S25,83,KRISHNANAGAR_UTTAR,3,SOMNATH DUTTA,All India Trinamool Congress,6157,3505,9662
