State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,84,NABADWIP,1,TAPAS DAS,Bahujan Samaj Party,0,91,91
S25,84,NABADWIP,1,PUNDARIKAKSHYA SAHA,All India Trinamool Congress,0,6976,6976
S25,84,NABADWIP,1,SRUTISEKHAR GOSWAMI,Bharatiya Janata Party,0,7794,7794
S25,84,NABADWIP,1,SAMIR SAHA,Indian National Congress,0,89,89
S25,84,NABADWIP,1,SWARNENDU SINHA,Communist Party of India (Marxist),0,1665,1665
S25,84,NABADWIP,1,BAPPA SK,Aam Janata Unnayan party,0,39,39
S25,84,NABADWIP,1,NANIGOPAL DEBNATH,Independent,0,22,22
S25,84,NABADWIP,1,NITAI RARHI,Independent,0,70,70
S25,84,NABADWIP,1,RAGHUNATH DAS,Independent,0,166,166
S25,84,NABADWIP,1,SUBHANKAR HALDAR,Independent,0,129,129
S25,84,NABADWIP,1,NOTA,None of the Above,0,102,102
S25,84,NABADWIP,2,TAPAS DAS,Bahujan Samaj Party,91,52,143
S25,84,NABADWIP,2,PUNDARIKAKSHYA SAHA,All India Trinamool Congress,6976,7943,14919
S25,84,NABADWIP,2,SRUTISEKHAR GOSWAMI,Bharatiya Janata Party,7794,4577,12371
S25,84,NABADWIP,2,SAMIR SAHA,Indian National Congress,89,104,193
S25,84,NABADWIP,2,SWARNENDU SINHA,Communist Party of India (Marxist),1665,2336,4001
S25,84,NABADWIP,2,BAPPA SK,Aam Janata Unnayan party,39,20,59
S25,84,NABADWIP,2,NANIGOPAL DEBNATH,Independent,22,22,44
S25,84,NABADWIP,2,NITAI RARHI,Independent,70,39,109
S25,84,NABADWIP,2,RAGHUNATH DAS,Independent,166,58,224
S25,84,NABADWIP,2,SUBHANKAR HALDAR,Independent,129,120,249
S25,84,NABADWIP,2,NOTA,None of the Above,102,71,173
S25,84,NABADWIP,3,TAPAS DAS,Bahujan Samaj Party,143,45,188
S25,84,NABADWIP,3,PUNDARIKAKSHYA SAHA,All India Trinamool Congress,14919,5554,20473
S25,84,NABADWIP,3,SRUTISEKHAR GOSWAMI,Bharatiya Janata Party,12371,8977,21348
S25,84,NABADWIP,3,SAMIR SAHA,Indian National Congress,193,120,313
S25,84,NABADWIP,3,SWARNENDU SINHA,Communist Party of India (Marxist),4001,655,4656
S25,84,NABADWIP,3,BAPPA SK,Aam Janata Unnayan party,59,15,74
S25,84,NABADWIP,3,NANIGOPAL DEBNATH,Independent,44,10,54
S25,84,NABADWIP,3,NITAI RARHI,Independent,109,20,129
