State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,89,RANAGHAT_UTTAR_PURBA,1,ASHIM BISWAS,Bharatiya Janata Party,0,7859,7859
S25,89,RANAGHAT_UTTAR_PURBA,1,NITYA GOPAL MONDAL,Indian National Congress,0,60,60
S25,89,RANAGHAT_UTTAR_PURBA,1,BARNALI DEY ROY,All India Trinamool Congress,0,4852,4852
S25,89,RANAGHAT_UTTAR_PURBA,1,BINDU BISWAS,Bahujan Samaj Party,0,53,53
S25,89,RANAGHAT_UTTAR_PURBA,1,MRINAL BISWAS (MINI),Communist Party of India (Marxist),0,183,183
S25,89,RANAGHAT_UTTAR_PURBA,1,JAGADISH MANDAL (JOGO),Socialist Unity Centre Of India (COMMUNIST),0,10,10
S25,89,RANAGHAT_UTTAR_PURBA,1,ASIM BISWAS,Independent,0,10,10
S25,89,RANAGHAT_UTTAR_PURBA,1,ASIM BISWAS,Independent,0,18,18
S25,89,RANAGHAT_UTTAR_PURBA,1,GOBINDA PODDER,Independent,0,20,20
S25,89,RANAGHAT_UTTAR_PURBA,1,BARNALI BISWAS,Independent,0,96,96
S25,89,RANAGHAT_UTTAR_PURBA,1,MADHAB DAS,Independent,0,29,29
S25,89,RANAGHAT_UTTAR_PURBA,1,NOTA,None of the Above,0,104,104
S25,89,RANAGHAT_UTTAR_PURBA,2,ASHIM BISWAS,Bharatiya Janata Party,7859,8645,16504
S25,89,RANAGHAT_UTTAR_PURBA,2,NITYA GOPAL MONDAL,Indian National Congress,60,80,140
S25,89,RANAGHAT_UTTAR_PURBA,2,BARNALI DEY ROY,All India Trinamool Congress,4852,3899,8751
S25,89,RANAGHAT_UTTAR_PURBA,2,BINDU BISWAS,Bahujan Samaj Party,53,100,153
S25,89,RANAGHAT_UTTAR_PURBA,2,MRINAL BISWAS (MINI),Communist Party of India (Marxist),183,214,397
S25,89,RANAGHAT_UTTAR_PURBA,2,JAGADISH MANDAL (JOGO),Socialist Unity Centre Of India (COMMUNIST),10,5,15
S25,89,RANAGHAT_UTTAR_PURBA,2,ASIM BISWAS,Independent,10,5,15
S25,89,RANAGHAT_UTTAR_PURBA,2,ASIM BISWAS,Independent,18,6,24
S25,89,RANAGHAT_UTTAR_PURBA,2,GOBINDA PODDER,Independent,20,11,31
S25,89,RANAGHAT_UTTAR_PURBA,2,BARNALI BISWAS,Independent,96,52,148
S25,89,RANAGHAT_UTTAR_PURBA,2,MADHAB DAS,Independent,29,22,51
S25,89,RANAGHAT_UTTAR_PURBA,2,NOTA,None of the Above,104,81,185
S25,89,RANAGHAT_UTTAR_PURBA,3,ASHIM BISWAS,Bharatiya Janata Party,16504,8274,24778
S25,89,RANAGHAT_UTTAR_PURBA,3,NITYA GOPAL MONDAL,Indian National Congress,140,89,229
S25,89,RANAGHAT_UTTAR_PURBA,3,BARNALI DEY ROY,All India Trinamool Congress,8751,4655,13406
S25,89,RANAGHAT_UTTAR_PURBA,3,BINDU BISWAS,Bahujan Samaj Party,153,118,271
S25,89,RANAGHAT_UTTAR_PURBA,3,MRINAL BISWAS (MINI),Communist Party of India (Marxist),397,388,785
S25,89,RANAGHAT_UTTAR_PURBA,3,JAGADISH MANDAL (JOGO),Socialist Unity Centre Of India (COMMUNIST),15,10,25
S25,89,RANAGHAT_UTTAR_PURBA,3,ASIM BISWAS,Independent,15,12,27
S25,89,RANAGHAT_UTTAR_PURBA,3,ASIM BISWAS,Independent,24,16,40
S25,89,RANAGHAT_UTTAR_PURBA,3,GOBINDA PODDER,Independent,31,13,44
