State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,96,BANGAON_DAKSHIN,1,ASISH KUMAR SARKAR,Communist Party of India (Marxist),0,624,624
S25,96,BANGAON_DAKSHIN,1,RITUPARNA ADDHYA,All India Trinamool Congress,0,6728,6728
S25,96,BANGAON_DAKSHIN,1,KISOR KUMAR BISWAS,Indian National Congress,0,36,36
S25,96,BANGAON_DAKSHIN,1,SANTOSH KUMAR SIKDAR,Bahujan Samaj Party,0,21,21
S25,96,BANGAON_DAKSHIN,1,SWAPAN MAJUMDER,Bharatiya Janata Party,0,3099,3099
S25,96,BANGAON_DAKSHIN,1,RABINDRA NATH BARAI,Socialist Unity Centre Of India (COMMUNIST),0,15,15
S25,96,BANGAON_DAKSHIN,1,KALYANI MONDAL,Independent,0,5,5
S25,96,BANGAON_DAKSHIN,1,PABITRA ROY,Independent,0,38,38
S25,96,BANGAON_DAKSHIN,1,BIPLAB TIKADAR,Independent,0,12,12
S25,96,BANGAON_DAKSHIN,1,SHEFALI BAIN,Independent,0,16,16
S25,96,BANGAON_DAKSHIN,1,SWAPAN MAJUMDER,Independent,0,95,95
S25,96,BANGAON_DAKSHIN,1,NOTA,None of the Above,0,64,64
S25,96,BANGAON_DAKSHIN,2,ASISH KUMAR SARKAR,Communist Party of India (Marxist),624,193,817
S25,96,BANGAON_DAKSHIN,2,RITUPARNA ADDHYA,All India Trinamool Congress,6728,4154,10882
S25,96,BANGAON_DAKSHIN,2,KISOR KUMAR BISWAS,Indian National Congress,36,28,64
S25,96,BANGAON_DAKSHIN,2,SANTOSH KUMAR SIKDAR,Bahujan Samaj Party,21,50,71
S25,96,BANGAON_DAKSHIN,2,SWAPAN MAJUMDER,Bharatiya Janata Party,3099,6416,9515
S25,96,BANGAON_DAKSHIN,2,RABINDRA NATH BARAI,Socialist Unity Centre Of India (COMMUNIST),15,15,30
S25,96,BANGAON_DAKSHIN,2,KALYANI MONDAL,Independent,5,8,13
