State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,97,GAIGHATA,1,ANIL KUMAR PANDEY,Indian National Congress,0,37,37
S25,97,GAIGHATA,1,NAROTTAM BISWAS,All India Trinamool Congress,0,4480,4480
S25,97,GAIGHATA,1,SABYASACHI BISWAS,Bahujan Samaj Party,0,44,44
S25,97,GAIGHATA,1,SUBRATA THAKUR,Bharatiya Janata Party,0,6082,6082
S25,97,GAIGHATA,1,SHIBANI MAJUMDAR,Socialist Unity Centre Of India (COMMUNIST),0,23,23
S25,97,GAIGHATA,1,SAJAL BISWAS,Communist Party of India,0,464,464
S25,97,GAIGHATA,1,CHANDAN ROY,Independent,0,13,13
S25,97,GAIGHATA,1,TAPAN BISWAS,Independent,0,12,12
S25,97,GAIGHATA,1,SHIDDHARTHA SAMADDER,Independent,0,31,31
S25,97,GAIGHATA,1,SUDHIR MONDAL,Independent,0,17,17
S25,97,GAIGHATA,1,SUBRATA ADHIKARY,Independent,0,42,42
S25,97,GAIGHATA,1,NOTA,None of the Above,0,33,33
S25,97,GAIGHATA,2,ANIL KUMAR PANDEY,Indian National Congress,37,63,100
S25,97,GAIGHATA,2,NAROTTAM BISWAS,All India Trinamool Congress,4480,3347,7827
S25,97,GAIGHATA,2,SABYASACHI BISWAS,Bahujan Samaj Party,44,27,71
S25,97,GAIGHATA,2,SUBRATA THAKUR,Bharatiya Janata Party,6082,5835,11917
S25,97,GAIGHATA,2,SHIBANI MAJUMDAR,Socialist Unity Centre Of India (COMMUNIST),23,27,50
S25,97,GAIGHATA,2,SAJAL BISWAS,Communist Party of India,464,266,730
S25,97,GAIGHATA,2,CHANDAN ROY,Independent,13,3,16
S25,97,GAIGHATA,2,TAPAN BISWAS,Independent,12,4,16
S25,97,GAIGHATA,2,SHIDDHARTHA SAMADDER,Independent,31,22,53
S25,97,GAIGHATA,2,SUDHIR MONDAL,Independent,17,8,25
