State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,100,HABRA,1,RIJINANDAN BISWAS,Communist Party of India (Marxist),0,2344,2344
S25,100,HABRA,1,KAMALENDU BALA,Bahujan Samaj Party,0,41,41
S25,100,HABRA,1,JYOTI PRIYA MALLICK,All India Trinamool Congress,0,6478,6478
S25,100,HABRA,1,DEBDAS MONDAL,Bharatiya Janata Party,0,2981,2981
S25,100,HABRA,1,PRONOB BHATTACHARYYA,Indian National Congress,0,89,89
S25,100,HABRA,1,ASIK RAJ MONDAL,All India Majlis-E-Ittehadul Muslimeen,0,50,50
S25,100,HABRA,1,KABIR RANA,Aam Janata Unnayan party,0,9,9
S25,100,HABRA,1,PROBODH KUMAR SARKAR,Socialist Unity Centre Of India (COMMUNIST),0,12,12
S25,100,HABRA,1,APU MALLICK,Independent,0,12,12
S25,100,HABRA,1,DEBDAS MONDAL,Independent,0,19,19
S25,100,HABRA,1,DEBABRATA DAS,Independent,0,43,43
S25,100,HABRA,1,SHAFIQUE ALI,Independent,0,64,64
S25,100,HABRA,1,SARIFUL MOLLA,Independent,0,25,25
S25,100,HABRA,1,NOTA,None of the Above,0,76,76
S25,100,HABRA,2,RIJINANDAN BISWAS,Communist Party of India (Marxist),2344,2290,4634
S25,100,HABRA,2,KAMALENDU BALA,Bahujan Samaj Party,41,41,82
S25,100,HABRA,2,JYOTI PRIYA MALLICK,All India Trinamool Congress,6478,5559,12037
S25,100,HABRA,2,DEBDAS MONDAL,Bharatiya Janata Party,2981,4089,7070
S25,100,HABRA,2,PRONOB BHATTACHARYYA,Indian National Congress,89,80,169
S25,100,HABRA,2,ASIK RAJ MONDAL,All India Majlis-E-Ittehadul Muslimeen,50,30,80
S25,100,HABRA,2,KABIR RANA,Aam Janata Unnayan party,9,4,13
S25,100,HABRA,2,PROBODH KUMAR SARKAR,Socialist Unity Centre Of India (COMMUNIST),12,13,25
S25,100,HABRA,2,APU MALLICK,Independent,12,12,24
S25,100,HABRA,2,DEBDAS MONDAL,Independent,19,18,37
S25,100,HABRA,2,DEBABRATA DAS,Independent,43,76,119
S25,100,HABRA,2,SHAFIQUE ALI,Independent,64,58,122
