State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,101,ASHOKNAGAR,1,ANGSHUMAN ROY,Indian National Congress,0,36,36
S25,101,ASHOKNAGAR,1,TARAKESWAR HAWLADER,Bahujan Samaj Party,0,36,36
S25,101,ASHOKNAGAR,1,NARAYAN GOSWAMI,All India Trinamool Congress,0,5275,5275
S25,101,ASHOKNAGAR,1,DR. SUMAY HIRA,Bharatiya Janata Party,0,2922,2922
S25,101,ASHOKNAGAR,1,TAPAS BANERJEE,All India Secular Front,0,3792,3792
S25,101,ASHOKNAGAR,1,TARAK DAS,Socialist Unity Centre Of India (COMMUNIST),0,49,49
S25,101,ASHOKNAGAR,1,SHIKHA GHOSH,Aam Janata Unnayan party,0,37,37
S25,101,ASHOKNAGAR,1,TAPAS BANERJEE,Independent,0,94,94
S25,101,ASHOKNAGAR,1,TAPAS SARDAR,Independent,0,20,20
S25,101,ASHOKNAGAR,1,NOTA,None of the Above,0,72,72
S25,101,ASHOKNAGAR,2,ANGSHUMAN ROY,Indian National Congress,36,43,79
S25,101,ASHOKNAGAR,2,TARAKESWAR HAWLADER,Bahujan Samaj Party,36,30,66
S25,101,ASHOKNAGAR,2,NARAYAN GOSWAMI,All India Trinamool Congress,5275,4262,9537
S25,101,ASHOKNAGAR,2,DR. SUMAY HIRA,Bharatiya Janata Party,2922,5509,8431
S25,101,ASHOKNAGAR,2,TAPAS BANERJEE,All India Secular Front,3792,1270,5062
S25,101,ASHOKNAGAR,2,TARAK DAS,Socialist Unity Centre Of India (COMMUNIST),49,29,78
S25,101,ASHOKNAGAR,2,SHIKHA GHOSH,Aam Janata Unnayan party,37,31,68
S25,101,ASHOKNAGAR,2,TAPAS BANERJEE,Independent,94,85,179
S25,101,ASHOKNAGAR,2,TAPAS SARDAR,Independent,20,18,38
S25,101,ASHOKNAGAR,2,NOTA,None of the Above,72,44,116
S25,101,ASHOKNAGAR,3,ANGSHUMAN ROY,Indian National Congress,79,62,141
S25,101,ASHOKNAGAR,3,TARAKESWAR HAWLADER,Bahujan Samaj Party,66,25,91
S25,101,ASHOKNAGAR,3,NARAYAN GOSWAMI,All India Trinamool Congress,9537,4787,14324
S25,101,ASHOKNAGAR,3,DR. SUMAY HIRA,Bharatiya Janata Party,8431,3595,12026
S25,101,ASHOKNAGAR,3,TAPAS BANERJEE,All India Secular Front,5062,1964,7026
S25,101,ASHOKNAGAR,3,TARAK DAS,Socialist Unity Centre Of India (COMMUNIST),78,24,102
S25,101,ASHOKNAGAR,3,SHIKHA GHOSH,Aam Janata Unnayan party,68,17,85
S25,101,ASHOKNAGAR,3,TAPAS BANERJEE,Independent,179,59,238
S25,101,ASHOKNAGAR,3,TAPAS SARDAR,Independent,38,9,47
S25,101,ASHOKNAGAR,3,NOTA,None of the Above,116,37,153
S25,101,ASHOKNAGAR,4,ANGSHUMAN ROY,Indian National Congress,141,87,228
S25,101,ASHOKNAGAR,4,TARAKESWAR HAWLADER,Bahujan Samaj Party,91,23,114
S25,101,ASHOKNAGAR,4,NARAYAN GOSWAMI,All India Trinamool Congress,14324,4652,18976
S25,101,ASHOKNAGAR,4,DR. SUMAY HIRA,Bharatiya Janata Party,12026,5078,17104
S25,101,ASHOKNAGAR,4,TAPAS BANERJEE,All India Secular Front,7026,1903,8929
S25,101,ASHOKNAGAR,4,TARAK DAS,Socialist Unity Centre Of India (COMMUNIST),102,57,159
S25,101,ASHOKNAGAR,4,SHIKHA GHOSH,Aam Janata Unnayan party,85,50,135
S25,101,ASHOKNAGAR,4,TAPAS BANERJEE,Independent,238,94,332
S25,101,ASHOKNAGAR,4,TAPAS SARDAR,Independent,47,26,73
S25,101,ASHOKNAGAR,4,NOTA,None of the Above,153,75,228
S25,101,ASHOKNAGAR,5,ANGSHUMAN ROY,Indian National Congress,228,74,302
S25,101,ASHOKNAGAR,5,TARAKESWAR HAWLADER,Bahujan Samaj Party,114,21,135
S25,101,ASHOKNAGAR,5,NARAYAN GOSWAMI,All India Trinamool Congress,18976,4541,23517
S25,101,ASHOKNAGAR,5,DR. SUMAY HIRA,Bharatiya Janata Party,17104,2618,19722
S25,101,ASHOKNAGAR,5,TAPAS BANERJEE,All India Secular Front,8929,3390,12319
S25,101,ASHOKNAGAR,5,TARAK DAS,Socialist Unity Centre Of India (COMMUNIST),159,41,200
S25,101,ASHOKNAGAR,5,SHIKHA GHOSH,Aam Janata Unnayan party,135,30,165
S25,101,ASHOKNAGAR,5,TAPAS BANERJEE,Independent,332,80,412
S25,101,ASHOKNAGAR,5,TAPAS SARDAR,Independent,73,13,86
S25,101,ASHOKNAGAR,5,NOTA,None of the Above,228,56,284
S25,101,ASHOKNAGAR,6,ANGSHUMAN ROY,Indian National Congress,302,52,354
S25,101,ASHOKNAGAR,6,TARAKESWAR HAWLADER,Bahujan Samaj Party,135,33,168
S25,101,ASHOKNAGAR,6,NARAYAN GOSWAMI,All India Trinamool Congress,23517,6284,29801
S25,101,ASHOKNAGAR,6,DR. SUMAY HIRA,Bharatiya Janata Party,19722,1866,21588
S25,101,ASHOKNAGAR,6,TAPAS BANERJEE,All India Secular Front,12319,3646,15965
S25,101,ASHOKNAGAR,6,TARAK DAS,Socialist Unity Centre Of India (COMMUNIST),200,40,240
S25,101,ASHOKNAGAR,6,SHIKHA GHOSH,Aam Janata Unnayan party,165,25,190
S25,101,ASHOKNAGAR,6,TAPAS BANERJEE,Independent,412,114,526
S25,101,ASHOKNAGAR,6,TAPAS SARDAR,Independent,86,17,103
S25,101,ASHOKNAGAR,6,NOTA,None of the Above,284,55,339
S25,101,ASHOKNAGAR,7,ANGSHUMAN ROY,Indian National Congress,354,52,406
S25,101,ASHOKNAGAR,7,TARAKESWAR HAWLADER,Bahujan Samaj Party,168,45,213
S25,101,ASHOKNAGAR,7,NARAYAN GOSWAMI,All India Trinamool Congress,29801,4966,34767
S25,101,ASHOKNAGAR,7,DR. SUMAY HIRA,Bharatiya Janata Party,21588,3194,24782
S25,101,ASHOKNAGAR,7,TAPAS BANERJEE,All India Secular Front,15965,3220,19185
S25,101,ASHOKNAGAR,7,TARAK DAS,Socialist Unity Centre Of India (COMMUNIST),240,50,290
S25,101,ASHOKNAGAR,7,SHIKHA GHOSH,Aam Janata Unnayan party,190,42,232
S25,101,ASHOKNAGAR,7,TAPAS BANERJEE,Independent,526,88,614
S25,101,ASHOKNAGAR,7,TAPAS SARDAR,Independent,103,23,126
S25,101,ASHOKNAGAR,7,NOTA,None of the Above,339,62,401
S25,101,ASHOKNAGAR,8,ANGSHUMAN ROY,Indian National Congress,406,44,450
S25,101,ASHOKNAGAR,8,TARAKESWAR HAWLADER,Bahujan Samaj Party,213,40,253
S25,101,ASHOKNAGAR,8,NARAYAN GOSWAMI,All India Trinamool Congress,34767,4191,38958
S25,101,ASHOKNAGAR,8,DR. SUMAY HIRA,Bharatiya Janata Party,24782,4404,29186
S25,101,ASHOKNAGAR,8,TAPAS BANERJEE,All India Secular Front,19185,1568,20753
S25,101,ASHOKNAGAR,8,TARAK DAS,Socialist Unity Centre Of India (COMMUNIST),290,28,318
S25,101,ASHOKNAGAR,8,SHIKHA GHOSH,Aam Janata Unnayan party,232,29,261
S25,101,ASHOKNAGAR,8,TAPAS BANERJEE,Independent,614,48,662
S25,101,ASHOKNAGAR,8,TAPAS SARDAR,Independent,126,15,141
S25,101,ASHOKNAGAR,8,NOTA,None of the Above,401,46,447
S25,101,ASHOKNAGAR,9,ANGSHUMAN ROY,Indian National Congress,450,25,475
S25,101,ASHOKNAGAR,9,TARAKESWAR HAWLADER,Bahujan Samaj Party,253,25,278
S25,101,ASHOKNAGAR,9,NARAYAN GOSWAMI,All India Trinamool Congress,38958,4338,43296
S25,101,ASHOKNAGAR,9,DR. SUMAY HIRA,Bharatiya Janata Party,29186,3811,32997
S25,101,ASHOKNAGAR,9,TAPAS BANERJEE,All India Secular Front,20753,1657,22410
S25,101,ASHOKNAGAR,9,TARAK DAS,Socialist Unity Centre Of India (COMMUNIST),318,17,335
S25,101,ASHOKNAGAR,9,SHIKHA GHOSH,Aam Janata Unnayan party,261,29,290
S25,101,ASHOKNAGAR,9,TAPAS BANERJEE,Independent,662,51,713
S25,101,ASHOKNAGAR,9,TAPAS SARDAR,Independent,141,8,149
S25,101,ASHOKNAGAR,9,NOTA,None of the Above,447,54,501
S25,101,ASHOKNAGAR,10,ANGSHUMAN ROY,Indian National Congress,475,50,525
S25,101,ASHOKNAGAR,10,TARAKESWAR HAWLADER,Bahujan Samaj Party,278,36,314
S25,101,ASHOKNAGAR,10,NARAYAN GOSWAMI,All India Trinamool Congress,43296,4062,47358
S25,101,ASHOKNAGAR,10,DR. SUMAY HIRA,Bharatiya Janata Party,32997,6468,39465
S25,101,ASHOKNAGAR,10,TAPAS BANERJEE,All India Secular Front,22410,1300,23710
S25,101,ASHOKNAGAR,10,TARAK DAS,Socialist Unity Centre Of India (COMMUNIST),335,22,357
S25,101,ASHOKNAGAR,10,SHIKHA GHOSH,Aam Janata Unnayan party,290,26,316
