State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,107,NOAPARA,1,ARJUN SINGH,Bharatiya Janata Party,0,6131,6131
S25,107,NOAPARA,1,ASOKE BHATTACHARYA,Indian National Congress,0,144,144
S25,107,NOAPARA,1,GARGI CHATTERJEE,Communist Party of India (Marxist),0,1338,1338
S25,107,NOAPARA,1,TRINANKUR BHATTACHARJEE,All India Trinamool Congress,0,6466,6466
S25,107,NOAPARA,1,MINA MAJUMDAR,Bahujan Samaj Party,0,33,33
S25,107,NOAPARA,1,BIPLOB MITRA,Aam Janata Unnayan party,0,4,4
S25,107,NOAPARA,1,AMIT KUMAR SHAW,Independent,0,8,8
S25,107,NOAPARA,1,IZAHARUL HAQUE,Independent,0,9,9
S25,107,NOAPARA,1,JAYANTA KUMAR BANERJEE,Independent,0,7,7
S25,107,NOAPARA,1,BANTI RAJAK,Independent,0,4,4
S25,107,NOAPARA,1,VIKASH KUMAR RAM,Independent,0,6,6
S25,107,NOAPARA,1,BISHAL KUMAR MANDAL,Independent,0,23,23
S25,107,NOAPARA,1,MAQSUD HASAN,Independent,0,67,67
S25,107,NOAPARA,1,SUPRIYO DEY,Independent,0,20,20
S25,107,NOAPARA,1,HRIDAY KANT PATHAK,Independent,0,15,15
S25,107,NOAPARA,1,NOTA,None of the Above,0,95,95
S25,107,NOAPARA,2,ARJUN SINGH,Bharatiya Janata Party,6131,7743,13874
S25,107,NOAPARA,2,ASOKE BHATTACHARYA,Indian National Congress,144,92,236
S25,107,NOAPARA,2,GARGI CHATTERJEE,Communist Party of India (Marxist),1338,379,1717
S25,107,NOAPARA,2,TRINANKUR BHATTACHARJEE,All India Trinamool Congress,6466,5328,11794
S25,107,NOAPARA,2,MINA MAJUMDAR,Bahujan Samaj Party,33,30,63
S25,107,NOAPARA,2,BIPLOB MITRA,Aam Janata Unnayan party,4,7,11
S25,107,NOAPARA,2,AMIT KUMAR SHAW,Independent,8,22,30
