State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,108,BARRACKPUR,1,KAUSTUV BAGCHI,Bharatiya Janata Party,0,6421,6421
S25,108,BARRACKPUR,1,RAJ CHAKRABORTY (RAJU),All India Trinamool Congress,0,5076,5076
S25,108,BARRACKPUR,1,SAMBHU DAS,Indian National Congress,0,91,91
S25,108,BARRACKPUR,1,SUMAN RANJAN BANDYOPADHYAY,Communist Party of India (Marxist),0,1053,1053
S25,108,BARRACKPUR,1,AMAL KUMAR SEN,Socialist Unity Centre Of India (COMMUNIST),0,16,16
S25,108,BARRACKPUR,1,ZAKIR HUSSAIN,Aam Janata Unnayan party,0,10,10
S25,108,BARRACKPUR,1,RAJDEEP ROY,Independent,0,15,15
S25,108,BARRACKPUR,1,SAMIR KUNDU,Independent,0,23,23
S25,108,BARRACKPUR,1,SAROJ SHARMA,Independent,0,38,38
S25,108,BARRACKPUR,1,NOTA,None of the Above,0,96,96
S25,108,BARRACKPUR,2,KAUSTUV BAGCHI,Bharatiya Janata Party,6421,5839,12260
S25,108,BARRACKPUR,2,RAJ CHAKRABORTY (RAJU),All India Trinamool Congress,5076,3681,8757
S25,108,BARRACKPUR,2,SAMBHU DAS,Indian National Congress,91,120,211
S25,108,BARRACKPUR,2,SUMAN RANJAN BANDYOPADHYAY,Communist Party of India (Marxist),1053,1382,2435
S25,108,BARRACKPUR,2,AMAL KUMAR SEN,Socialist Unity Centre Of India (COMMUNIST),16,14,30
S25,108,BARRACKPUR,2,ZAKIR HUSSAIN,Aam Janata Unnayan party,10,6,16
S25,108,BARRACKPUR,2,RAJDEEP ROY,Independent,15,7,22
S25,108,BARRACKPUR,2,SAMIR KUNDU,Independent,23,19,42
S25,108,BARRACKPUR,2,SAROJ SHARMA,Independent,38,26,64
S25,108,BARRACKPUR,2,NOTA,None of the Above,96,96,192
S25,108,BARRACKPUR,3,KAUSTUV BAGCHI,Bharatiya Janata Party,12260,5421,17681
S25,108,BARRACKPUR,3,RAJ CHAKRABORTY (RAJU),All India Trinamool Congress,8757,4079,12836
S25,108,BARRACKPUR,3,SAMBHU DAS,Indian National Congress,211,97,308
S25,108,BARRACKPUR,3,SUMAN RANJAN BANDYOPADHYAY,Communist Party of India (Marxist),2435,1193,3628
S25,108,BARRACKPUR,3,AMAL KUMAR SEN,Socialist Unity Centre Of India (COMMUNIST),30,9,39
S25,108,BARRACKPUR,3,ZAKIR HUSSAIN,Aam Janata Unnayan party,16,5,21
S25,108,BARRACKPUR,3,RAJDEEP ROY,Independent,22,9,31
S25,108,BARRACKPUR,3,SAMIR KUNDU,Independent,42,8,50
S25,108,BARRACKPUR,3,SAROJ SHARMA,Independent,64,21,85
S25,108,BARRACKPUR,3,NOTA,None of the Above,192,97,289
S25,108,BARRACKPUR,4,KAUSTUV BAGCHI,Bharatiya Janata Party,17681,6184,23865
S25,108,BARRACKPUR,4,RAJ CHAKRABORTY (RAJU),All India Trinamool Congress,12836,3699,16535
S25,108,BARRACKPUR,4,SAMBHU DAS,Indian National Congress,308,97,405
S25,108,BARRACKPUR,4,SUMAN RANJAN BANDYOPADHYAY,Communist Party of India (Marxist),3628,1258,4886
S25,108,BARRACKPUR,4,AMAL KUMAR SEN,Socialist Unity Centre Of India (COMMUNIST),39,11,50
S25,108,BARRACKPUR,4,ZAKIR HUSSAIN,Aam Janata Unnayan party,21,7,28
S25,108,BARRACKPUR,4,RAJDEEP ROY,Independent,31,9,40
S25,108,BARRACKPUR,4,SAMIR KUNDU,Independent,50,19,69
S25,108,BARRACKPUR,4,SAROJ SHARMA,Independent,85,27,112
S25,108,BARRACKPUR,4,NOTA,None of the Above,289,97,386
S25,108,BARRACKPUR,5,KAUSTUV BAGCHI,Bharatiya Janata Party,23865,5815,29680
S25,108,BARRACKPUR,5,RAJ CHAKRABORTY (RAJU),All India Trinamool Congress,16535,3563,20098
S25,108,BARRACKPUR,5,SAMBHU DAS,Indian National Congress,405,122,527
S25,108,BARRACKPUR,5,SUMAN RANJAN BANDYOPADHYAY,Communist Party of India (Marxist),4886,1142,6028
S25,108,BARRACKPUR,5,AMAL KUMAR SEN,Socialist Unity Centre Of India (COMMUNIST),50,14,64
S25,108,BARRACKPUR,5,ZAKIR HUSSAIN,Aam Janata Unnayan party,28,7,35
S25,108,BARRACKPUR,5,RAJDEEP ROY,Independent,40,10,50
S25,108,BARRACKPUR,5,SAMIR KUNDU,Independent,69,9,78
S25,108,BARRACKPUR,5,SAROJ SHARMA,Independent,112,26,138
S25,108,BARRACKPUR,5,NOTA,None of the Above,386,95,481
