State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,111,PANIHATI,1,KALATAN DASGUPTA,Communist Party of India (Marxist),0,1359,1359
S25,111,PANIHATI,1,TIRTHANKAR GHOSH,All India Trinamool Congress,0,4129,4129
S25,111,PANIHATI,1,RATNA DEBNATH,Bharatiya Janata Party,0,6892,6892
S25,111,PANIHATI,1,SUBHASHISH BHATTACHARYA (TATA),Indian National Congress,0,76,76
S25,111,PANIHATI,1,SWAMINATH KORI,Bahujan Samaj Party,0,10,10
S25,111,PANIHATI,1,AFSANA KHATOON,Aam Janata Unnayan party,0,4,4
S25,111,PANIHATI,1,CHANDRA SHEKHAR CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),0,8,8
S25,111,PANIHATI,1,BISWANATH DEY,Independent,0,9,9
S25,111,PANIHATI,1,SHEKH IMANUR RAHMAN,Independent,0,16,16
S25,111,PANIHATI,1,SANJIB KUMAR GHOSH,Independent,0,21,21
S25,111,PANIHATI,1,SADHANA CHAKRABORTY,Independent,0,40,40
S25,111,PANIHATI,1,NOTA,None of the Above,0,79,79
S25,111,PANIHATI,2,KALATAN DASGUPTA,Communist Party of India (Marxist),1359,1878,3237
S25,111,PANIHATI,2,TIRTHANKAR GHOSH,All India Trinamool Congress,4129,4588,8717
S25,111,PANIHATI,2,RATNA DEBNATH,Bharatiya Janata Party,6892,6892,13784
S25,111,PANIHATI,2,SUBHASHISH BHATTACHARYA (TATA),Indian National Congress,76,77,153
S25,111,PANIHATI,2,SWAMINATH KORI,Bahujan Samaj Party,10,15,25
S25,111,PANIHATI,2,AFSANA KHATOON,Aam Janata Unnayan party,4,5,9
S25,111,PANIHATI,2,CHANDRA SHEKHAR CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),8,4,12
S25,111,PANIHATI,2,BISWANATH DEY,Independent,9,6,15
S25,111,PANIHATI,2,SHEKH IMANUR RAHMAN,Independent,16,7,23
S25,111,PANIHATI,2,SANJIB KUMAR GHOSH,Independent,21,18,39
S25,111,PANIHATI,2,SADHANA CHAKRABORTY,Independent,40,32,72
S25,111,PANIHATI,2,NOTA,None of the Above,79,67,146
S25,111,PANIHATI,3,KALATAN DASGUPTA,Communist Party of India (Marxist),3237,1593,4830
S25,111,PANIHATI,3,TIRTHANKAR GHOSH,All India Trinamool Congress,8717,4529,13246
S25,111,PANIHATI,3,RATNA DEBNATH,Bharatiya Janata Party,13784,7529,21313
S25,111,PANIHATI,3,SUBHASHISH BHATTACHARYA (TATA),Indian National Congress,153,78,231
S25,111,PANIHATI,3,SWAMINATH KORI,Bahujan Samaj Party,25,11,36
S25,111,PANIHATI,3,AFSANA KHATOON,Aam Janata Unnayan party,9,4,13
S25,111,PANIHATI,3,CHANDRA SHEKHAR CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),12,16,28
S25,111,PANIHATI,3,BISWANATH DEY,Independent,15,4,19
S25,111,PANIHATI,3,SHEKH IMANUR RAHMAN,Independent,23,17,40
S25,111,PANIHATI,3,SANJIB KUMAR GHOSH,Independent,39,30,69
S25,111,PANIHATI,3,SADHANA CHAKRABORTY,Independent,72,38,110
S25,111,PANIHATI,3,NOTA,None of the Above,146,71,217
S25,111,PANIHATI,4,KALATAN DASGUPTA,Communist Party of India (Marxist),4830,2037,6867
S25,111,PANIHATI,4,TIRTHANKAR GHOSH,All India Trinamool Congress,13246,4914,18160
S25,111,PANIHATI,4,RATNA DEBNATH,Bharatiya Janata Party,21313,7660,28973
S25,111,PANIHATI,4,SUBHASHISH BHATTACHARYA (TATA),Indian National Congress,231,109,340
S25,111,PANIHATI,4,SWAMINATH KORI,Bahujan Samaj Party,36,15,51
S25,111,PANIHATI,4,AFSANA KHATOON,Aam Janata Unnayan party,13,7,20
S25,111,PANIHATI,4,CHANDRA SHEKHAR CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),28,12,40
S25,111,PANIHATI,4,BISWANATH DEY,Independent,19,3,22
S25,111,PANIHATI,4,SHEKH IMANUR RAHMAN,Independent,40,12,52
S25,111,PANIHATI,4,SANJIB KUMAR GHOSH,Independent,69,41,110
S25,111,PANIHATI,4,SADHANA CHAKRABORTY,Independent,110,37,147
S25,111,PANIHATI,4,NOTA,None of the Above,217,69,286
S25,111,PANIHATI,5,KALATAN DASGUPTA,Communist Party of India (Marxist),6867,2009,8876
S25,111,PANIHATI,5,TIRTHANKAR GHOSH,All India Trinamool Congress,18160,4004,22164
S25,111,PANIHATI,5,RATNA DEBNATH,Bharatiya Janata Party,28973,6921,35894
S25,111,PANIHATI,5,SUBHASHISH BHATTACHARYA (TATA),Indian National Congress,340,102,442
S25,111,PANIHATI,5,SWAMINATH KORI,Bahujan Samaj Party,51,14,65
S25,111,PANIHATI,5,AFSANA KHATOON,Aam Janata Unnayan party,20,2,22
S25,111,PANIHATI,5,CHANDRA SHEKHAR CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),40,9,49
S25,111,PANIHATI,5,BISWANATH DEY,Independent,22,7,29
S25,111,PANIHATI,5,SHEKH IMANUR RAHMAN,Independent,52,9,61
S25,111,PANIHATI,5,SANJIB KUMAR GHOSH,Independent,110,24,134
S25,111,PANIHATI,5,SADHANA CHAKRABORTY,Independent,147,38,185
S25,111,PANIHATI,5,NOTA,None of the Above,286,83,369
S25,111,PANIHATI,6,KALATAN DASGUPTA,Communist Party of India (Marxist),8876,2062,10938
S25,111,PANIHATI,6,TIRTHANKAR GHOSH,All India Trinamool Congress,22164,4613,26777
S25,111,PANIHATI,6,RATNA DEBNATH,Bharatiya Janata Party,35894,6033,41927
S25,111,PANIHATI,6,SUBHASHISH BHATTACHARYA (TATA),Indian National Congress,442,106,548
S25,111,PANIHATI,6,SWAMINATH KORI,Bahujan Samaj Party,65,17,82
S25,111,PANIHATI,6,AFSANA KHATOON,Aam Janata Unnayan party,22,8,30
S25,111,PANIHATI,6,CHANDRA SHEKHAR CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),49,6,55
S25,111,PANIHATI,6,BISWANATH DEY,Independent,29,3,32
S25,111,PANIHATI,6,SHEKH IMANUR RAHMAN,Independent,61,10,71
S25,111,PANIHATI,6,SANJIB KUMAR GHOSH,Independent,134,15,149
S25,111,PANIHATI,6,SADHANA CHAKRABORTY,Independent,185,42,227
S25,111,PANIHATI,6,NOTA,None of the Above,369,71,440
S25,111,PANIHATI,7,KALATAN DASGUPTA,Communist Party of India (Marxist),10938,2112,13050
S25,111,PANIHATI,7,TIRTHANKAR GHOSH,All India Trinamool Congress,26777,3945,30722
S25,111,PANIHATI,7,RATNA DEBNATH,Bharatiya Janata Party,41927,6402,48329
S25,111,PANIHATI,7,SUBHASHISH BHATTACHARYA (TATA),Indian National Congress,548,76,624
S25,111,PANIHATI,7,SWAMINATH KORI,Bahujan Samaj Party,82,7,89
S25,111,PANIHATI,7,AFSANA KHATOON,Aam Janata Unnayan party,30,8,38
S25,111,PANIHATI,7,CHANDRA SHEKHAR CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),55,7,62
S25,111,PANIHATI,7,BISWANATH DEY,Independent,32,3,35
S25,111,PANIHATI,7,SHEKH IMANUR RAHMAN,Independent,71,15,86
S25,111,PANIHATI,7,SANJIB KUMAR GHOSH,Independent,149,21,170
S25,111,PANIHATI,7,SADHANA CHAKRABORTY,Independent,227,31,258
S25,111,PANIHATI,7,NOTA,None of the Above,440,91,531
S25,111,PANIHATI,8,KALATAN DASGUPTA,Communist Party of India (Marxist),13050,1679,14729
S25,111,PANIHATI,8,TIRTHANKAR GHOSH,All India Trinamool Congress,30722,4982,35704
S25,111,PANIHATI,8,RATNA DEBNATH,Bharatiya Janata Party,48329,7838,56167
S25,111,PANIHATI,8,SUBHASHISH BHATTACHARYA (TATA),Indian National Congress,624,82,706
S25,111,PANIHATI,8,SWAMINATH KORI,Bahujan Samaj Party,89,24,113
S25,111,PANIHATI,8,AFSANA KHATOON,Aam Janata Unnayan party,38,7,45
S25,111,PANIHATI,8,CHANDRA SHEKHAR CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),62,12,74
S25,111,PANIHATI,8,BISWANATH DEY,Independent,35,6,41
S25,111,PANIHATI,8,SHEKH IMANUR RAHMAN,Independent,86,16,102
S25,111,PANIHATI,8,SANJIB KUMAR GHOSH,Independent,170,42,212
S25,111,PANIHATI,8,SADHANA CHAKRABORTY,Independent,258,46,304
S25,111,PANIHATI,8,NOTA,None of the Above,531,81,612
S25,111,PANIHATI,9,KALATAN DASGUPTA,Communist Party of India (Marxist),14729,1961,16690
S25,111,PANIHATI,9,TIRTHANKAR GHOSH,All India Trinamool Congress,35704,5179,40883
S25,111,PANIHATI,9,RATNA DEBNATH,Bharatiya Janata Party,56167,6947,63114
S25,111,PANIHATI,9,SUBHASHISH BHATTACHARYA (TATA),Indian National Congress,706,70,776
S25,111,PANIHATI,9,SWAMINATH KORI,Bahujan Samaj Party,113,19,132
S25,111,PANIHATI,9,AFSANA KHATOON,Aam Janata Unnayan party,45,16,61
S25,111,PANIHATI,9,CHANDRA SHEKHAR CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),74,16,90
S25,111,PANIHATI,9,BISWANATH DEY,Independent,41,7,48
S25,111,PANIHATI,9,SHEKH IMANUR RAHMAN,Independent,102,9,111
S25,111,PANIHATI,9,SANJIB KUMAR GHOSH,Independent,212,32,244
S25,111,PANIHATI,9,SADHANA CHAKRABORTY,Independent,304,76,380
S25,111,PANIHATI,9,NOTA,None of the Above,612,98,710
S25,111,PANIHATI,10,KALATAN DASGUPTA,Communist Party of India (Marxist),16690,1813,18503
S25,111,PANIHATI,10,TIRTHANKAR GHOSH,All India Trinamool Congress,40883,4394,45277
S25,111,PANIHATI,10,RATNA DEBNATH,Bharatiya Janata Party,63114,6702,69816
S25,111,PANIHATI,10,SUBHASHISH BHATTACHARYA (TATA),Indian National Congress,776,85,861
S25,111,PANIHATI,10,SWAMINATH KORI,Bahujan Samaj Party,132,8,140
S25,111,PANIHATI,10,AFSANA KHATOON,Aam Janata Unnayan party,61,7,68
S25,111,PANIHATI,10,CHANDRA SHEKHAR CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),90,14,104
S25,111,PANIHATI,10,BISWANATH DEY,Independent,48,4,52
S25,111,PANIHATI,10,SHEKH IMANUR RAHMAN,Independent,111,14,125
S25,111,PANIHATI,10,SANJIB KUMAR GHOSH,Independent,244,33,277
S25,111,PANIHATI,10,SADHANA CHAKRABORTY,Independent,380,49,429
S25,111,PANIHATI,10,NOTA,None of the Above,710,76,786
S25,111,PANIHATI,11,KALATAN DASGUPTA,Communist Party of India (Marxist),18503,2165,20668
S25,111,PANIHATI,11,TIRTHANKAR GHOSH,All India Trinamool Congress,45277,4796,50073
S25,111,PANIHATI,11,RATNA DEBNATH,Bharatiya Janata Party,69816,6512,76328
S25,111,PANIHATI,11,SUBHASHISH BHATTACHARYA (TATA),Indian National Congress,861,112,973
S25,111,PANIHATI,11,SWAMINATH KORI,Bahujan Samaj Party,140,13,153
S25,111,PANIHATI,11,AFSANA KHATOON,Aam Janata Unnayan party,68,6,74
S25,111,PANIHATI,11,CHANDRA SHEKHAR CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),104,12,116
S25,111,PANIHATI,11,BISWANATH DEY,Independent,52,8,60
S25,111,PANIHATI,11,SHEKH IMANUR RAHMAN,Independent,125,17,142
S25,111,PANIHATI,11,SANJIB KUMAR GHOSH,Independent,277,21,298
S25,111,PANIHATI,11,SADHANA CHAKRABORTY,Independent,429,41,470
S25,111,PANIHATI,11,NOTA,None of the Above,786,94,880
S25,111,PANIHATI,12,KALATAN DASGUPTA,Communist Party of India (Marxist),20668,2325,22993
S25,111,PANIHATI,12,TIRTHANKAR GHOSH,All India Trinamool Congress,50073,4338,54411
S25,111,PANIHATI,12,RATNA DEBNATH,Bharatiya Janata Party,76328,7049,83377
S25,111,PANIHATI,12,SUBHASHISH BHATTACHARYA (TATA),Indian National Congress,973,92,1065
S25,111,PANIHATI,12,SWAMINATH KORI,Bahujan Samaj Party,153,22,175
S25,111,PANIHATI,12,AFSANA KHATOON,Aam Janata Unnayan party,74,4,78
S25,111,PANIHATI,12,CHANDRA SHEKHAR CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),116,23,139
S25,111,PANIHATI,12,BISWANATH DEY,Independent,60,4,64
S25,111,PANIHATI,12,SHEKH IMANUR RAHMAN,Independent,142,20,162
S25,111,PANIHATI,12,SANJIB KUMAR GHOSH,Independent,298,35,333
S25,111,PANIHATI,12,SADHANA CHAKRABORTY,Independent,470,41,511
S25,111,PANIHATI,12,NOTA,None of the Above,880,91,971
S25,111,PANIHATI,13,KALATAN DASGUPTA,Communist Party of India (Marxist),22993,764,23757
S25,111,PANIHATI,13,TIRTHANKAR GHOSH,All India Trinamool Congress,54411,4368,58779
