State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,114,DUM_DUM,1,ARIJIT BAKSHI,Bharatiya Janata Party,0,7097,7097
S25,114,DUM_DUM,1,BRATYABRATA BASU,All India Trinamool Congress,0,5429,5429
S25,114,DUM_DUM,1,MAYUKH BISWAS,Communist Party of India (Marxist),0,1412,1412
S25,114,DUM_DUM,1,SUBRATA KUMAR MAJUMDER,Bahujan Samaj Party,0,21,21
S25,114,DUM_DUM,1,SUSMITA BISWAS,Indian National Congress,0,89,89
S25,114,DUM_DUM,1,NIRENDRANATH KARMAKAR,Socialist Unity Centre Of India (COMMUNIST),0,15,15
S25,114,DUM_DUM,1,SABIR RAJA ANSARI,Aam Janata Unnayan party,0,7,7
S25,114,DUM_DUM,1,DULU DEY,Independent,0,17,17
S25,114,DUM_DUM,1,PALASH SAMANTA,Independent,0,42,42
S25,114,DUM_DUM,1,NOTA,None of the Above,0,98,98
S25,114,DUM_DUM,2,ARIJIT BAKSHI,Bharatiya Janata Party,7097,7204,14301
S25,114,DUM_DUM,2,BRATYABRATA BASU,All India Trinamool Congress,5429,4979,10408
S25,114,DUM_DUM,2,MAYUKH BISWAS,Communist Party of India (Marxist),1412,1594,3006
S25,114,DUM_DUM,2,SUBRATA KUMAR MAJUMDER,Bahujan Samaj Party,21,24,45
S25,114,DUM_DUM,2,SUSMITA BISWAS,Indian National Congress,89,99,188
S25,114,DUM_DUM,2,NIRENDRANATH KARMAKAR,Socialist Unity Centre Of India (COMMUNIST),15,16,31
S25,114,DUM_DUM,2,SABIR RAJA ANSARI,Aam Janata Unnayan party,7,5,12
S25,114,DUM_DUM,2,DULU DEY,Independent,17,14,31
S25,114,DUM_DUM,2,PALASH SAMANTA,Independent,42,22,64
S25,114,DUM_DUM,2,NOTA,None of the Above,98,98,196
S25,114,DUM_DUM,3,ARIJIT BAKSHI,Bharatiya Janata Party,14301,7509,21810
S25,114,DUM_DUM,3,BRATYABRATA BASU,All India Trinamool Congress,10408,5169,15577
S25,114,DUM_DUM,3,MAYUKH BISWAS,Communist Party of India (Marxist),3006,1494,4500
S25,114,DUM_DUM,3,SUBRATA KUMAR MAJUMDER,Bahujan Samaj Party,45,21,66
S25,114,DUM_DUM,3,SUSMITA BISWAS,Indian National Congress,188,125,313
S25,114,DUM_DUM,3,NIRENDRANATH KARMAKAR,Socialist Unity Centre Of India (COMMUNIST),31,14,45
S25,114,DUM_DUM,3,SABIR RAJA ANSARI,Aam Janata Unnayan party,12,8,20
S25,114,DUM_DUM,3,DULU DEY,Independent,31,13,44
S25,114,DUM_DUM,3,PALASH SAMANTA,Independent,64,26,90
S25,114,DUM_DUM,3,NOTA,None of the Above,196,107,303
S25,114,DUM_DUM,4,ARIJIT BAKSHI,Bharatiya Janata Party,21810,6759,28569
S25,114,DUM_DUM,4,BRATYABRATA BASU,All India Trinamool Congress,15577,4923,20500
S25,114,DUM_DUM,4,MAYUKH BISWAS,Communist Party of India (Marxist),4500,935,5435
S25,114,DUM_DUM,4,SUBRATA KUMAR MAJUMDER,Bahujan Samaj Party,66,27,93
S25,114,DUM_DUM,4,SUSMITA BISWAS,Indian National Congress,313,80,393
S25,114,DUM_DUM,4,NIRENDRANATH KARMAKAR,Socialist Unity Centre Of India (COMMUNIST),45,24,69
S25,114,DUM_DUM,4,SABIR RAJA ANSARI,Aam Janata Unnayan party,20,7,27
S25,114,DUM_DUM,4,DULU DEY,Independent,44,14,58
S25,114,DUM_DUM,4,PALASH SAMANTA,Independent,90,27,117
S25,114,DUM_DUM,4,NOTA,None of the Above,303,90,393
S25,114,DUM_DUM,5,ARIJIT BAKSHI,Bharatiya Janata Party,28569,7002,35571
S25,114,DUM_DUM,5,BRATYABRATA BASU,All India Trinamool Congress,20500,4820,25320
S25,114,DUM_DUM,5,MAYUKH BISWAS,Communist Party of India (Marxist),5435,1151,6586
S25,114,DUM_DUM,5,SUBRATA KUMAR MAJUMDER,Bahujan Samaj Party,93,18,111
S25,114,DUM_DUM,5,SUSMITA BISWAS,Indian National Congress,393,87,480
S25,114,DUM_DUM,5,NIRENDRANATH KARMAKAR,Socialist Unity Centre Of India (COMMUNIST),69,22,91
S25,114,DUM_DUM,5,SABIR RAJA ANSARI,Aam Janata Unnayan party,27,9,36
S25,114,DUM_DUM,5,DULU DEY,Independent,58,14,72
S25,114,DUM_DUM,5,PALASH SAMANTA,Independent,117,37,154
S25,114,DUM_DUM,5,NOTA,None of the Above,393,100,493
S25,114,DUM_DUM,6,ARIJIT BAKSHI,Bharatiya Janata Party,35571,7338,42909
