State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,115,RAJARHAT_NEW_TOWN,1,PIYUSH KANODIA,Bharatiya Janata Party,0,5461,5461
S25,115,RAJARHAT_NEW_TOWN,1,SAPTARSHI DEB,Communist Party of India (Marxist),0,918,918
S25,115,RAJARHAT_NEW_TOWN,1,SK NIZAMUDDIN,Indian National Congress,0,95,95
S25,115,RAJARHAT_NEW_TOWN,1,TAPASH CHATTERJEE,All India Trinamool Congress,0,7530,7530
S25,115,RAJARHAT_NEW_TOWN,1,ASHUTOSH PAUL,National Republic Party Of India,0,45,45
S25,115,RAJARHAT_NEW_TOWN,1,FIRDAUS ALI MOLLA,Aam Janata Unnayan party,0,12,12
S25,115,RAJARHAT_NEW_TOWN,1,SHUBHANKAR MONDAL,Samata Party,0,6,6
S25,115,RAJARHAT_NEW_TOWN,1,SUNIL NASKAR,Socialist Unity Centre Of India (COMMUNIST),0,12,12
S25,115,RAJARHAT_NEW_TOWN,1,ABHIMANYU SHANDILYA,Independent,0,15,15
S25,115,RAJARHAT_NEW_TOWN,1,ASHIT DHALI,Independent,0,27,27
S25,115,RAJARHAT_NEW_TOWN,1,NARAYAN  MANDAL,Independent,0,114,114
S25,115,RAJARHAT_NEW_TOWN,1,RAJIB SARKAR,Independent,0,26,26
S25,115,RAJARHAT_NEW_TOWN,1,SUJAN SARDAR,Independent,0,49,49
S25,115,RAJARHAT_NEW_TOWN,1,NOTA,None of the Above,0,94,94
S25,115,RAJARHAT_NEW_TOWN,2,PIYUSH KANODIA,Bharatiya Janata Party,5461,5492,10953
S25,115,RAJARHAT_NEW_TOWN,2,SAPTARSHI DEB,Communist Party of India (Marxist),918,1218,2136
S25,115,RAJARHAT_NEW_TOWN,2,SK NIZAMUDDIN,Indian National Congress,95,111,206
S25,115,RAJARHAT_NEW_TOWN,2,TAPASH CHATTERJEE,All India Trinamool Congress,7530,9453,16983
S25,115,RAJARHAT_NEW_TOWN,2,ASHUTOSH PAUL,National Republic Party Of India,45,29,74
S25,115,RAJARHAT_NEW_TOWN,2,FIRDAUS ALI MOLLA,Aam Janata Unnayan party,12,16,28
S25,115,RAJARHAT_NEW_TOWN,2,SHUBHANKAR MONDAL,Samata Party,6,6,12
S25,115,RAJARHAT_NEW_TOWN,2,SUNIL NASKAR,Socialist Unity Centre Of India (COMMUNIST),12,6,18
S25,115,RAJARHAT_NEW_TOWN,2,ABHIMANYU SHANDILYA,Independent,15,16,31
S25,115,RAJARHAT_NEW_TOWN,2,ASHIT DHALI,Independent,27,29,56
S25,115,RAJARHAT_NEW_TOWN,2,NARAYAN  MANDAL,Independent,114,107,221
S25,115,RAJARHAT_NEW_TOWN,2,RAJIB SARKAR,Independent,26,22,48
S25,115,RAJARHAT_NEW_TOWN,2,SUJAN SARDAR,Independent,49,57,106
S25,115,RAJARHAT_NEW_TOWN,2,NOTA,None of the Above,94,115,209
S25,115,RAJARHAT_NEW_TOWN,3,PIYUSH KANODIA,Bharatiya Janata Party,10953,6402,17355
S25,115,RAJARHAT_NEW_TOWN,3,SAPTARSHI DEB,Communist Party of India (Marxist),2136,944,3080
S25,115,RAJARHAT_NEW_TOWN,3,SK NIZAMUDDIN,Indian National Congress,206,81,287
S25,115,RAJARHAT_NEW_TOWN,3,TAPASH CHATTERJEE,All India Trinamool Congress,16983,6691,23674
S25,115,RAJARHAT_NEW_TOWN,3,ASHUTOSH PAUL,National Republic Party Of India,74,20,94
S25,115,RAJARHAT_NEW_TOWN,3,FIRDAUS ALI MOLLA,Aam Janata Unnayan party,28,6,34
S25,115,RAJARHAT_NEW_TOWN,3,SHUBHANKAR MONDAL,Samata Party,12,2,14
S25,115,RAJARHAT_NEW_TOWN,3,SUNIL NASKAR,Socialist Unity Centre Of India (COMMUNIST),18,10,28
S25,115,RAJARHAT_NEW_TOWN,3,ABHIMANYU SHANDILYA,Independent,31,9,40
S25,115,RAJARHAT_NEW_TOWN,3,ASHIT DHALI,Independent,56,10,66
S25,115,RAJARHAT_NEW_TOWN,3,NARAYAN  MANDAL,Independent,221,50,271
S25,115,RAJARHAT_NEW_TOWN,3,RAJIB SARKAR,Independent,48,11,59
S25,115,RAJARHAT_NEW_TOWN,3,SUJAN SARDAR,Independent,106,20,126
S25,115,RAJARHAT_NEW_TOWN,3,NOTA,None of the Above,209,70,279
S25,115,RAJARHAT_NEW_TOWN,4,PIYUSH KANODIA,Bharatiya Janata Party,17355,5731,23086
S25,115,RAJARHAT_NEW_TOWN,4,SAPTARSHI DEB,Communist Party of India (Marxist),3080,1797,4877
S25,115,RAJARHAT_NEW_TOWN,4,SK NIZAMUDDIN,Indian National Congress,287,154,441
S25,115,RAJARHAT_NEW_TOWN,4,TAPASH CHATTERJEE,All India Trinamool Congress,23674,8379,32053
S25,115,RAJARHAT_NEW_TOWN,4,ASHUTOSH PAUL,National Republic Party Of India,94,30,124
S25,115,RAJARHAT_NEW_TOWN,4,FIRDAUS ALI MOLLA,Aam Janata Unnayan party,34,12,46
S25,115,RAJARHAT_NEW_TOWN,4,SHUBHANKAR MONDAL,Samata Party,14,5,19
S25,115,RAJARHAT_NEW_TOWN,4,SUNIL NASKAR,Socialist Unity Centre Of India (COMMUNIST),28,13,41
S25,115,RAJARHAT_NEW_TOWN,4,ABHIMANYU SHANDILYA,Independent,40,8,48
S25,115,RAJARHAT_NEW_TOWN,4,ASHIT DHALI,Independent,66,19,85
S25,115,RAJARHAT_NEW_TOWN,4,NARAYAN  MANDAL,Independent,271,90,361
S25,115,RAJARHAT_NEW_TOWN,4,RAJIB SARKAR,Independent,59,13,72
S25,115,RAJARHAT_NEW_TOWN,4,SUJAN SARDAR,Independent,126,34,160
S25,115,RAJARHAT_NEW_TOWN,4,NOTA,None of the Above,279,95,374
S25,115,RAJARHAT_NEW_TOWN,5,PIYUSH KANODIA,Bharatiya Janata Party,23086,5384,28470
S25,115,RAJARHAT_NEW_TOWN,5,SAPTARSHI DEB,Communist Party of India (Marxist),4877,1170,6047
S25,115,RAJARHAT_NEW_TOWN,5,SK NIZAMUDDIN,Indian National Congress,441,140,581
S25,115,RAJARHAT_NEW_TOWN,5,TAPASH CHATTERJEE,All India Trinamool Congress,32053,7711,39764
S25,115,RAJARHAT_NEW_TOWN,5,ASHUTOSH PAUL,National Republic Party Of India,124,35,159
S25,115,RAJARHAT_NEW_TOWN,5,FIRDAUS ALI MOLLA,Aam Janata Unnayan party,46,13,59
S25,115,RAJARHAT_NEW_TOWN,5,SHUBHANKAR MONDAL,Samata Party,19,8,27
S25,115,RAJARHAT_NEW_TOWN,5,SUNIL NASKAR,Socialist Unity Centre Of India (COMMUNIST),41,13,54
S25,115,RAJARHAT_NEW_TOWN,5,ABHIMANYU SHANDILYA,Independent,48,11,59
S25,115,RAJARHAT_NEW_TOWN,5,ASHIT DHALI,Independent,85,14,99
S25,115,RAJARHAT_NEW_TOWN,5,NARAYAN  MANDAL,Independent,361,68,429
S25,115,RAJARHAT_NEW_TOWN,5,RAJIB SARKAR,Independent,72,16,88
S25,115,RAJARHAT_NEW_TOWN,5,SUJAN SARDAR,Independent,160,59,219
S25,115,RAJARHAT_NEW_TOWN,5,NOTA,None of the Above,374,87,461
S25,115,RAJARHAT_NEW_TOWN,6,PIYUSH KANODIA,Bharatiya Janata Party,28470,8725,37195
S25,115,RAJARHAT_NEW_TOWN,6,SAPTARSHI DEB,Communist Party of India (Marxist),6047,880,6927
S25,115,RAJARHAT_NEW_TOWN,6,SK NIZAMUDDIN,Indian National Congress,581,68,649
S25,115,RAJARHAT_NEW_TOWN,6,TAPASH CHATTERJEE,All India Trinamool Congress,39764,5560,45324
S25,115,RAJARHAT_NEW_TOWN,6,ASHUTOSH PAUL,National Republic Party Of India,159,22,181
S25,115,RAJARHAT_NEW_TOWN,6,FIRDAUS ALI MOLLA,Aam Janata Unnayan party,59,7,66
S25,115,RAJARHAT_NEW_TOWN,6,SHUBHANKAR MONDAL,Samata Party,27,6,33
S25,115,RAJARHAT_NEW_TOWN,6,SUNIL NASKAR,Socialist Unity Centre Of India (COMMUNIST),54,10,64
S25,115,RAJARHAT_NEW_TOWN,6,ABHIMANYU SHANDILYA,Independent,59,8,67
S25,115,RAJARHAT_NEW_TOWN,6,ASHIT DHALI,Independent,99,16,115
S25,115,RAJARHAT_NEW_TOWN,6,NARAYAN  MANDAL,Independent,429,57,486
S25,115,RAJARHAT_NEW_TOWN,6,RAJIB SARKAR,Independent,88,15,103
S25,115,RAJARHAT_NEW_TOWN,6,SUJAN SARDAR,Independent,219,23,242
S25,115,RAJARHAT_NEW_TOWN,6,NOTA,None of the Above,461,88,549
S25,115,RAJARHAT_NEW_TOWN,7,PIYUSH KANODIA,Bharatiya Janata Party,37195,7184,44379
S25,115,RAJARHAT_NEW_TOWN,7,SAPTARSHI DEB,Communist Party of India (Marxist),6927,1095,8022
S25,115,RAJARHAT_NEW_TOWN,7,SK NIZAMUDDIN,Indian National Congress,649,93,742
S25,115,RAJARHAT_NEW_TOWN,7,TAPASH CHATTERJEE,All India Trinamool Congress,45324,6941,52265
S25,115,RAJARHAT_NEW_TOWN,7,ASHUTOSH PAUL,National Republic Party Of India,181,32,213
S25,115,RAJARHAT_NEW_TOWN,7,FIRDAUS ALI MOLLA,Aam Janata Unnayan party,66,11,77
S25,115,RAJARHAT_NEW_TOWN,7,SHUBHANKAR MONDAL,Samata Party,33,4,37
S25,115,RAJARHAT_NEW_TOWN,7,SUNIL NASKAR,Socialist Unity Centre Of India (COMMUNIST),64,11,75
S25,115,RAJARHAT_NEW_TOWN,7,ABHIMANYU SHANDILYA,Independent,67,14,81
S25,115,RAJARHAT_NEW_TOWN,7,ASHIT DHALI,Independent,115,15,130
S25,115,RAJARHAT_NEW_TOWN,7,NARAYAN  MANDAL,Independent,486,73,559
S25,115,RAJARHAT_NEW_TOWN,7,RAJIB SARKAR,Independent,103,27,130
S25,115,RAJARHAT_NEW_TOWN,7,SUJAN SARDAR,Independent,242,40,282
S25,115,RAJARHAT_NEW_TOWN,7,NOTA,None of the Above,549,116,665
S25,115,RAJARHAT_NEW_TOWN,8,PIYUSH KANODIA,Bharatiya Janata Party,44379,7034,51413
S25,115,RAJARHAT_NEW_TOWN,8,SAPTARSHI DEB,Communist Party of India (Marxist),8022,1779,9801
S25,115,RAJARHAT_NEW_TOWN,8,SK NIZAMUDDIN,Indian National Congress,742,147,889
S25,115,RAJARHAT_NEW_TOWN,8,TAPASH CHATTERJEE,All India Trinamool Congress,52265,6754,59019
S25,115,RAJARHAT_NEW_TOWN,8,ASHUTOSH PAUL,National Republic Party Of India,213,29,242
S25,115,RAJARHAT_NEW_TOWN,8,FIRDAUS ALI MOLLA,Aam Janata Unnayan party,77,10,87
S25,115,RAJARHAT_NEW_TOWN,8,SHUBHANKAR MONDAL,Samata Party,37,9,46
S25,115,RAJARHAT_NEW_TOWN,8,SUNIL NASKAR,Socialist Unity Centre Of India (COMMUNIST),75,9,84
S25,115,RAJARHAT_NEW_TOWN,8,ABHIMANYU SHANDILYA,Independent,81,13,94
S25,115,RAJARHAT_NEW_TOWN,8,ASHIT DHALI,Independent,130,17,147
S25,115,RAJARHAT_NEW_TOWN,8,NARAYAN  MANDAL,Independent,559,48,607
S25,115,RAJARHAT_NEW_TOWN,8,RAJIB SARKAR,Independent,130,19,149
S25,115,RAJARHAT_NEW_TOWN,8,SUJAN SARDAR,Independent,282,26,308
S25,115,RAJARHAT_NEW_TOWN,8,NOTA,None of the Above,665,103,768
S25,115,RAJARHAT_NEW_TOWN,9,PIYUSH KANODIA,Bharatiya Janata Party,51413,4361,55774
S25,115,RAJARHAT_NEW_TOWN,9,SAPTARSHI DEB,Communist Party of India (Marxist),9801,4391,14192
S25,115,RAJARHAT_NEW_TOWN,9,SK NIZAMUDDIN,Indian National Congress,889,118,1007
S25,115,RAJARHAT_NEW_TOWN,9,TAPASH CHATTERJEE,All India Trinamool Congress,59019,6974,65993
S25,115,RAJARHAT_NEW_TOWN,9,ASHUTOSH PAUL,National Republic Party Of India,242,33,275
S25,115,RAJARHAT_NEW_TOWN,9,FIRDAUS ALI MOLLA,Aam Janata Unnayan party,87,3,90
S25,115,RAJARHAT_NEW_TOWN,9,SHUBHANKAR MONDAL,Samata Party,46,9,55
S25,115,RAJARHAT_NEW_TOWN,9,SUNIL NASKAR,Socialist Unity Centre Of India (COMMUNIST),84,6,90
S25,115,RAJARHAT_NEW_TOWN,9,ABHIMANYU SHANDILYA,Independent,94,14,108
S25,115,RAJARHAT_NEW_TOWN,9,ASHIT DHALI,Independent,147,16,163
S25,115,RAJARHAT_NEW_TOWN,9,NARAYAN  MANDAL,Independent,607,78,685
S25,115,RAJARHAT_NEW_TOWN,9,RAJIB SARKAR,Independent,149,24,173
S25,115,RAJARHAT_NEW_TOWN,9,SUJAN SARDAR,Independent,308,92,400
S25,115,RAJARHAT_NEW_TOWN,9,NOTA,None of the Above,768,95,863
S25,115,RAJARHAT_NEW_TOWN,10,PIYUSH KANODIA,Bharatiya Janata Party,55774,3000,58774
S25,115,RAJARHAT_NEW_TOWN,10,SAPTARSHI DEB,Communist Party of India (Marxist),14192,4506,18698
S25,115,RAJARHAT_NEW_TOWN,10,SK NIZAMUDDIN,Indian National Congress,1007,144,1151
S25,115,RAJARHAT_NEW_TOWN,10,TAPASH CHATTERJEE,All India Trinamool Congress,65993,7272,73265
S25,115,RAJARHAT_NEW_TOWN,10,ASHUTOSH PAUL,National Republic Party Of India,275,40,315
S25,115,RAJARHAT_NEW_TOWN,10,FIRDAUS ALI MOLLA,Aam Janata Unnayan party,90,16,106
S25,115,RAJARHAT_NEW_TOWN,10,SHUBHANKAR MONDAL,Samata Party,55,10,65
S25,115,RAJARHAT_NEW_TOWN,10,SUNIL NASKAR,Socialist Unity Centre Of India (COMMUNIST),90,11,101
S25,115,RAJARHAT_NEW_TOWN,10,ABHIMANYU SHANDILYA,Independent,108,7,115
S25,115,RAJARHAT_NEW_TOWN,10,ASHIT DHALI,Independent,163,18,181
S25,115,RAJARHAT_NEW_TOWN,10,NARAYAN  MANDAL,Independent,685,118,803
S25,115,RAJARHAT_NEW_TOWN,10,RAJIB SARKAR,Independent,173,21,194
S25,115,RAJARHAT_NEW_TOWN,10,SUJAN SARDAR,Independent,400,75,475
S25,115,RAJARHAT_NEW_TOWN,10,NOTA,None of the Above,863,97,960
S25,115,RAJARHAT_NEW_TOWN,11,PIYUSH KANODIA,Bharatiya Janata Party,58774,6634,65408
S25,115,RAJARHAT_NEW_TOWN,11,SAPTARSHI DEB,Communist Party of India (Marxist),18698,3289,21987
S25,115,RAJARHAT_NEW_TOWN,11,SK NIZAMUDDIN,Indian National Congress,1151,163,1314
S25,115,RAJARHAT_NEW_TOWN,11,TAPASH CHATTERJEE,All India Trinamool Congress,73265,5284,78549
S25,115,RAJARHAT_NEW_TOWN,11,ASHUTOSH PAUL,National Republic Party Of India,315,37,352
S25,115,RAJARHAT_NEW_TOWN,11,FIRDAUS ALI MOLLA,Aam Janata Unnayan party,106,19,125
S25,115,RAJARHAT_NEW_TOWN,11,SHUBHANKAR MONDAL,Samata Party,65,8,73
S25,115,RAJARHAT_NEW_TOWN,11,SUNIL NASKAR,Socialist Unity Centre Of India (COMMUNIST),101,9,110
S25,115,RAJARHAT_NEW_TOWN,11,ABHIMANYU SHANDILYA,Independent,115,16,131
S25,115,RAJARHAT_NEW_TOWN,11,ASHIT DHALI,Independent,181,16,197
S25,115,RAJARHAT_NEW_TOWN,11,NARAYAN  MANDAL,Independent,803,55,858
S25,115,RAJARHAT_NEW_TOWN,11,RAJIB SARKAR,Independent,194,21,215
S25,115,RAJARHAT_NEW_TOWN,11,SUJAN SARDAR,Independent,475,73,548
S25,115,RAJARHAT_NEW_TOWN,11,NOTA,None of the Above,960,137,1097
S25,115,RAJARHAT_NEW_TOWN,12,PIYUSH KANODIA,Bharatiya Janata Party,65408,6337,71745
S25,115,RAJARHAT_NEW_TOWN,12,SAPTARSHI DEB,Communist Party of India (Marxist),21987,2320,24307
S25,115,RAJARHAT_NEW_TOWN,12,SK NIZAMUDDIN,Indian National Congress,1314,116,1430
S25,115,RAJARHAT_NEW_TOWN,12,TAPASH CHATTERJEE,All India Trinamool Congress,78549,5924,84473
S25,115,RAJARHAT_NEW_TOWN,12,ASHUTOSH PAUL,National Republic Party Of India,352,33,385
S25,115,RAJARHAT_NEW_TOWN,12,FIRDAUS ALI MOLLA,Aam Janata Unnayan party,125,34,159
S25,115,RAJARHAT_NEW_TOWN,12,SHUBHANKAR MONDAL,Samata Party,73,5,78
S25,115,RAJARHAT_NEW_TOWN,12,SUNIL NASKAR,Socialist Unity Centre Of India (COMMUNIST),110,8,118
S25,115,RAJARHAT_NEW_TOWN,12,ABHIMANYU SHANDILYA,Independent,131,16,147
S25,115,RAJARHAT_NEW_TOWN,12,ASHIT DHALI,Independent,197,26,223
S25,115,RAJARHAT_NEW_TOWN,12,NARAYAN  MANDAL,Independent,858,93,951
S25,115,RAJARHAT_NEW_TOWN,12,RAJIB SARKAR,Independent,215,21,236
S25,115,RAJARHAT_NEW_TOWN,12,SUJAN SARDAR,Independent,548,60,608
S25,115,RAJARHAT_NEW_TOWN,12,NOTA,None of the Above,1097,153,1250
S25,115,RAJARHAT_NEW_TOWN,13,PIYUSH KANODIA,Bharatiya Janata Party,71745,6034,77779
S25,115,RAJARHAT_NEW_TOWN,13,SAPTARSHI DEB,Communist Party of India (Marxist),24307,2526,26833
S25,115,RAJARHAT_NEW_TOWN,13,SK NIZAMUDDIN,Indian National Congress,1430,124,1554
S25,115,RAJARHAT_NEW_TOWN,13,TAPASH CHATTERJEE,All India Trinamool Congress,84473,6085,90558
S25,115,RAJARHAT_NEW_TOWN,13,ASHUTOSH PAUL,National Republic Party Of India,385,24,409
S25,115,RAJARHAT_NEW_TOWN,13,FIRDAUS ALI MOLLA,Aam Janata Unnayan party,159,18,177
S25,115,RAJARHAT_NEW_TOWN,13,SHUBHANKAR MONDAL,Samata Party,78,11,89
S25,115,RAJARHAT_NEW_TOWN,13,SUNIL NASKAR,Socialist Unity Centre Of India (COMMUNIST),118,5,123
S25,115,RAJARHAT_NEW_TOWN,13,ABHIMANYU SHANDILYA,Independent,147,10,157
S25,115,RAJARHAT_NEW_TOWN,13,ASHIT DHALI,Independent,223,17,240
S25,115,RAJARHAT_NEW_TOWN,13,NARAYAN  MANDAL,Independent,951,83,1034
S25,115,RAJARHAT_NEW_TOWN,13,RAJIB SARKAR,Independent,236,28,264
S25,115,RAJARHAT_NEW_TOWN,13,SUJAN SARDAR,Independent,608,55,663
S25,115,RAJARHAT_NEW_TOWN,13,NOTA,None of the Above,1250,127,1377
S25,115,RAJARHAT_NEW_TOWN,14,PIYUSH KANODIA,Bharatiya Janata Party,77779,7211,84990
S25,115,RAJARHAT_NEW_TOWN,14,SAPTARSHI DEB,Communist Party of India (Marxist),26833,1362,28195
S25,115,RAJARHAT_NEW_TOWN,14,SK NIZAMUDDIN,Indian National Congress,1554,40,1594
S25,115,RAJARHAT_NEW_TOWN,14,TAPASH CHATTERJEE,All India Trinamool Congress,90558,4708,95266
S25,115,RAJARHAT_NEW_TOWN,14,ASHUTOSH PAUL,National Republic Party Of India,409,21,430
S25,115,RAJARHAT_NEW_TOWN,14,FIRDAUS ALI MOLLA,Aam Janata Unnayan party,177,9,186
S25,115,RAJARHAT_NEW_TOWN,14,SHUBHANKAR MONDAL,Samata Party,89,3,92
S25,115,RAJARHAT_NEW_TOWN,14,SUNIL NASKAR,Socialist Unity Centre Of India (COMMUNIST),123,9,132
S25,115,RAJARHAT_NEW_TOWN,14,ABHIMANYU SHANDILYA,Independent,157,13,170
S25,115,RAJARHAT_NEW_TOWN,14,ASHIT DHALI,Independent,240,11,251
S25,115,RAJARHAT_NEW_TOWN,14,NARAYAN  MANDAL,Independent,1034,55,1089
S25,115,RAJARHAT_NEW_TOWN,14,RAJIB SARKAR,Independent,264,11,275
S25,115,RAJARHAT_NEW_TOWN,14,SUJAN SARDAR,Independent,663,41,704
S25,115,RAJARHAT_NEW_TOWN,14,NOTA,None of the Above,1377,88,1465
S25,115,RAJARHAT_NEW_TOWN,15,PIYUSH KANODIA,Bharatiya Janata Party,84990,7884,92874
