State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,118,MADHYAMGRAM,1,ANANTA RAY,Indian National Congress,0,93,93
S25,118,MADHYAMGRAM,1,ANINDYA BANERJEE,Bharatiya Janata Party,0,5699,5699
S25,118,MADHYAMGRAM,1,NITAI CHANDRA PAL,All India Forward Bloc,0,156,156
S25,118,MADHYAMGRAM,1,MONOJ KUMAR ROY,Bahujan Samaj Party,0,38,38
S25,118,MADHYAMGRAM,1,RATHIN GHOSH,All India Trinamool Congress,0,6213,6213
S25,118,MADHYAMGRAM,1,NITYANANDA GHOSH,Socialist Unity Centre Of India (COMMUNIST),0,39,39
S25,118,MADHYAMGRAM,1,PRIYANKA BARMAN,All India Secular Front,0,1792,1792
S25,118,MADHYAMGRAM,1,SANAT KARMAKAR,Bharatiya Nyay-Adhikar Raksha Party,0,31,31
S25,118,MADHYAMGRAM,1,ANINDA BANERJEE,Independent,0,23,23
S25,118,MADHYAMGRAM,1,RAJDWIP GHOSH,Independent,0,24,24
S25,118,MADHYAMGRAM,1,NOTA,None of the Above,0,78,78
S25,118,MADHYAMGRAM,2,ANANTA RAY,Indian National Congress,93,88,181
S25,118,MADHYAMGRAM,2,ANINDYA BANERJEE,Bharatiya Janata Party,5699,2667,8366
S25,118,MADHYAMGRAM,2,NITAI CHANDRA PAL,All India Forward Bloc,156,109,265
S25,118,MADHYAMGRAM,2,MONOJ KUMAR ROY,Bahujan Samaj Party,38,32,70
S25,118,MADHYAMGRAM,2,RATHIN GHOSH,All India Trinamool Congress,6213,6886,13099
S25,118,MADHYAMGRAM,2,NITYANANDA GHOSH,Socialist Unity Centre Of India (COMMUNIST),39,54,93
S25,118,MADHYAMGRAM,2,PRIYANKA BARMAN,All India Secular Front,1792,3610,5402
S25,118,MADHYAMGRAM,2,SANAT KARMAKAR,Bharatiya Nyay-Adhikar Raksha Party,31,36,67
S25,118,MADHYAMGRAM,2,ANINDA BANERJEE,Independent,23,12,35
S25,118,MADHYAMGRAM,2,RAJDWIP GHOSH,Independent,24,13,37
S25,118,MADHYAMGRAM,2,NOTA,None of the Above,78,73,151
S25,118,MADHYAMGRAM,3,ANANTA RAY,Indian National Congress,181,36,217
S25,118,MADHYAMGRAM,3,ANINDYA BANERJEE,Bharatiya Janata Party,8366,5800,14166
S25,118,MADHYAMGRAM,3,NITAI CHANDRA PAL,All India Forward Bloc,265,81,346
S25,118,MADHYAMGRAM,3,MONOJ KUMAR ROY,Bahujan Samaj Party,70,72,142
S25,118,MADHYAMGRAM,3,RATHIN GHOSH,All India Trinamool Congress,13099,5718,18817
S25,118,MADHYAMGRAM,3,NITYANANDA GHOSH,Socialist Unity Centre Of India (COMMUNIST),93,31,124
S25,118,MADHYAMGRAM,3,PRIYANKA BARMAN,All India Secular Front,5402,1922,7324
S25,118,MADHYAMGRAM,3,SANAT KARMAKAR,Bharatiya Nyay-Adhikar Raksha Party,67,21,88
S25,118,MADHYAMGRAM,3,ANINDA BANERJEE,Independent,35,23,58
S25,118,MADHYAMGRAM,3,RAJDWIP GHOSH,Independent,37,40,77
S25,118,MADHYAMGRAM,3,NOTA,None of the Above,151,72,223
S25,118,MADHYAMGRAM,4,ANANTA RAY,Indian National Congress,217,58,275
S25,118,MADHYAMGRAM,4,ANINDYA BANERJEE,Bharatiya Janata Party,14166,5652,19818
S25,118,MADHYAMGRAM,4,NITAI CHANDRA PAL,All India Forward Bloc,346,113,459
S25,118,MADHYAMGRAM,4,MONOJ KUMAR ROY,Bahujan Samaj Party,142,39,181
S25,118,MADHYAMGRAM,4,RATHIN GHOSH,All India Trinamool Congress,18817,5774,24591
S25,118,MADHYAMGRAM,4,NITYANANDA GHOSH,Socialist Unity Centre Of India (COMMUNIST),124,31,155
S25,118,MADHYAMGRAM,4,PRIYANKA BARMAN,All India Secular Front,7324,1052,8376
S25,118,MADHYAMGRAM,4,SANAT KARMAKAR,Bharatiya Nyay-Adhikar Raksha Party,88,22,110
S25,118,MADHYAMGRAM,4,ANINDA BANERJEE,Independent,58,27,85
S25,118,MADHYAMGRAM,4,RAJDWIP GHOSH,Independent,77,24,101
S25,118,MADHYAMGRAM,4,NOTA,None of the Above,223,83,306
S25,118,MADHYAMGRAM,5,ANANTA RAY,Indian National Congress,275,67,342
S25,118,MADHYAMGRAM,5,ANINDYA BANERJEE,Bharatiya Janata Party,19818,7376,27194
S25,118,MADHYAMGRAM,5,NITAI CHANDRA PAL,All India Forward Bloc,459,162,621
S25,118,MADHYAMGRAM,5,MONOJ KUMAR ROY,Bahujan Samaj Party,181,46,227
S25,118,MADHYAMGRAM,5,RATHIN GHOSH,All India Trinamool Congress,24591,5449,30040
S25,118,MADHYAMGRAM,5,NITYANANDA GHOSH,Socialist Unity Centre Of India (COMMUNIST),155,45,200
S25,118,MADHYAMGRAM,5,PRIYANKA BARMAN,All India Secular Front,8376,732,9108
S25,118,MADHYAMGRAM,5,SANAT KARMAKAR,Bharatiya Nyay-Adhikar Raksha Party,110,16,126
S25,118,MADHYAMGRAM,5,ANINDA BANERJEE,Independent,85,31,116
