State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,120,DEGANGA,1,ANISUR RAHAMAN BIDESH,All India Trinamool Congress,0,6086,6086
S25,120,DEGANGA,1,TARUN KANTI GHOSH,Bharatiya Janata Party,0,2323,2323
S25,120,DEGANGA,1,MIARAJ BAIDYA,Indian National Congress,0,27,27
S25,120,DEGANGA,1,ABDUL ARIF,Aam Janata Unnayan party,0,9,9
S25,120,DEGANGA,1,ABDUL NAYEEM MOLLICK,Welfare Party Of India,0,13,13
S25,120,DEGANGA,1,CHHADEK MONDAL,Socialist Unity Centre Of India (COMMUNIST),0,19,19
S25,120,DEGANGA,1,MD MOFIDUL HOQUE SAHAJI MINTU,All India Secular Front,0,3057,3057
S25,120,DEGANGA,1,MD MAFUZUDDIN MONDAL,Bharatiya Rashtriya Forward Bloc,0,19,19
S25,120,DEGANGA,1,ANISUR RAHAMAN,Independent,0,49,49
S25,120,DEGANGA,1,IZAZ AHAMED,Independent,0,21,21
S25,120,DEGANGA,1,MOFIZUL MONDAL,Independent,0,24,24
S25,120,DEGANGA,1,MASIDUL SAHAJI,Independent,0,10,10
S25,120,DEGANGA,1,SATTAR ALI,Independent,0,10,10
S25,120,DEGANGA,1,SAMIM TARAFDER,Independent,0,49,49
S25,120,DEGANGA,1,NOTA,None of the Above,0,144,144
S25,120,DEGANGA,2,ANISUR RAHAMAN BIDESH,All India Trinamool Congress,6086,5321,11407
S25,120,DEGANGA,2,TARUN KANTI GHOSH,Bharatiya Janata Party,2323,1244,3567
S25,120,DEGANGA,2,MIARAJ BAIDYA,Indian National Congress,27,28,55
S25,120,DEGANGA,2,ABDUL ARIF,Aam Janata Unnayan party,9,16,25
S25,120,DEGANGA,2,ABDUL NAYEEM MOLLICK,Welfare Party Of India,13,6,19
S25,120,DEGANGA,2,CHHADEK MONDAL,Socialist Unity Centre Of India (COMMUNIST),19,17,36
S25,120,DEGANGA,2,MD MOFIDUL HOQUE SAHAJI MINTU,All India Secular Front,3057,4844,7901
S25,120,DEGANGA,2,MD MAFUZUDDIN MONDAL,Bharatiya Rashtriya Forward Bloc,19,18,37
S25,120,DEGANGA,2,ANISUR RAHAMAN,Independent,49,76,125
S25,120,DEGANGA,2,IZAZ AHAMED,Independent,21,31,52
S25,120,DEGANGA,2,MOFIZUL MONDAL,Independent,24,25,49
S25,120,DEGANGA,2,MASIDUL SAHAJI,Independent,10,15,25
S25,120,DEGANGA,2,SATTAR ALI,Independent,10,16,26
S25,120,DEGANGA,2,SAMIM TARAFDER,Independent,49,28,77
S25,120,DEGANGA,2,NOTA,None of the Above,144,116,260
S25,120,DEGANGA,3,ANISUR RAHAMAN BIDESH,All India Trinamool Congress,11407,6849,18256
S25,120,DEGANGA,3,TARUN KANTI GHOSH,Bharatiya Janata Party,3567,2015,5582
S25,120,DEGANGA,3,MIARAJ BAIDYA,Indian National Congress,55,40,95
S25,120,DEGANGA,3,ABDUL ARIF,Aam Janata Unnayan party,25,10,35
S25,120,DEGANGA,3,ABDUL NAYEEM MOLLICK,Welfare Party Of India,19,11,30
S25,120,DEGANGA,3,CHHADEK MONDAL,Socialist Unity Centre Of India (COMMUNIST),36,23,59
S25,120,DEGANGA,3,MD MOFIDUL HOQUE SAHAJI MINTU,All India Secular Front,7901,4485,12386
S25,120,DEGANGA,3,MD MAFUZUDDIN MONDAL,Bharatiya Rashtriya Forward Bloc,37,14,51
S25,120,DEGANGA,3,ANISUR RAHAMAN,Independent,125,54,179
S25,120,DEGANGA,3,IZAZ AHAMED,Independent,52,15,67
S25,120,DEGANGA,3,MOFIZUL MONDAL,Independent,49,22,71
S25,120,DEGANGA,3,MASIDUL SAHAJI,Independent,25,11,36
S25,120,DEGANGA,3,SATTAR ALI,Independent,26,15,41
S25,120,DEGANGA,3,SAMIM TARAFDER,Independent,77,26,103
S25,120,DEGANGA,3,NOTA,None of the Above,260,108,368
S25,120,DEGANGA,4,ANISUR RAHAMAN BIDESH,All India Trinamool Congress,18256,5314,23570
S25,120,DEGANGA,4,TARUN KANTI GHOSH,Bharatiya Janata Party,5582,3885,9467
S25,120,DEGANGA,4,MIARAJ BAIDYA,Indian National Congress,95,52,147
S25,120,DEGANGA,4,ABDUL ARIF,Aam Janata Unnayan party,35,9,44
S25,120,DEGANGA,4,ABDUL NAYEEM MOLLICK,Welfare Party Of India,30,6,36
S25,120,DEGANGA,4,CHHADEK MONDAL,Socialist Unity Centre Of India (COMMUNIST),59,13,72
S25,120,DEGANGA,4,MD MOFIDUL HOQUE SAHAJI MINTU,All India Secular Front,12386,2330,14716
S25,120,DEGANGA,4,MD MAFUZUDDIN MONDAL,Bharatiya Rashtriya Forward Bloc,51,12,63
S25,120,DEGANGA,4,ANISUR RAHAMAN,Independent,179,41,220
S25,120,DEGANGA,4,IZAZ AHAMED,Independent,67,20,87
S25,120,DEGANGA,4,MOFIZUL MONDAL,Independent,71,20,91
S25,120,DEGANGA,4,MASIDUL SAHAJI,Independent,36,15,51
S25,120,DEGANGA,4,SATTAR ALI,Independent,41,17,58
S25,120,DEGANGA,4,SAMIM TARAFDER,Independent,103,47,150
S25,120,DEGANGA,4,NOTA,None of the Above,368,113,481
S25,120,DEGANGA,5,ANISUR RAHAMAN BIDESH,All India Trinamool Congress,23570,4006,27576
S25,120,DEGANGA,5,TARUN KANTI GHOSH,Bharatiya Janata Party,9467,3607,13074
S25,120,DEGANGA,5,MIARAJ BAIDYA,Indian National Congress,147,35,182
S25,120,DEGANGA,5,ABDUL ARIF,Aam Janata Unnayan party,44,10,54
S25,120,DEGANGA,5,ABDUL NAYEEM MOLLICK,Welfare Party Of India,36,10,46
S25,120,DEGANGA,5,CHHADEK MONDAL,Socialist Unity Centre Of India (COMMUNIST),72,9,81
S25,120,DEGANGA,5,MD MOFIDUL HOQUE SAHAJI MINTU,All India Secular Front,14716,2824,17540
S25,120,DEGANGA,5,MD MAFUZUDDIN MONDAL,Bharatiya Rashtriya Forward Bloc,63,11,74
S25,120,DEGANGA,5,ANISUR RAHAMAN,Independent,220,32,252
S25,120,DEGANGA,5,IZAZ AHAMED,Independent,87,17,104
S25,120,DEGANGA,5,MOFIZUL MONDAL,Independent,91,12,103
S25,120,DEGANGA,5,MASIDUL SAHAJI,Independent,51,11,62
S25,120,DEGANGA,5,SATTAR ALI,Independent,58,23,81
S25,120,DEGANGA,5,SAMIM TARAFDER,Independent,150,50,200
S25,120,DEGANGA,5,NOTA,None of the Above,481,144,625
S25,120,DEGANGA,6,ANISUR RAHAMAN BIDESH,All India Trinamool Congress,27576,5103,32679
S25,120,DEGANGA,6,TARUN KANTI GHOSH,Bharatiya Janata Party,13074,3225,16299
S25,120,DEGANGA,6,MIARAJ BAIDYA,Indian National Congress,182,41,223
S25,120,DEGANGA,6,ABDUL ARIF,Aam Janata Unnayan party,54,10,64
S25,120,DEGANGA,6,ABDUL NAYEEM MOLLICK,Welfare Party Of India,46,10,56
S25,120,DEGANGA,6,CHHADEK MONDAL,Socialist Unity Centre Of India (COMMUNIST),81,20,101
S25,120,DEGANGA,6,MD MOFIDUL HOQUE SAHAJI MINTU,All India Secular Front,17540,3823,21363
S25,120,DEGANGA,6,MD MAFUZUDDIN MONDAL,Bharatiya Rashtriya Forward Bloc,74,19,93
S25,120,DEGANGA,6,ANISUR RAHAMAN,Independent,252,66,318
S25,120,DEGANGA,6,IZAZ AHAMED,Independent,104,32,136
S25,120,DEGANGA,6,MOFIZUL MONDAL,Independent,103,17,120
S25,120,DEGANGA,6,MASIDUL SAHAJI,Independent,62,17,79
S25,120,DEGANGA,6,SATTAR ALI,Independent,81,19,100
S25,120,DEGANGA,6,SAMIM TARAFDER,Independent,200,39,239
S25,120,DEGANGA,6,NOTA,None of the Above,625,128,753
S25,120,DEGANGA,7,ANISUR RAHAMAN BIDESH,All India Trinamool Congress,32679,4988,37667
S25,120,DEGANGA,7,TARUN KANTI GHOSH,Bharatiya Janata Party,16299,1393,17692
S25,120,DEGANGA,7,MIARAJ BAIDYA,Indian National Congress,223,28,251
S25,120,DEGANGA,7,ABDUL ARIF,Aam Janata Unnayan party,64,4,68
S25,120,DEGANGA,7,ABDUL NAYEEM MOLLICK,Welfare Party Of India,56,6,62
S25,120,DEGANGA,7,CHHADEK MONDAL,Socialist Unity Centre Of India (COMMUNIST),101,19,120
S25,120,DEGANGA,7,MD MOFIDUL HOQUE SAHAJI MINTU,All India Secular Front,21363,4862,26225
S25,120,DEGANGA,7,MD MAFUZUDDIN MONDAL,Bharatiya Rashtriya Forward Bloc,93,22,115
S25,120,DEGANGA,7,ANISUR RAHAMAN,Independent,318,75,393
S25,120,DEGANGA,7,IZAZ AHAMED,Independent,136,25,161
S25,120,DEGANGA,7,MOFIZUL MONDAL,Independent,120,23,143
S25,120,DEGANGA,7,MASIDUL SAHAJI,Independent,79,11,90
S25,120,DEGANGA,7,SATTAR ALI,Independent,100,4,104
S25,120,DEGANGA,7,SAMIM TARAFDER,Independent,239,30,269
S25,120,DEGANGA,7,NOTA,None of the Above,753,116,869
S25,120,DEGANGA,8,ANISUR RAHAMAN BIDESH,All India Trinamool Congress,37667,5288,42955
S25,120,DEGANGA,8,TARUN KANTI GHOSH,Bharatiya Janata Party,17692,1356,19048
S25,120,DEGANGA,8,MIARAJ BAIDYA,Indian National Congress,251,32,283
S25,120,DEGANGA,8,ABDUL ARIF,Aam Janata Unnayan party,68,9,77
S25,120,DEGANGA,8,ABDUL NAYEEM MOLLICK,Welfare Party Of India,62,8,70
S25,120,DEGANGA,8,CHHADEK MONDAL,Socialist Unity Centre Of India (COMMUNIST),120,30,150
S25,120,DEGANGA,8,MD MOFIDUL HOQUE SAHAJI MINTU,All India Secular Front,26225,5842,32067
S25,120,DEGANGA,8,MD MAFUZUDDIN MONDAL,Bharatiya Rashtriya Forward Bloc,115,18,133
S25,120,DEGANGA,8,ANISUR RAHAMAN,Independent,393,82,475
S25,120,DEGANGA,8,IZAZ AHAMED,Independent,161,36,197
S25,120,DEGANGA,8,MOFIZUL MONDAL,Independent,143,16,159
S25,120,DEGANGA,8,MASIDUL SAHAJI,Independent,90,11,101
S25,120,DEGANGA,8,SATTAR ALI,Independent,104,16,120
S25,120,DEGANGA,8,SAMIM TARAFDER,Independent,269,27,296
S25,120,DEGANGA,8,NOTA,None of the Above,869,102,971
S25,120,DEGANGA,9,ANISUR RAHAMAN BIDESH,All India Trinamool Congress,42955,5199,48154
