State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,121,HAROA,1,ABDUL MATIN MUHAMMAD,All India Trinamool Congress,0,6679,6679
S25,121,HAROA,1,BHASKAR KUMAR MONDAL,Bharatiya Janata Party,0,50,50
S25,121,HAROA,1,MD. RABIUL MOLLAH,Indian National Congress,0,28,28
S25,121,HAROA,1,PIYARUL ISLAM,All India Secular Front,0,3024,3024
S25,121,HAROA,1,SK. MD SAHID,Aam Janata Unnayan party,0,30,30
S25,121,HAROA,1,MD. ABDULLAHIL MARUK,Independent,0,9,9
S25,121,HAROA,1,PIYARUL SANPUI,Independent,0,143,143
S25,121,HAROA,1,MRINAL MALLICK,Independent,0,28,28
S25,121,HAROA,1,RAFIKUL ISLAM,Independent,0,20,20
S25,121,HAROA,1,LAL MOHAMMAD,Independent,0,12,12
S25,121,HAROA,1,NOTA,None of the Above,0,93,93
S25,121,HAROA,2,ABDUL MATIN MUHAMMAD,All India Trinamool Congress,6679,5849,12528
S25,121,HAROA,2,BHASKAR KUMAR MONDAL,Bharatiya Janata Party,50,1265,1315
S25,121,HAROA,2,MD. RABIUL MOLLAH,Indian National Congress,28,33,61
S25,121,HAROA,2,PIYARUL ISLAM,All India Secular Front,3024,4383,7407
S25,121,HAROA,2,SK. MD SAHID,Aam Janata Unnayan party,30,48,78
S25,121,HAROA,2,MD. ABDULLAHIL MARUK,Independent,9,15,24
S25,121,HAROA,2,PIYARUL SANPUI,Independent,143,219,362
S25,121,HAROA,2,MRINAL MALLICK,Independent,28,160,188
S25,121,HAROA,2,RAFIKUL ISLAM,Independent,20,24,44
S25,121,HAROA,2,LAL MOHAMMAD,Independent,12,44,56
S25,121,HAROA,2,NOTA,None of the Above,93,193,286
S25,121,HAROA,3,ABDUL MATIN MUHAMMAD,All India Trinamool Congress,12528,5874,18402
S25,121,HAROA,3,BHASKAR KUMAR MONDAL,Bharatiya Janata Party,1315,1197,2512
S25,121,HAROA,3,MD. RABIUL MOLLAH,Indian National Congress,61,39,100
S25,121,HAROA,3,PIYARUL ISLAM,All India Secular Front,7407,3620,11027
S25,121,HAROA,3,SK. MD SAHID,Aam Janata Unnayan party,78,24,102
S25,121,HAROA,3,MD. ABDULLAHIL MARUK,Independent,24,10,34
