State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,123,SANDESHKHALI,1,JHARNA SARDAR,All India Trinamool Congress,0,7100,7100
S25,123,SANDESHKHALI,1,YUDHISTHIR BHUMIJ,Indian National Congress,0,88,88
S25,123,SANDESHKHALI,1,RABINDRA NATH MAHATA,Communist Party of India (Marxist),0,1629,1629
S25,123,SANDESHKHALI,1,SANAT SARDAR,Bharatiya Janata Party,0,5050,5050
S25,123,SANDESHKHALI,1,SAJAL KUMAR SARDAR,Independent,0,79,79
S25,123,SANDESHKHALI,1,SANAT MUNDA,Independent,0,57,57
S25,123,SANDESHKHALI,1,SUBAL CHANDRA SARDAR,Independent,0,33,33
S25,123,SANDESHKHALI,1,HARISH CHANDRA SARDAR,Independent,0,52,52
S25,123,SANDESHKHALI,1,NOTA,None of the Above,0,175,175
S25,123,SANDESHKHALI,2,JHARNA SARDAR,All India Trinamool Congress,7100,5439,12539
S25,123,SANDESHKHALI,2,YUDHISTHIR BHUMIJ,Indian National Congress,88,73,161
S25,123,SANDESHKHALI,2,RABINDRA NATH MAHATA,Communist Party of India (Marxist),1629,1883,3512
S25,123,SANDESHKHALI,2,SANAT SARDAR,Bharatiya Janata Party,5050,4921,9971
S25,123,SANDESHKHALI,2,SAJAL KUMAR SARDAR,Independent,79,101,180
S25,123,SANDESHKHALI,2,SANAT MUNDA,Independent,57,67,124
S25,123,SANDESHKHALI,2,SUBAL CHANDRA SARDAR,Independent,33,49,82
S25,123,SANDESHKHALI,2,HARISH CHANDRA SARDAR,Independent,52,42,94
S25,123,SANDESHKHALI,2,NOTA,None of the Above,175,170,345
S25,123,SANDESHKHALI,3,JHARNA SARDAR,All India Trinamool Congress,12539,5762,18301
S25,123,SANDESHKHALI,3,YUDHISTHIR BHUMIJ,Indian National Congress,161,55,216
S25,123,SANDESHKHALI,3,RABINDRA NATH MAHATA,Communist Party of India (Marxist),3512,761,4273
S25,123,SANDESHKHALI,3,SANAT SARDAR,Bharatiya Janata Party,9971,4094,14065
S25,123,SANDESHKHALI,3,SAJAL KUMAR SARDAR,Independent,180,75,255
S25,123,SANDESHKHALI,3,SANAT MUNDA,Independent,124,45,169
S25,123,SANDESHKHALI,3,SUBAL CHANDRA SARDAR,Independent,82,14,96
S25,123,SANDESHKHALI,3,HARISH CHANDRA SARDAR,Independent,94,24,118
S25,123,SANDESHKHALI,3,NOTA,None of the Above,345,117,462
S25,123,SANDESHKHALI,4,JHARNA SARDAR,All India Trinamool Congress,18301,5373,23674
S25,123,SANDESHKHALI,4,YUDHISTHIR BHUMIJ,Indian National Congress,216,56,272
S25,123,SANDESHKHALI,4,RABINDRA NATH MAHATA,Communist Party of India (Marxist),4273,386,4659
S25,123,SANDESHKHALI,4,SANAT SARDAR,Bharatiya Janata Party,14065,5041,19106
S25,123,SANDESHKHALI,4,SAJAL KUMAR SARDAR,Independent,255,59,314
