State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,126,HINGALGANJ,1,ANANDA SARKAR,All India Trinamool Congress,0,4309,4309
S25,126,HINGALGANJ,1,BISWAJIT ROY,Indian National Congress,0,52,52
S25,126,HINGALGANJ,1,REKHA PATRA,Bharatiya Janata Party,0,6240,6240
S25,126,HINGALGANJ,1,SANGITA MANDAL,Communist Party of India,0,195,195
S25,126,HINGALGANJ,1,ASHOK KUMAR MONDAL,Independent,0,15,15
S25,126,HINGALGANJ,1,PULAKESH MONDAL,Independent,0,15,15
S25,126,HINGALGANJ,1,BIDYUT GAYEN,Independent,0,16,16
S25,126,HINGALGANJ,1,REKHARANI MRIDHA,Independent,0,74,74
S25,126,HINGALGANJ,1,SHUVADIP MANDAL,Independent,0,35,35
S25,126,HINGALGANJ,1,NOTA,None of the Above,0,103,103
S25,126,HINGALGANJ,2,ANANDA SARKAR,All India Trinamool Congress,4309,5026,9335
S25,126,HINGALGANJ,2,BISWAJIT ROY,Indian National Congress,52,49,101
S25,126,HINGALGANJ,2,REKHA PATRA,Bharatiya Janata Party,6240,5903,12143
S25,126,HINGALGANJ,2,SANGITA MANDAL,Communist Party of India,195,353,548
S25,126,HINGALGANJ,2,ASHOK KUMAR MONDAL,Independent,15,8,23
S25,126,HINGALGANJ,2,PULAKESH MONDAL,Independent,15,16,31
S25,126,HINGALGANJ,2,BIDYUT GAYEN,Independent,16,13,29
S25,126,HINGALGANJ,2,REKHARANI MRIDHA,Independent,74,59,133
S25,126,HINGALGANJ,2,SHUVADIP MANDAL,Independent,35,30,65
S25,126,HINGALGANJ,2,NOTA,None of the Above,103,73,176
S25,126,HINGALGANJ,3,ANANDA SARKAR,All India Trinamool Congress,9335,4990,14325
S25,126,HINGALGANJ,3,BISWAJIT ROY,Indian National Congress,101,55,156
S25,126,HINGALGANJ,3,REKHA PATRA,Bharatiya Janata Party,12143,4826,16969
S25,126,HINGALGANJ,3,SANGITA MANDAL,Communist Party of India,548,674,1222
S25,126,HINGALGANJ,3,ASHOK KUMAR MONDAL,Independent,23,11,34
S25,126,HINGALGANJ,3,PULAKESH MONDAL,Independent,31,12,43
S25,126,HINGALGANJ,3,BIDYUT GAYEN,Independent,29,7,36
S25,126,HINGALGANJ,3,REKHARANI MRIDHA,Independent,133,51,184
S25,126,HINGALGANJ,3,SHUVADIP MANDAL,Independent,65,29,94
S25,126,HINGALGANJ,3,NOTA,None of the Above,176,93,269
S25,126,HINGALGANJ,4,ANANDA SARKAR,All India Trinamool Congress,14325,8308,22633
S25,126,HINGALGANJ,4,BISWAJIT ROY,Indian National Congress,156,132,288
S25,126,HINGALGANJ,4,REKHA PATRA,Bharatiya Janata Party,16969,2198,19167
S25,126,HINGALGANJ,4,SANGITA MANDAL,Communist Party of India,1222,976,2198
S25,126,HINGALGANJ,4,ASHOK KUMAR MONDAL,Independent,34,28,62
S25,126,HINGALGANJ,4,PULAKESH MONDAL,Independent,43,13,56
S25,126,HINGALGANJ,4,BIDYUT GAYEN,Independent,36,6,42
S25,126,HINGALGANJ,4,REKHARANI MRIDHA,Independent,184,20,204
