State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,127,GOSABA,1,BIKARNA NASKAR,Bharatiya Janata Party,0,5357,5357
S25,127,GOSABA,1,BHUPAL CHANDRA DAS,Indian National Congress,0,69,69
S25,127,GOSABA,1,SUBRATA MONDAL,All India Trinamool Congress,0,4650,4650
S25,127,GOSABA,1,HARIPADA MANDAL,Bahujan Samaj Party,0,73,73
S25,127,GOSABA,1,ADWAITYA JOTDAR,Revolutionary Socialist Party,0,312,312
S25,127,GOSABA,1,HARIPADA MONDAL,Socialist Unity Centre Of India (COMMUNIST),0,49,49
S25,127,GOSABA,1,GOPAL MANDAL,Independent,0,42,42
S25,127,GOSABA,1,PROSANTA MRIDHA,Independent,0,52,52
S25,127,GOSABA,1,REBATI MANDAL MRIDHA,Independent,0,54,54
S25,127,GOSABA,1,NOTA,None of the Above,0,726,726
S25,127,GOSABA,2,BIKARNA NASKAR,Bharatiya Janata Party,5357,5538,10895
S25,127,GOSABA,2,BHUPAL CHANDRA DAS,Indian National Congress,69,85,154
S25,127,GOSABA,2,SUBRATA MONDAL,All India Trinamool Congress,4650,4224,8874
S25,127,GOSABA,2,HARIPADA MANDAL,Bahujan Samaj Party,73,52,125
S25,127,GOSABA,2,ADWAITYA JOTDAR,Revolutionary Socialist Party,312,472,784
S25,127,GOSABA,2,HARIPADA MONDAL,Socialist Unity Centre Of India (COMMUNIST),49,19,68
S25,127,GOSABA,2,GOPAL MANDAL,Independent,42,37,79
S25,127,GOSABA,2,PROSANTA MRIDHA,Independent,52,44,96
S25,127,GOSABA,2,REBATI MANDAL MRIDHA,Independent,54,39,93
S25,127,GOSABA,2,NOTA,None of the Above,726,443,1169
S25,127,GOSABA,3,BIKARNA NASKAR,Bharatiya Janata Party,10895,5375,16270
S25,127,GOSABA,3,BHUPAL CHANDRA DAS,Indian National Congress,154,57,211
S25,127,GOSABA,3,SUBRATA MONDAL,All India Trinamool Congress,8874,4965,13839
S25,127,GOSABA,3,HARIPADA MANDAL,Bahujan Samaj Party,125,49,174
S25,127,GOSABA,3,ADWAITYA JOTDAR,Revolutionary Socialist Party,784,610,1394
