State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,135,MANDIRBAZAR,1,CHAND SARADER,Indian National Congress,0,77,77
S25,135,MANDIRBAZAR,1,JOYDEB HALDER S/O - KARTICK CHANDRA HALDER,All India Trinamool Congress,0,5019,5019
S25,135,MANDIRBAZAR,1,MALLIKA PAIK W/O - ASHOK PAIK,Bharatiya Janata Party,0,1799,1799
S25,135,MANDIRBAZAR,1,SHIBANI MANDAL,Bahujan Samaj Party,0,19,19
S25,135,MANDIRBAZAR,1,ANANYA NASKAR,Mulnibasi Party of India,0,46,46
S25,135,MANDIRBAZAR,1,ASHOKE KUMAR GAYEN,All India Secular Front,0,3876,3876
S25,135,MANDIRBAZAR,1,SISIR KUMAR MONDAL,Socialist Unity Centre Of India (COMMUNIST),0,36,36
S25,135,MANDIRBAZAR,1,SUBRATA NASKAR,Aam Janata Unnayan party,0,15,15
S25,135,MANDIRBAZAR,1,JAYDEB HALDER S/O - SANATAN HALDER,Independent,0,19,19
S25,135,MANDIRBAZAR,1,MALLIKA PAIK W/O - SUSHEN PAIK,Independent,0,29,29
S25,135,MANDIRBAZAR,1,MALLIKA MONDAL,Independent,0,82,82
S25,135,MANDIRBAZAR,1,NOTA,None of the Above,0,50,50
S25,135,MANDIRBAZAR,2,CHAND SARADER,Indian National Congress,77,60,137
S25,135,MANDIRBAZAR,2,JOYDEB HALDER S/O - KARTICK CHANDRA HALDER,All India Trinamool Congress,5019,5008,10027
S25,135,MANDIRBAZAR,2,MALLIKA PAIK W/O - ASHOK PAIK,Bharatiya Janata Party,1799,482,2281
S25,135,MANDIRBAZAR,2,SHIBANI MANDAL,Bahujan Samaj Party,19,15,34
S25,135,MANDIRBAZAR,2,ANANYA NASKAR,Mulnibasi Party of India,46,60,106
S25,135,MANDIRBAZAR,2,ASHOKE KUMAR GAYEN,All India Secular Front,3876,4077,7953
S25,135,MANDIRBAZAR,2,SISIR KUMAR MONDAL,Socialist Unity Centre Of India (COMMUNIST),36,49,85
S25,135,MANDIRBAZAR,2,SUBRATA NASKAR,Aam Janata Unnayan party,15,11,26
S25,135,MANDIRBAZAR,2,JAYDEB HALDER S/O - SANATAN HALDER,Independent,19,12,31
S25,135,MANDIRBAZAR,2,MALLIKA PAIK W/O - SUSHEN PAIK,Independent,29,35,64
S25,135,MANDIRBAZAR,2,MALLIKA MONDAL,Independent,82,96,178
S25,135,MANDIRBAZAR,2,NOTA,None of the Above,50,56,106
S25,135,MANDIRBAZAR,3,CHAND SARADER,Indian National Congress,137,45,182
S25,135,MANDIRBAZAR,3,JOYDEB HALDER S/O - KARTICK CHANDRA HALDER,All India Trinamool Congress,10027,4087,14114
S25,135,MANDIRBAZAR,3,MALLIKA PAIK W/O - ASHOK PAIK,Bharatiya Janata Party,2281,4878,7159
S25,135,MANDIRBAZAR,3,SHIBANI MANDAL,Bahujan Samaj Party,34,27,61
S25,135,MANDIRBAZAR,3,ANANYA NASKAR,Mulnibasi Party of India,106,13,119
S25,135,MANDIRBAZAR,3,ASHOKE KUMAR GAYEN,All India Secular Front,7953,326,8279
S25,135,MANDIRBAZAR,3,SISIR KUMAR MONDAL,Socialist Unity Centre Of India (COMMUNIST),85,9,94
S25,135,MANDIRBAZAR,3,SUBRATA NASKAR,Aam Janata Unnayan party,26,6,32
S25,135,MANDIRBAZAR,3,JAYDEB HALDER S/O - SANATAN HALDER,Independent,31,15,46
S25,135,MANDIRBAZAR,3,MALLIKA PAIK W/O - SUSHEN PAIK,Independent,64,25,89
