State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,147,SONARPUR_DAKSHIN,1,ARUNDHUTI MAITRA(LOVELY),All India Trinamool Congress,0,3862,3862
S25,147,SONARPUR_DAKSHIN,1,ASIMA MONDAL,Bahujan Samaj Party,0,28,28
S25,147,SONARPUR_DAKSHIN,1,RUPA GANGULY,Bharatiya Janata Party,0,5600,5600
S25,147,SONARPUR_DAKSHIN,1,SUBRATA DUTTA,Indian National Congress,0,49,49
S25,147,SONARPUR_DAKSHIN,1,DILIP GAYEN,Mulnibasi Party of India,0,6,6
S25,147,SONARPUR_DAKSHIN,1,PARAMITA DASGUPTA,Communist Party of India,0,808,808
S25,147,SONARPUR_DAKSHIN,1,MINATI MITRA HALDER,Socialist Unity Centre Of India (COMMUNIST),0,14,14
S25,147,SONARPUR_DAKSHIN,1,ATRASTA NATH,Independent,0,5,5
S25,147,SONARPUR_DAKSHIN,1,PROHALLAD NASKAR,Independent,0,4,4
S25,147,SONARPUR_DAKSHIN,1,PRADIP KUMAR MANDAL,Independent,0,4,4
S25,147,SONARPUR_DAKSHIN,1,RATHIN SARKAR,Independent,0,7,7
S25,147,SONARPUR_DAKSHIN,1,RAJANYA HALDAR(SARA),Independent,0,18,18
S25,147,SONARPUR_DAKSHIN,1,RUPA MONDAL,Independent,0,12,12
S25,147,SONARPUR_DAKSHIN,1,RUMPA GANGULY,Independent,0,24,24
S25,147,SONARPUR_DAKSHIN,1,NOTA,None of the Above,0,97,97
S25,147,SONARPUR_DAKSHIN,2,ARUNDHUTI MAITRA(LOVELY),All India Trinamool Congress,3862,3631,7493
S25,147,SONARPUR_DAKSHIN,2,ASIMA MONDAL,Bahujan Samaj Party,28,38,66
S25,147,SONARPUR_DAKSHIN,2,RUPA GANGULY,Bharatiya Janata Party,5600,5921,11521
S25,147,SONARPUR_DAKSHIN,2,SUBRATA DUTTA,Indian National Congress,49,57,106
S25,147,SONARPUR_DAKSHIN,2,DILIP GAYEN,Mulnibasi Party of India,6,4,10
S25,147,SONARPUR_DAKSHIN,2,PARAMITA DASGUPTA,Communist Party of India,808,747,1555
S25,147,SONARPUR_DAKSHIN,2,MINATI MITRA HALDER,Socialist Unity Centre Of India (COMMUNIST),14,21,35
S25,147,SONARPUR_DAKSHIN,2,ATRASTA NATH,Independent,5,3,8
S25,147,SONARPUR_DAKSHIN,2,PROHALLAD NASKAR,Independent,4,8,12
S25,147,SONARPUR_DAKSHIN,2,PRADIP KUMAR MANDAL,Independent,4,1,5
S25,147,SONARPUR_DAKSHIN,2,RATHIN SARKAR,Independent,7,6,13
S25,147,SONARPUR_DAKSHIN,2,RAJANYA HALDAR(SARA),Independent,18,46,64
S25,147,SONARPUR_DAKSHIN,2,RUPA MONDAL,Independent,12,19,31
S25,147,SONARPUR_DAKSHIN,2,RUMPA GANGULY,Independent,24,30,54
S25,147,SONARPUR_DAKSHIN,2,NOTA,None of the Above,97,85,182
S25,147,SONARPUR_DAKSHIN,3,ARUNDHUTI MAITRA(LOVELY),All India Trinamool Congress,7493,3747,11240
S25,147,SONARPUR_DAKSHIN,3,ASIMA MONDAL,Bahujan Samaj Party,66,49,115
S25,147,SONARPUR_DAKSHIN,3,RUPA GANGULY,Bharatiya Janata Party,11521,7347,18868
S25,147,SONARPUR_DAKSHIN,3,SUBRATA DUTTA,Indian National Congress,106,60,166
S25,147,SONARPUR_DAKSHIN,3,DILIP GAYEN,Mulnibasi Party of India,10,15,25
S25,147,SONARPUR_DAKSHIN,3,PARAMITA DASGUPTA,Communist Party of India,1555,569,2124
S25,147,SONARPUR_DAKSHIN,3,MINATI MITRA HALDER,Socialist Unity Centre Of India (COMMUNIST),35,25,60
S25,147,SONARPUR_DAKSHIN,3,ATRASTA NATH,Independent,8,7,15
S25,147,SONARPUR_DAKSHIN,3,PROHALLAD NASKAR,Independent,12,8,20
S25,147,SONARPUR_DAKSHIN,3,PRADIP KUMAR MANDAL,Independent,5,5,10
S25,147,SONARPUR_DAKSHIN,3,RATHIN SARKAR,Independent,13,5,18
S25,147,SONARPUR_DAKSHIN,3,RAJANYA HALDAR(SARA),Independent,64,39,103
S25,147,SONARPUR_DAKSHIN,3,RUPA MONDAL,Independent,31,29,60
S25,147,SONARPUR_DAKSHIN,3,RUMPA GANGULY,Independent,54,24,78
S25,147,SONARPUR_DAKSHIN,3,NOTA,None of the Above,182,72,254
S25,147,SONARPUR_DAKSHIN,4,ARUNDHUTI MAITRA(LOVELY),All India Trinamool Congress,11240,3325,14565
S25,147,SONARPUR_DAKSHIN,4,ASIMA MONDAL,Bahujan Samaj Party,115,27,142
S25,147,SONARPUR_DAKSHIN,4,RUPA GANGULY,Bharatiya Janata Party,18868,5966,24834
S25,147,SONARPUR_DAKSHIN,4,SUBRATA DUTTA,Indian National Congress,166,59,225
S25,147,SONARPUR_DAKSHIN,4,DILIP GAYEN,Mulnibasi Party of India,25,13,38
S25,147,SONARPUR_DAKSHIN,4,PARAMITA DASGUPTA,Communist Party of India,2124,582,2706
S25,147,SONARPUR_DAKSHIN,4,MINATI MITRA HALDER,Socialist Unity Centre Of India (COMMUNIST),60,24,84
S25,147,SONARPUR_DAKSHIN,4,ATRASTA NATH,Independent,15,6,21
S25,147,SONARPUR_DAKSHIN,4,PROHALLAD NASKAR,Independent,20,3,23
S25,147,SONARPUR_DAKSHIN,4,PRADIP KUMAR MANDAL,Independent,10,2,12
S25,147,SONARPUR_DAKSHIN,4,RATHIN SARKAR,Independent,18,10,28
S25,147,SONARPUR_DAKSHIN,4,RAJANYA HALDAR(SARA),Independent,103,25,128
S25,147,SONARPUR_DAKSHIN,4,RUPA MONDAL,Independent,60,12,72
S25,147,SONARPUR_DAKSHIN,4,RUMPA GANGULY,Independent,78,22,100
S25,147,SONARPUR_DAKSHIN,4,NOTA,None of the Above,254,64,318
S25,147,SONARPUR_DAKSHIN,5,ARUNDHUTI MAITRA(LOVELY),All India Trinamool Congress,14565,4056,18621
S25,147,SONARPUR_DAKSHIN,5,ASIMA MONDAL,Bahujan Samaj Party,142,27,169
S25,147,SONARPUR_DAKSHIN,5,RUPA GANGULY,Bharatiya Janata Party,24834,6420,31254
S25,147,SONARPUR_DAKSHIN,5,SUBRATA DUTTA,Indian National Congress,225,71,296
S25,147,SONARPUR_DAKSHIN,5,DILIP GAYEN,Mulnibasi Party of India,38,13,51
S25,147,SONARPUR_DAKSHIN,5,PARAMITA DASGUPTA,Communist Party of India,2706,715,3421
S25,147,SONARPUR_DAKSHIN,5,MINATI MITRA HALDER,Socialist Unity Centre Of India (COMMUNIST),84,18,102
S25,147,SONARPUR_DAKSHIN,5,ATRASTA NATH,Independent,21,5,26
S25,147,SONARPUR_DAKSHIN,5,PROHALLAD NASKAR,Independent,23,4,27
S25,147,SONARPUR_DAKSHIN,5,PRADIP KUMAR MANDAL,Independent,12,9,21
S25,147,SONARPUR_DAKSHIN,5,RATHIN SARKAR,Independent,28,8,36
S25,147,SONARPUR_DAKSHIN,5,RAJANYA HALDAR(SARA),Independent,128,12,140
S25,147,SONARPUR_DAKSHIN,5,RUPA MONDAL,Independent,72,37,109
S25,147,SONARPUR_DAKSHIN,5,RUMPA GANGULY,Independent,100,37,137
S25,147,SONARPUR_DAKSHIN,5,NOTA,None of the Above,318,89,407
