State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,148,BHANGAR,1,JAYANTA GAYEN,Bharatiya Janata Party,0,4295,4295
S25,148,BHANGAR,1,MAHABUBUL ISLAM,Indian National Congress,0,46,46
S25,148,BHANGAR,1,SUJATA RANJAN,Bahujan Samaj Party,0,44,44
S25,148,BHANGAR,1,SAOKAT MOLLA,All India Trinamool Congress,0,7076,7076
S25,148,BHANGAR,1,MD NAWSAD SIDDIQUE,All India Secular Front,0,1875,1875
S25,148,BHANGAR,1,RAFIQUE AKUNJI,Socialist Unity Centre Of India (COMMUNIST),0,17,17
S25,148,BHANGAR,1,SIMA BHATTACHARYYA,Aam Janata Unnayan party,0,18,18
S25,148,BHANGAR,1,AKIYABUL MIDDYA,Independent,0,17,17
S25,148,BHANGAR,1,IKBAL MOLLA,Independent,0,15,15
S25,148,BHANGAR,1,KAMALUDDIN MOLLA,Independent,0,10,10
S25,148,BHANGAR,1,KARIMUL MOLLA,Independent,0,37,37
S25,148,BHANGAR,1,NAOSAN MOLLA,Independent,0,91,91
S25,148,BHANGAR,1,MAFIJUL ALI BISWAS,Independent,0,212,212
S25,148,BHANGAR,1,MASADUL MOLLA,Independent,0,41,41
S25,148,BHANGAR,1,MIRJA HASAN,Independent,0,18,18
S25,148,BHANGAR,1,MD  MIR SAMSUDDIN,Independent,0,41,41
S25,148,BHANGAR,1,MD MOMTAJUR RAHAMAN MOLLA,Independent,0,45,45
S25,148,BHANGAR,1,MD RABIUL ISLAM GAZI,Independent,0,27,27
S25,148,BHANGAR,1,RAJIB AHAMED,Independent,0,21,21
S25,148,BHANGAR,1,NOTA,None of the Above,0,96,96
S25,148,BHANGAR,2,JAYANTA GAYEN,Bharatiya Janata Party,4295,3146,7441
S25,148,BHANGAR,2,MAHABUBUL ISLAM,Indian National Congress,46,49,95
S25,148,BHANGAR,2,SUJATA RANJAN,Bahujan Samaj Party,44,54,98
S25,148,BHANGAR,2,SAOKAT MOLLA,All India Trinamool Congress,7076,7741,14817
S25,148,BHANGAR,2,MD NAWSAD SIDDIQUE,All India Secular Front,1875,3232,5107
S25,148,BHANGAR,2,RAFIQUE AKUNJI,Socialist Unity Centre Of India (COMMUNIST),17,44,61
S25,148,BHANGAR,2,SIMA BHATTACHARYYA,Aam Janata Unnayan party,18,19,37
S25,148,BHANGAR,2,AKIYABUL MIDDYA,Independent,17,25,42
S25,148,BHANGAR,2,IKBAL MOLLA,Independent,15,20,35
S25,148,BHANGAR,2,KAMALUDDIN MOLLA,Independent,10,25,35
S25,148,BHANGAR,2,KARIMUL MOLLA,Independent,37,30,67
S25,148,BHANGAR,2,NAOSAN MOLLA,Independent,91,213,304
S25,148,BHANGAR,2,MAFIJUL ALI BISWAS,Independent,212,160,372
S25,148,BHANGAR,2,MASADUL MOLLA,Independent,41,42,83
S25,148,BHANGAR,2,MIRJA HASAN,Independent,18,14,32
S25,148,BHANGAR,2,MD  MIR SAMSUDDIN,Independent,41,56,97
S25,148,BHANGAR,2,MD MOMTAJUR RAHAMAN MOLLA,Independent,45,25,70
S25,148,BHANGAR,2,MD RABIUL ISLAM GAZI,Independent,27,17,44
S25,148,BHANGAR,2,RAJIB AHAMED,Independent,21,13,34
S25,148,BHANGAR,2,NOTA,None of the Above,96,96,192
S25,148,BHANGAR,3,JAYANTA GAYEN,Bharatiya Janata Party,7441,2483,9924
S25,148,BHANGAR,3,MAHABUBUL ISLAM,Indian National Congress,95,31,126
S25,148,BHANGAR,3,SUJATA RANJAN,Bahujan Samaj Party,98,44,142
S25,148,BHANGAR,3,SAOKAT MOLLA,All India Trinamool Congress,14817,5607,20424
S25,148,BHANGAR,3,MD NAWSAD SIDDIQUE,All India Secular Front,5107,4564,9671
S25,148,BHANGAR,3,RAFIQUE AKUNJI,Socialist Unity Centre Of India (COMMUNIST),61,28,89
S25,148,BHANGAR,3,SIMA BHATTACHARYYA,Aam Janata Unnayan party,37,9,46
S25,148,BHANGAR,3,AKIYABUL MIDDYA,Independent,42,26,68
S25,148,BHANGAR,3,IKBAL MOLLA,Independent,35,19,54
S25,148,BHANGAR,3,KAMALUDDIN MOLLA,Independent,35,32,67
S25,148,BHANGAR,3,KARIMUL MOLLA,Independent,67,53,120
S25,148,BHANGAR,3,NAOSAN MOLLA,Independent,304,248,552
S25,148,BHANGAR,3,MAFIJUL ALI BISWAS,Independent,372,150,522
S25,148,BHANGAR,3,MASADUL MOLLA,Independent,83,68,151
S25,148,BHANGAR,3,MIRJA HASAN,Independent,32,18,50
S25,148,BHANGAR,3,MD  MIR SAMSUDDIN,Independent,97,36,133
S25,148,BHANGAR,3,MD MOMTAJUR RAHAMAN MOLLA,Independent,70,33,103
S25,148,BHANGAR,3,MD RABIUL ISLAM GAZI,Independent,44,16,60
S25,148,BHANGAR,3,RAJIB AHAMED,Independent,34,21,55
S25,148,BHANGAR,3,NOTA,None of the Above,192,101,293
S25,148,BHANGAR,4,JAYANTA GAYEN,Bharatiya Janata Party,9924,466,10390
S25,148,BHANGAR,4,MAHABUBUL ISLAM,Indian National Congress,126,26,152
S25,148,BHANGAR,4,SUJATA RANJAN,Bahujan Samaj Party,142,27,169
S25,148,BHANGAR,4,SAOKAT MOLLA,All India Trinamool Congress,20424,4544,24968
S25,148,BHANGAR,4,MD NAWSAD SIDDIQUE,All India Secular Front,9671,9761,19432
S25,148,BHANGAR,4,RAFIQUE AKUNJI,Socialist Unity Centre Of India (COMMUNIST),89,34,123
S25,148,BHANGAR,4,SIMA BHATTACHARYYA,Aam Janata Unnayan party,46,9,55
S25,148,BHANGAR,4,AKIYABUL MIDDYA,Independent,68,22,90
S25,148,BHANGAR,4,IKBAL MOLLA,Independent,54,17,71
S25,148,BHANGAR,4,KAMALUDDIN MOLLA,Independent,67,35,102
S25,148,BHANGAR,4,KARIMUL MOLLA,Independent,120,31,151
S25,148,BHANGAR,4,NAOSAN MOLLA,Independent,552,432,984
S25,148,BHANGAR,4,MAFIJUL ALI BISWAS,Independent,522,108,630
S25,148,BHANGAR,4,MASADUL MOLLA,Independent,151,62,213
S25,148,BHANGAR,4,MIRJA HASAN,Independent,50,12,62
S25,148,BHANGAR,4,MD  MIR SAMSUDDIN,Independent,133,29,162
S25,148,BHANGAR,4,MD MOMTAJUR RAHAMAN MOLLA,Independent,103,21,124
S25,148,BHANGAR,4,MD RABIUL ISLAM GAZI,Independent,60,14,74
S25,148,BHANGAR,4,RAJIB AHAMED,Independent,55,10,65
S25,148,BHANGAR,4,NOTA,None of the Above,293,112,405
S25,148,BHANGAR,5,JAYANTA GAYEN,Bharatiya Janata Party,10390,2005,12395
S25,148,BHANGAR,5,MAHABUBUL ISLAM,Indian National Congress,152,29,181
S25,148,BHANGAR,5,SUJATA RANJAN,Bahujan Samaj Party,169,31,200
S25,148,BHANGAR,5,SAOKAT MOLLA,All India Trinamool Congress,24968,4816,29784
S25,148,BHANGAR,5,MD NAWSAD SIDDIQUE,All India Secular Front,19432,8031,27463
