State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,149,KASBA,1,AHMED JAVED KHAN,All India Trinamool Congress,0,9215,9215
S25,149,KASBA,1,BANERJEE SANDIP,Bharatiya Janata Party,0,802,802
S25,149,KASBA,1,DIPU DAS,Communist Party of India (Marxist),0,149,149
S25,149,KASBA,1,MD. HASIM ZESHAN AHMAD,Indian National Congress,0,178,178
S25,149,KASBA,1,SANJIB BISWAS,Bahujan Samaj Party,0,9,9
S25,149,KASBA,1,SHAMPA SARKAR,Socialist Unity Centre Of India (COMMUNIST),0,14,14
S25,149,KASBA,1,CHANDAN DEY,Independent,0,7,7
S25,149,KASBA,1,DEBASISH GHOSH DASTIDAR,Independent,0,7,7
S25,149,KASBA,1,IQBAL HOSSAIN,Independent,0,8,8
S25,149,KASBA,1,ISHTIAQUE ANWAR,Independent,0,5,5
S25,149,KASBA,1,PARTHA PRATIM ROY,Independent,0,4,4
S25,149,KASBA,1,PRADYOT KUMAR SUR,Independent,0,6,6
S25,149,KASBA,1,SWAPAN CHAKRABORTY,Independent,0,8,8
S25,149,KASBA,1,NOTA,None of the Above,0,77,77
S25,149,KASBA,2,AHMED JAVED KHAN,All India Trinamool Congress,9215,11432,20647
S25,149,KASBA,2,BANERJEE SANDIP,Bharatiya Janata Party,802,151,953
S25,149,KASBA,2,DIPU DAS,Communist Party of India (Marxist),149,140,289
S25,149,KASBA,2,MD. HASIM ZESHAN AHMAD,Indian National Congress,178,147,325
S25,149,KASBA,2,SANJIB BISWAS,Bahujan Samaj Party,9,6,15
S25,149,KASBA,2,SHAMPA SARKAR,Socialist Unity Centre Of India (COMMUNIST),14,10,24
S25,149,KASBA,2,CHANDAN DEY,Independent,7,12,19
S25,149,KASBA,2,DEBASISH GHOSH DASTIDAR,Independent,7,4,11
S25,149,KASBA,2,IQBAL HOSSAIN,Independent,8,1,9
S25,149,KASBA,2,ISHTIAQUE ANWAR,Independent,5,8,13
S25,149,KASBA,2,PARTHA PRATIM ROY,Independent,4,8,12
S25,149,KASBA,2,PRADYOT KUMAR SUR,Independent,6,9,15
S25,149,KASBA,2,SWAPAN CHAKRABORTY,Independent,8,13,21
S25,149,KASBA,2,NOTA,None of the Above,77,70,147
S25,149,KASBA,3,AHMED JAVED KHAN,All India Trinamool Congress,20647,11090,31737
S25,149,KASBA,3,BANERJEE SANDIP,Bharatiya Janata Party,953,333,1286
S25,149,KASBA,3,DIPU DAS,Communist Party of India (Marxist),289,101,390
S25,149,KASBA,3,MD. HASIM ZESHAN AHMAD,Indian National Congress,325,134,459
S25,149,KASBA,3,SANJIB BISWAS,Bahujan Samaj Party,15,4,19
S25,149,KASBA,3,SHAMPA SARKAR,Socialist Unity Centre Of India (COMMUNIST),24,6,30
S25,149,KASBA,3,CHANDAN DEY,Independent,19,10,29
S25,149,KASBA,3,DEBASISH GHOSH DASTIDAR,Independent,11,2,13
S25,149,KASBA,3,IQBAL HOSSAIN,Independent,9,7,16
S25,149,KASBA,3,ISHTIAQUE ANWAR,Independent,13,1,14
S25,149,KASBA,3,PARTHA PRATIM ROY,Independent,12,7,19
S25,149,KASBA,3,PRADYOT KUMAR SUR,Independent,15,2,17
S25,149,KASBA,3,SWAPAN CHAKRABORTY,Independent,21,7,28
S25,149,KASBA,3,NOTA,None of the Above,147,56,203
S25,149,KASBA,4,AHMED JAVED KHAN,All India Trinamool Congress,31737,8517,40254
S25,149,KASBA,4,BANERJEE SANDIP,Bharatiya Janata Party,1286,1880,3166
S25,149,KASBA,4,DIPU DAS,Communist Party of India (Marxist),390,309,699
S25,149,KASBA,4,MD. HASIM ZESHAN AHMAD,Indian National Congress,459,106,565
S25,149,KASBA,4,SANJIB BISWAS,Bahujan Samaj Party,19,7,26
S25,149,KASBA,4,SHAMPA SARKAR,Socialist Unity Centre Of India (COMMUNIST),30,10,40
S25,149,KASBA,4,CHANDAN DEY,Independent,29,3,32
S25,149,KASBA,4,DEBASISH GHOSH DASTIDAR,Independent,13,5,18
S25,149,KASBA,4,IQBAL HOSSAIN,Independent,16,2,18
S25,149,KASBA,4,ISHTIAQUE ANWAR,Independent,14,5,19
S25,149,KASBA,4,PARTHA PRATIM ROY,Independent,19,3,22
S25,149,KASBA,4,PRADYOT KUMAR SUR,Independent,17,3,20
S25,149,KASBA,4,SWAPAN CHAKRABORTY,Independent,28,4,32
S25,149,KASBA,4,NOTA,None of the Above,203,48,251
S25,149,KASBA,5,AHMED JAVED KHAN,All India Trinamool Congress,40254,9310,49564
