State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,151,SONARPUR_UTTAR,1,JAGANNATH KUMIR,Indian National Congress,0,42,42
S25,151,SONARPUR_UTTAR,1,DEBASISH DHAR,Bharatiya Janata Party,0,6491,6491
S25,151,SONARPUR_UTTAR,1,FIRDOUSI BEGAM,All India Trinamool Congress,0,4846,4846
S25,151,SONARPUR_UTTAR,1,MONALISA SINHA,Communist Party of India (Marxist),0,565,565
S25,151,SONARPUR_UTTAR,1,SANJOY PRAMANIK,Bahujan Samaj Party,0,23,23
S25,151,SONARPUR_UTTAR,1,ANINDYA RAY CHAUDHURY,Socialist Unity Centre Of India (COMMUNIST),0,9,9
S25,151,SONARPUR_UTTAR,1,ARUP MANDAL,Independent,0,7,7
S25,151,SONARPUR_UTTAR,1,ABUL KASHEM,Independent,0,14,14
S25,151,SONARPUR_UTTAR,1,DIPENDU ISAR,Independent,0,6,6
S25,151,SONARPUR_UTTAR,1,NARAYAN DAS,Independent,0,6,6
S25,151,SONARPUR_UTTAR,1,SAMIR BHATTACHARYA,Independent,0,23,23
S25,151,SONARPUR_UTTAR,1,SARASWATI MONDAL,Independent,0,59,59
S25,151,SONARPUR_UTTAR,1,SUSHAMA MAITY MANNA,Independent,0,36,36
S25,151,SONARPUR_UTTAR,1,NOTA,None of the Above,0,73,73
S25,151,SONARPUR_UTTAR,2,JAGANNATH KUMIR,Indian National Congress,42,39,81
S25,151,SONARPUR_UTTAR,2,DEBASISH DHAR,Bharatiya Janata Party,6491,6513,13004
S25,151,SONARPUR_UTTAR,2,FIRDOUSI BEGAM,All India Trinamool Congress,4846,5555,10401
S25,151,SONARPUR_UTTAR,2,MONALISA SINHA,Communist Party of India (Marxist),565,514,1079
S25,151,SONARPUR_UTTAR,2,SANJOY PRAMANIK,Bahujan Samaj Party,23,25,48
S25,151,SONARPUR_UTTAR,2,ANINDYA RAY CHAUDHURY,Socialist Unity Centre Of India (COMMUNIST),9,9,18
S25,151,SONARPUR_UTTAR,2,ARUP MANDAL,Independent,7,5,12
S25,151,SONARPUR_UTTAR,2,ABUL KASHEM,Independent,14,14,28
S25,151,SONARPUR_UTTAR,2,DIPENDU ISAR,Independent,6,13,19
S25,151,SONARPUR_UTTAR,2,NARAYAN DAS,Independent,6,14,20
S25,151,SONARPUR_UTTAR,2,SAMIR BHATTACHARYA,Independent,23,24,47
S25,151,SONARPUR_UTTAR,2,SARASWATI MONDAL,Independent,59,91,150
S25,151,SONARPUR_UTTAR,2,SUSHAMA MAITY MANNA,Independent,36,30,66
S25,151,SONARPUR_UTTAR,2,NOTA,None of the Above,73,72,145
S25,151,SONARPUR_UTTAR,3,JAGANNATH KUMIR,Indian National Congress,81,64,145
S25,151,SONARPUR_UTTAR,3,DEBASISH DHAR,Bharatiya Janata Party,13004,5655,18659
S25,151,SONARPUR_UTTAR,3,FIRDOUSI BEGAM,All India Trinamool Congress,10401,5811,16212
S25,151,SONARPUR_UTTAR,3,MONALISA SINHA,Communist Party of India (Marxist),1079,444,1523
S25,151,SONARPUR_UTTAR,3,SANJOY PRAMANIK,Bahujan Samaj Party,48,36,84
S25,151,SONARPUR_UTTAR,3,ANINDYA RAY CHAUDHURY,Socialist Unity Centre Of India (COMMUNIST),18,12,30
S25,151,SONARPUR_UTTAR,3,ARUP MANDAL,Independent,12,11,23
S25,151,SONARPUR_UTTAR,3,ABUL KASHEM,Independent,28,11,39
S25,151,SONARPUR_UTTAR,3,DIPENDU ISAR,Independent,19,12,31
S25,151,SONARPUR_UTTAR,3,NARAYAN DAS,Independent,20,21,41
S25,151,SONARPUR_UTTAR,3,SAMIR BHATTACHARYA,Independent,47,33,80
S25,151,SONARPUR_UTTAR,3,SARASWATI MONDAL,Independent,150,100,250
S25,151,SONARPUR_UTTAR,3,SUSHAMA MAITY MANNA,Independent,66,35,101
S25,151,SONARPUR_UTTAR,3,NOTA,None of the Above,145,93,238
S25,151,SONARPUR_UTTAR,4,JAGANNATH KUMIR,Indian National Congress,145,48,193
S25,151,SONARPUR_UTTAR,4,DEBASISH DHAR,Bharatiya Janata Party,18659,5870,24529
S25,151,SONARPUR_UTTAR,4,FIRDOUSI BEGAM,All India Trinamool Congress,16212,5097,21309
S25,151,SONARPUR_UTTAR,4,MONALISA SINHA,Communist Party of India (Marxist),1523,504,2027
S25,151,SONARPUR_UTTAR,4,SANJOY PRAMANIK,Bahujan Samaj Party,84,33,117
S25,151,SONARPUR_UTTAR,4,ANINDYA RAY CHAUDHURY,Socialist Unity Centre Of India (COMMUNIST),30,17,47
S25,151,SONARPUR_UTTAR,4,ARUP MANDAL,Independent,23,11,34
S25,151,SONARPUR_UTTAR,4,ABUL KASHEM,Independent,39,11,50
S25,151,SONARPUR_UTTAR,4,DIPENDU ISAR,Independent,31,21,52
S25,151,SONARPUR_UTTAR,4,NARAYAN DAS,Independent,41,11,52
S25,151,SONARPUR_UTTAR,4,SAMIR BHATTACHARYA,Independent,80,28,108
S25,151,SONARPUR_UTTAR,4,SARASWATI MONDAL,Independent,250,86,336
S25,151,SONARPUR_UTTAR,4,SUSHAMA MAITY MANNA,Independent,101,42,143
S25,151,SONARPUR_UTTAR,4,NOTA,None of the Above,238,81,319
S25,151,SONARPUR_UTTAR,5,JAGANNATH KUMIR,Indian National Congress,193,60,253
S25,151,SONARPUR_UTTAR,5,DEBASISH DHAR,Bharatiya Janata Party,24529,7070,31599
S25,151,SONARPUR_UTTAR,5,FIRDOUSI BEGAM,All India Trinamool Congress,21309,5609,26918
S25,151,SONARPUR_UTTAR,5,MONALISA SINHA,Communist Party of India (Marxist),2027,573,2600
S25,151,SONARPUR_UTTAR,5,SANJOY PRAMANIK,Bahujan Samaj Party,117,30,147
S25,151,SONARPUR_UTTAR,5,ANINDYA RAY CHAUDHURY,Socialist Unity Centre Of India (COMMUNIST),47,19,66
S25,151,SONARPUR_UTTAR,5,ARUP MANDAL,Independent,34,7,41
S25,151,SONARPUR_UTTAR,5,ABUL KASHEM,Independent,50,13,63
S25,151,SONARPUR_UTTAR,5,DIPENDU ISAR,Independent,52,8,60
S25,151,SONARPUR_UTTAR,5,NARAYAN DAS,Independent,52,14,66
S25,151,SONARPUR_UTTAR,5,SAMIR BHATTACHARYA,Independent,108,16,124
S25,151,SONARPUR_UTTAR,5,SARASWATI MONDAL,Independent,336,72,408
S25,151,SONARPUR_UTTAR,5,SUSHAMA MAITY MANNA,Independent,143,47,190
S25,151,SONARPUR_UTTAR,5,NOTA,None of the Above,319,85,404
S25,151,SONARPUR_UTTAR,6,JAGANNATH KUMIR,Indian National Congress,253,78,331
S25,151,SONARPUR_UTTAR,6,DEBASISH DHAR,Bharatiya Janata Party,31599,4221,35820
S25,151,SONARPUR_UTTAR,6,FIRDOUSI BEGAM,All India Trinamool Congress,26918,7673,34591
S25,151,SONARPUR_UTTAR,6,MONALISA SINHA,Communist Party of India (Marxist),2600,739,3339
S25,151,SONARPUR_UTTAR,6,SANJOY PRAMANIK,Bahujan Samaj Party,147,22,169
S25,151,SONARPUR_UTTAR,6,ANINDYA RAY CHAUDHURY,Socialist Unity Centre Of India (COMMUNIST),66,5,71
S25,151,SONARPUR_UTTAR,6,ARUP MANDAL,Independent,41,9,50
S25,151,SONARPUR_UTTAR,6,ABUL KASHEM,Independent,63,10,73
S25,151,SONARPUR_UTTAR,6,DIPENDU ISAR,Independent,60,5,65
S25,151,SONARPUR_UTTAR,6,NARAYAN DAS,Independent,66,17,83
S25,151,SONARPUR_UTTAR,6,SAMIR BHATTACHARYA,Independent,124,25,149
S25,151,SONARPUR_UTTAR,6,SARASWATI MONDAL,Independent,408,85,493
S25,151,SONARPUR_UTTAR,6,SUSHAMA MAITY MANNA,Independent,190,27,217
S25,151,SONARPUR_UTTAR,6,NOTA,None of the Above,404,50,454
S25,151,SONARPUR_UTTAR,7,JAGANNATH KUMIR,Indian National Congress,331,75,406
S25,151,SONARPUR_UTTAR,7,DEBASISH DHAR,Bharatiya Janata Party,35820,4822,40642
S25,151,SONARPUR_UTTAR,7,FIRDOUSI BEGAM,All India Trinamool Congress,34591,5904,40495
S25,151,SONARPUR_UTTAR,7,MONALISA SINHA,Communist Party of India (Marxist),3339,763,4102
S25,151,SONARPUR_UTTAR,7,SANJOY PRAMANIK,Bahujan Samaj Party,169,21,190
S25,151,SONARPUR_UTTAR,7,ANINDYA RAY CHAUDHURY,Socialist Unity Centre Of India (COMMUNIST),71,8,79
S25,151,SONARPUR_UTTAR,7,ARUP MANDAL,Independent,50,6,56
S25,151,SONARPUR_UTTAR,7,ABUL KASHEM,Independent,73,10,83
S25,151,SONARPUR_UTTAR,7,DIPENDU ISAR,Independent,65,7,72
S25,151,SONARPUR_UTTAR,7,NARAYAN DAS,Independent,83,8,91
S25,151,SONARPUR_UTTAR,7,SAMIR BHATTACHARYA,Independent,149,11,160
S25,151,SONARPUR_UTTAR,7,SARASWATI MONDAL,Independent,493,71,564
S25,151,SONARPUR_UTTAR,7,SUSHAMA MAITY MANNA,Independent,217,35,252
S25,151,SONARPUR_UTTAR,7,NOTA,None of the Above,454,69,523
S25,151,SONARPUR_UTTAR,8,JAGANNATH KUMIR,Indian National Congress,406,98,504
S25,151,SONARPUR_UTTAR,8,DEBASISH DHAR,Bharatiya Janata Party,40642,3651,44293
S25,151,SONARPUR_UTTAR,8,FIRDOUSI BEGAM,All India Trinamool Congress,40495,6569,47064
S25,151,SONARPUR_UTTAR,8,MONALISA SINHA,Communist Party of India (Marxist),4102,1211,5313
S25,151,SONARPUR_UTTAR,8,SANJOY PRAMANIK,Bahujan Samaj Party,190,23,213
S25,151,SONARPUR_UTTAR,8,ANINDYA RAY CHAUDHURY,Socialist Unity Centre Of India (COMMUNIST),79,9,88
S25,151,SONARPUR_UTTAR,8,ARUP MANDAL,Independent,56,7,63
S25,151,SONARPUR_UTTAR,8,ABUL KASHEM,Independent,83,10,93
S25,151,SONARPUR_UTTAR,8,DIPENDU ISAR,Independent,72,13,85
S25,151,SONARPUR_UTTAR,8,NARAYAN DAS,Independent,91,10,101
S25,151,SONARPUR_UTTAR,8,SAMIR BHATTACHARYA,Independent,160,11,171
S25,151,SONARPUR_UTTAR,8,SARASWATI MONDAL,Independent,564,98,662
