State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,153,BEHALA_PURBA,1,ABHIJIT RAHA,Indian National Congress,0,81,81
S25,153,BEHALA_PURBA,1,DR NILAY MAJUMDAR,Communist Party of India (Marxist),0,430,430
S25,153,BEHALA_PURBA,1,PUSHPA DHALI,Bahujan Samaj Party,0,41,41
S25,153,BEHALA_PURBA,1,SANKAR SIKDER,Bharatiya Janata Party,0,4969,4969
S25,153,BEHALA_PURBA,1,SUBHASISH CHAKRABORTY,All India Trinamool Congress,0,3552,3552
S25,153,BEHALA_PURBA,1,ASISH SAMANTA,Socialist Unity Centre Of India (COMMUNIST),0,24,24
S25,153,BEHALA_PURBA,1,ASHIM CHAKRABORTY,Independent,0,11,11
S25,153,BEHALA_PURBA,1,ATANU DAS,Independent,0,8,8
S25,153,BEHALA_PURBA,1,BHOLANATH PATRA,Independent,0,34,34
S25,153,BEHALA_PURBA,1,KRISHNASISH GANGOPADHYAY,Independent,0,14,14
S25,153,BEHALA_PURBA,1,PINTU BAYEN,Independent,0,10,10
S25,153,BEHALA_PURBA,1,SUBHASHIS KAR,Independent,0,18,18
S25,153,BEHALA_PURBA,1,NOTA,None of the Above,0,53,53
S25,153,BEHALA_PURBA,2,ABHIJIT RAHA,Indian National Congress,81,91,172
S25,153,BEHALA_PURBA,2,DR NILAY MAJUMDAR,Communist Party of India (Marxist),430,660,1090
S25,153,BEHALA_PURBA,2,PUSHPA DHALI,Bahujan Samaj Party,41,35,76
S25,153,BEHALA_PURBA,2,SANKAR SIKDER,Bharatiya Janata Party,4969,5801,10770
S25,153,BEHALA_PURBA,2,SUBHASISH CHAKRABORTY,All India Trinamool Congress,3552,4041,7593
S25,153,BEHALA_PURBA,2,ASISH SAMANTA,Socialist Unity Centre Of India (COMMUNIST),24,29,53
S25,153,BEHALA_PURBA,2,ASHIM CHAKRABORTY,Independent,11,3,14
S25,153,BEHALA_PURBA,2,ATANU DAS,Independent,8,14,22
S25,153,BEHALA_PURBA,2,BHOLANATH PATRA,Independent,34,43,77
S25,153,BEHALA_PURBA,2,KRISHNASISH GANGOPADHYAY,Independent,14,19,33
S25,153,BEHALA_PURBA,2,PINTU BAYEN,Independent,10,12,22
S25,153,BEHALA_PURBA,2,SUBHASHIS KAR,Independent,18,24,42
S25,153,BEHALA_PURBA,2,NOTA,None of the Above,53,63,116
S25,153,BEHALA_PURBA,3,ABHIJIT RAHA,Indian National Congress,172,77,249
S25,153,BEHALA_PURBA,3,DR NILAY MAJUMDAR,Communist Party of India (Marxist),1090,652,1742
S25,153,BEHALA_PURBA,3,PUSHPA DHALI,Bahujan Samaj Party,76,36,112
S25,153,BEHALA_PURBA,3,SANKAR SIKDER,Bharatiya Janata Party,10770,5122,15892
S25,153,BEHALA_PURBA,3,SUBHASISH CHAKRABORTY,All India Trinamool Congress,7593,3470,11063
S25,153,BEHALA_PURBA,3,ASISH SAMANTA,Socialist Unity Centre Of India (COMMUNIST),53,44,97
S25,153,BEHALA_PURBA,3,ASHIM CHAKRABORTY,Independent,14,14,28
S25,153,BEHALA_PURBA,3,ATANU DAS,Independent,22,13,35
S25,153,BEHALA_PURBA,3,BHOLANATH PATRA,Independent,77,20,97
S25,153,BEHALA_PURBA,3,KRISHNASISH GANGOPADHYAY,Independent,33,20,53
S25,153,BEHALA_PURBA,3,PINTU BAYEN,Independent,22,9,31
S25,153,BEHALA_PURBA,3,SUBHASHIS KAR,Independent,42,22,64
S25,153,BEHALA_PURBA,3,NOTA,None of the Above,116,62,178
S25,153,BEHALA_PURBA,4,ABHIJIT RAHA,Indian National Congress,249,84,333
S25,153,BEHALA_PURBA,4,DR NILAY MAJUMDAR,Communist Party of India (Marxist),1742,830,2572
S25,153,BEHALA_PURBA,4,PUSHPA DHALI,Bahujan Samaj Party,112,17,129
S25,153,BEHALA_PURBA,4,SANKAR SIKDER,Bharatiya Janata Party,15892,4491,20383
S25,153,BEHALA_PURBA,4,SUBHASISH CHAKRABORTY,All India Trinamool Congress,11063,3337,14400
S25,153,BEHALA_PURBA,4,ASISH SAMANTA,Socialist Unity Centre Of India (COMMUNIST),97,29,126
S25,153,BEHALA_PURBA,4,ASHIM CHAKRABORTY,Independent,28,7,35
S25,153,BEHALA_PURBA,4,ATANU DAS,Independent,35,9,44
S25,153,BEHALA_PURBA,4,BHOLANATH PATRA,Independent,97,24,121
S25,153,BEHALA_PURBA,4,KRISHNASISH GANGOPADHYAY,Independent,53,16,69
S25,153,BEHALA_PURBA,4,PINTU BAYEN,Independent,31,11,42
S25,153,BEHALA_PURBA,4,SUBHASHIS KAR,Independent,64,15,79
S25,153,BEHALA_PURBA,4,NOTA,None of the Above,178,45,223
S25,153,BEHALA_PURBA,5,ABHIJIT RAHA,Indian National Congress,333,92,425
S25,153,BEHALA_PURBA,5,DR NILAY MAJUMDAR,Communist Party of India (Marxist),2572,1133,3705
S25,153,BEHALA_PURBA,5,PUSHPA DHALI,Bahujan Samaj Party,129,31,160
S25,153,BEHALA_PURBA,5,SANKAR SIKDER,Bharatiya Janata Party,20383,4422,24805
S25,153,BEHALA_PURBA,5,SUBHASISH CHAKRABORTY,All India Trinamool Congress,14400,3810,18210
S25,153,BEHALA_PURBA,5,ASISH SAMANTA,Socialist Unity Centre Of India (COMMUNIST),126,24,150
S25,153,BEHALA_PURBA,5,ASHIM CHAKRABORTY,Independent,35,5,40
S25,153,BEHALA_PURBA,5,ATANU DAS,Independent,44,9,53
S25,153,BEHALA_PURBA,5,BHOLANATH PATRA,Independent,121,27,148
S25,153,BEHALA_PURBA,5,KRISHNASISH GANGOPADHYAY,Independent,69,16,85
S25,153,BEHALA_PURBA,5,PINTU BAYEN,Independent,42,21,63
S25,153,BEHALA_PURBA,5,SUBHASHIS KAR,Independent,79,12,91
S25,153,BEHALA_PURBA,5,NOTA,None of the Above,223,76,299
S25,153,BEHALA_PURBA,6,ABHIJIT RAHA,Indian National Congress,425,109,534
