State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,156,BUDGE_BUDGE,1,ASHOK KUMAR DEB,All India Trinamool Congress,0,9244,9244
S25,156,BUDGE_BUDGE,1,DR TARUN KUMAR ADAK,Bharatiya Janata Party,0,8145,8145
S25,156,BUDGE_BUDGE,1,MUJIBAR RAHMAN KAYAL,Indian National Congress,0,143,143
S25,156,BUDGE_BUDGE,1,KAJAL DUTTA,Communist Party of India (Marxist-Leninist) (Liberation),0,291,291
S25,156,BUDGE_BUDGE,1,BASUDEB KABRI,Socialist Unity Centre Of India (COMMUNIST),0,36,36
S25,156,BUDGE_BUDGE,1,TANMOY SARDAR,Independent,0,26,26
S25,156,BUDGE_BUDGE,1,MAINUR KHAN,Independent,0,28,28
S25,156,BUDGE_BUDGE,1,NOTA,None of the Above,0,174,174
S25,156,BUDGE_BUDGE,2,ASHOK KUMAR DEB,All India Trinamool Congress,9244,12673,21917
S25,156,BUDGE_BUDGE,2,DR TARUN KUMAR ADAK,Bharatiya Janata Party,8145,5814,13959
S25,156,BUDGE_BUDGE,2,MUJIBAR RAHMAN KAYAL,Indian National Congress,143,310,453
S25,156,BUDGE_BUDGE,2,KAJAL DUTTA,Communist Party of India (Marxist-Leninist) (Liberation),291,216,507
S25,156,BUDGE_BUDGE,2,BASUDEB KABRI,Socialist Unity Centre Of India (COMMUNIST),36,22,58
S25,156,BUDGE_BUDGE,2,TANMOY SARDAR,Independent,26,18,44
S25,156,BUDGE_BUDGE,2,MAINUR KHAN,Independent,28,40,68
S25,156,BUDGE_BUDGE,2,NOTA,None of the Above,174,187,361
S25,156,BUDGE_BUDGE,3,ASHOK KUMAR DEB,All India Trinamool Congress,21917,9014,30931
S25,156,BUDGE_BUDGE,3,DR TARUN KUMAR ADAK,Bharatiya Janata Party,13959,7505,21464
