State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,157,METIABURUZ,1,ABDUL KHALEQUE MOLLA,All India Trinamool Congress,0,13018,13018
S25,157,METIABURUZ,1,BIR BAHADUR SINGH,Bharatiya Janata Party,0,3835,3835
S25,157,METIABURUZ,1,MD MUKHTAR,Indian National Congress,0,615,615
S25,157,METIABURUZ,1,MONIRUL ISLAM,Communist Party of India (Marxist),0,792,792
S25,157,METIABURUZ,1,RAM RAMISHWAR,Bahujan Samaj Party,0,20,20
S25,157,METIABURUZ,1,AJAZ AHMED ANSARI,Aam Janata Unnayan party,0,7,7
S25,157,METIABURUZ,1,RAFIQUL ISLAM GAZI,Indian Union Muslim League,0,6,6
S25,157,METIABURUZ,1,RINA ADHIKARI ROY,Socialist Unity Centre Of India (COMMUNIST),0,18,18
S25,157,METIABURUZ,1,AHMED ALI MOLLA,Independent,0,12,12
S25,157,METIABURUZ,1,MAHABBAT KHAN,Independent,0,45,45
S25,157,METIABURUZ,1,SK MONIRUL ISLAM,Independent,0,38,38
S25,157,METIABURUZ,1,NOTA,None of the Above,0,165,165
S25,157,METIABURUZ,2,ABDUL KHALEQUE MOLLA,All India Trinamool Congress,13018,11666,24684
S25,157,METIABURUZ,2,BIR BAHADUR SINGH,Bharatiya Janata Party,3835,2720,6555
S25,157,METIABURUZ,2,MD MUKHTAR,Indian National Congress,615,500,1115
S25,157,METIABURUZ,2,MONIRUL ISLAM,Communist Party of India (Marxist),792,1021,1813
S25,157,METIABURUZ,2,RAM RAMISHWAR,Bahujan Samaj Party,20,21,41
S25,157,METIABURUZ,2,AJAZ AHMED ANSARI,Aam Janata Unnayan party,7,6,13
S25,157,METIABURUZ,2,RAFIQUL ISLAM GAZI,Indian Union Muslim League,6,6,12
S25,157,METIABURUZ,2,RINA ADHIKARI ROY,Socialist Unity Centre Of India (COMMUNIST),18,20,38
S25,157,METIABURUZ,2,AHMED ALI MOLLA,Independent,12,9,21
S25,157,METIABURUZ,2,MAHABBAT KHAN,Independent,45,35,80
S25,157,METIABURUZ,2,SK MONIRUL ISLAM,Independent,38,26,64
S25,157,METIABURUZ,2,NOTA,None of the Above,165,125,290
S25,157,METIABURUZ,3,ABDUL KHALEQUE MOLLA,All India Trinamool Congress,24684,15562,40246
S25,157,METIABURUZ,3,BIR BAHADUR SINGH,Bharatiya Janata Party,6555,1504,8059
S25,157,METIABURUZ,3,MD MUKHTAR,Indian National Congress,1115,722,1837
S25,157,METIABURUZ,3,MONIRUL ISLAM,Communist Party of India (Marxist),1813,1077,2890
S25,157,METIABURUZ,3,RAM RAMISHWAR,Bahujan Samaj Party,41,12,53
S25,157,METIABURUZ,3,AJAZ AHMED ANSARI,Aam Janata Unnayan party,13,10,23
S25,157,METIABURUZ,3,RAFIQUL ISLAM GAZI,Indian Union Muslim League,12,8,20
S25,157,METIABURUZ,3,RINA ADHIKARI ROY,Socialist Unity Centre Of India (COMMUNIST),38,12,50
S25,157,METIABURUZ,3,AHMED ALI MOLLA,Independent,21,20,41
S25,157,METIABURUZ,3,MAHABBAT KHAN,Independent,80,73,153
S25,157,METIABURUZ,3,SK MONIRUL ISLAM,Independent,64,42,106
S25,157,METIABURUZ,3,NOTA,None of the Above,290,188,478
S25,157,METIABURUZ,4,ABDUL KHALEQUE MOLLA,All India Trinamool Congress,40246,13069,53315
S25,157,METIABURUZ,4,BIR BAHADUR SINGH,Bharatiya Janata Party,8059,2016,10075
S25,157,METIABURUZ,4,MD MUKHTAR,Indian National Congress,1837,1618,3455
S25,157,METIABURUZ,4,MONIRUL ISLAM,Communist Party of India (Marxist),2890,501,3391
S25,157,METIABURUZ,4,RAM RAMISHWAR,Bahujan Samaj Party,53,19,72
S25,157,METIABURUZ,4,AJAZ AHMED ANSARI,Aam Janata Unnayan party,23,4,27
S25,157,METIABURUZ,4,RAFIQUL ISLAM GAZI,Indian Union Muslim League,20,8,28
S25,157,METIABURUZ,4,RINA ADHIKARI ROY,Socialist Unity Centre Of India (COMMUNIST),50,20,70
S25,157,METIABURUZ,4,AHMED ALI MOLLA,Independent,41,12,53
