State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,160,RASHBEHARI,1,ASHUTOSH CHATTERJEE,Indian National Congress,0,161,161
S25,160,RASHBEHARI,1,DASGUPTA SWAPAN,Bharatiya Janata Party,0,4215,4215
S25,160,RASHBEHARI,1,DEBASISH KUMAR (DEBA),All India Trinamool Congress,0,1542,1542
S25,160,RASHBEHARI,1,DILIP CHANDRA HALDER,Socialist Unity Centre Of India (COMMUNIST),0,19,19
S25,160,RASHBEHARI,1,MANAS GHOSH,Communist Party of India (Marxist-Leninist) (Liberation),0,272,272
S25,160,RASHBEHARI,1,SK ALAMGIR,Independent,0,6,6
S25,160,RASHBEHARI,1,DEBASHIS NATH,Independent,0,9,9
S25,160,RASHBEHARI,1,GOPAL GHOSH,Independent,0,6,6
S25,160,RASHBEHARI,1,PANKAJ THAKKAR,Independent,0,8,8
S25,160,RASHBEHARI,1,NOTA,None of the Above,0,55,55
S25,160,RASHBEHARI,2,ASHUTOSH CHATTERJEE,Indian National Congress,161,118,279
S25,160,RASHBEHARI,2,DASGUPTA SWAPAN,Bharatiya Janata Party,4215,4235,8450
S25,160,RASHBEHARI,2,DEBASISH KUMAR (DEBA),All India Trinamool Congress,1542,2622,4164
S25,160,RASHBEHARI,2,DILIP CHANDRA HALDER,Socialist Unity Centre Of India (COMMUNIST),19,36,55
S25,160,RASHBEHARI,2,MANAS GHOSH,Communist Party of India (Marxist-Leninist) (Liberation),272,237,509
S25,160,RASHBEHARI,2,SK ALAMGIR,Independent,6,12,18
S25,160,RASHBEHARI,2,DEBASHIS NATH,Independent,9,12,21
S25,160,RASHBEHARI,2,GOPAL GHOSH,Independent,6,35,41
S25,160,RASHBEHARI,2,PANKAJ THAKKAR,Independent,8,7,15
S25,160,RASHBEHARI,2,NOTA,None of the Above,55,42,97
S25,160,RASHBEHARI,3,ASHUTOSH CHATTERJEE,Indian National Congress,279,94,373
S25,160,RASHBEHARI,3,DASGUPTA SWAPAN,Bharatiya Janata Party,8450,3375,11825
S25,160,RASHBEHARI,3,DEBASISH KUMAR (DEBA),All India Trinamool Congress,4164,2873,7037
S25,160,RASHBEHARI,3,DILIP CHANDRA HALDER,Socialist Unity Centre Of India (COMMUNIST),55,48,103
S25,160,RASHBEHARI,3,MANAS GHOSH,Communist Party of India (Marxist-Leninist) (Liberation),509,134,643
S25,160,RASHBEHARI,3,SK ALAMGIR,Independent,18,18,36
S25,160,RASHBEHARI,3,DEBASHIS NATH,Independent,21,21,42
S25,160,RASHBEHARI,3,GOPAL GHOSH,Independent,41,53,94
S25,160,RASHBEHARI,3,PANKAJ THAKKAR,Independent,15,14,29
S25,160,RASHBEHARI,3,NOTA,None of the Above,97,46,143
S25,160,RASHBEHARI,4,ASHUTOSH CHATTERJEE,Indian National Congress,373,128,501
S25,160,RASHBEHARI,4,DASGUPTA SWAPAN,Bharatiya Janata Party,11825,3413,15238
S25,160,RASHBEHARI,4,DEBASISH KUMAR (DEBA),All India Trinamool Congress,7037,2768,9805
S25,160,RASHBEHARI,4,DILIP CHANDRA HALDER,Socialist Unity Centre Of India (COMMUNIST),103,40,143
S25,160,RASHBEHARI,4,MANAS GHOSH,Communist Party of India (Marxist-Leninist) (Liberation),643,336,979
S25,160,RASHBEHARI,4,SK ALAMGIR,Independent,36,6,42
S25,160,RASHBEHARI,4,DEBASHIS NATH,Independent,42,15,57
S25,160,RASHBEHARI,4,GOPAL GHOSH,Independent,94,15,109
S25,160,RASHBEHARI,4,PANKAJ THAKKAR,Independent,29,7,36
S25,160,RASHBEHARI,4,NOTA,None of the Above,143,42,185
S25,160,RASHBEHARI,5,ASHUTOSH CHATTERJEE,Indian National Congress,501,117,618
S25,160,RASHBEHARI,5,DASGUPTA SWAPAN,Bharatiya Janata Party,15238,3173,18411
S25,160,RASHBEHARI,5,DEBASISH KUMAR (DEBA),All India Trinamool Congress,9805,2933,12738
S25,160,RASHBEHARI,5,DILIP CHANDRA HALDER,Socialist Unity Centre Of India (COMMUNIST),143,67,210
S25,160,RASHBEHARI,5,MANAS GHOSH,Communist Party of India (Marxist-Leninist) (Liberation),979,330,1309
S25,160,RASHBEHARI,5,SK ALAMGIR,Independent,42,6,48
