State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,162,CHOWRANGEE,1,BANDYOPADHYAY NAYNA,All India Trinamool Congress,0,3118,3118
S25,162,CHOWRANGEE,1,MANASH SARKAR,Indian National Congress,0,54,54
S25,162,CHOWRANGEE,1,SANJAY BASU,Communist Party of India (Marxist),0,56,56
S25,162,CHOWRANGEE,1,SANTOSH KUMAR PATHAK,Bharatiya Janata Party,0,785,785
S25,162,CHOWRANGEE,1,DEBASISH BHADRA,Right to Recall Party,0,0,0
S25,162,CHOWRANGEE,1,PRABIR SEAL,Socialist Unity Centre Of India (COMMUNIST),0,0,0
S25,162,CHOWRANGEE,1,JOHAR IQBAL,Independent,0,2,2
S25,162,CHOWRANGEE,1,MD EHSAN ELAHI,Independent,0,2,2
S25,162,CHOWRANGEE,1,SAYANTAN PATRA,Independent,0,1,1
S25,162,CHOWRANGEE,1,SUMANTA BHOWMICK,Independent,0,4,4
S25,162,CHOWRANGEE,1,TEJASH BOLE,Independent,0,7,7
S25,162,CHOWRANGEE,1,NOTA,None of the Above,0,20,20
S25,162,CHOWRANGEE,2,BANDYOPADHYAY NAYNA,All India Trinamool Congress,3118,3594,6712
S25,162,CHOWRANGEE,2,MANASH SARKAR,Indian National Congress,54,57,111
S25,162,CHOWRANGEE,2,SANJAY BASU,Communist Party of India (Marxist),56,52,108
S25,162,CHOWRANGEE,2,SANTOSH KUMAR PATHAK,Bharatiya Janata Party,785,828,1613
S25,162,CHOWRANGEE,2,DEBASISH BHADRA,Right to Recall Party,0,2,2
S25,162,CHOWRANGEE,2,PRABIR SEAL,Socialist Unity Centre Of India (COMMUNIST),0,7,7
S25,162,CHOWRANGEE,2,JOHAR IQBAL,Independent,2,1,3
S25,162,CHOWRANGEE,2,MD EHSAN ELAHI,Independent,2,3,5
S25,162,CHOWRANGEE,2,SAYANTAN PATRA,Independent,1,5,6
S25,162,CHOWRANGEE,2,SUMANTA BHOWMICK,Independent,4,4,8
S25,162,CHOWRANGEE,2,TEJASH BOLE,Independent,7,3,10
S25,162,CHOWRANGEE,2,NOTA,None of the Above,20,20,40
S25,162,CHOWRANGEE,3,BANDYOPADHYAY NAYNA,All India Trinamool Congress,6712,1956,8668
S25,162,CHOWRANGEE,3,MANASH SARKAR,Indian National Congress,111,48,159
S25,162,CHOWRANGEE,3,SANJAY BASU,Communist Party of India (Marxist),108,38,146
S25,162,CHOWRANGEE,3,SANTOSH KUMAR PATHAK,Bharatiya Janata Party,1613,2330,3943
S25,162,CHOWRANGEE,3,DEBASISH BHADRA,Right to Recall Party,2,4,6
S25,162,CHOWRANGEE,3,PRABIR SEAL,Socialist Unity Centre Of India (COMMUNIST),7,2,9
S25,162,CHOWRANGEE,3,JOHAR IQBAL,Independent,3,4,7
S25,162,CHOWRANGEE,3,MD EHSAN ELAHI,Independent,5,3,8
S25,162,CHOWRANGEE,3,SAYANTAN PATRA,Independent,6,2,8
S25,162,CHOWRANGEE,3,SUMANTA BHOWMICK,Independent,8,2,10
S25,162,CHOWRANGEE,3,TEJASH BOLE,Independent,10,4,14
S25,162,CHOWRANGEE,3,NOTA,None of the Above,40,20,60
S25,162,CHOWRANGEE,4,BANDYOPADHYAY NAYNA,All India Trinamool Congress,8668,1486,10154
S25,162,CHOWRANGEE,4,MANASH SARKAR,Indian National Congress,159,46,205
S25,162,CHOWRANGEE,4,SANJAY BASU,Communist Party of India (Marxist),146,27,173
