State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,164,BELEGHATA,1,KUNAL KUMAR GHOSH,All India Trinamool Congress,0,3524,3524
S25,164,BELEGHATA,1,PARAMITA ROY,Communist Party of India (Marxist),0,430,430
S25,164,BELEGHATA,1,PARTHA CHAUDHURY,Bharatiya Janata Party,0,3090,3090
S25,164,BELEGHATA,1,SHAHINA JAVED,Indian National Congress,0,107,107
S25,164,BELEGHATA,1,JAYANTI MITRA,Socialist Unity Centre Of India (COMMUNIST),0,16,16
S25,164,BELEGHATA,1,ABHIJIT HAZRA,Independent,0,6,6
S25,164,BELEGHATA,1,DEBDYUTI  DEB,Independent,0,9,9
S25,164,BELEGHATA,1,NAZIR AHMED,Independent,0,11,11
S25,164,BELEGHATA,1,PRITAMBAR DAS,Independent,0,15,15
S25,164,BELEGHATA,1,SONALI SAHA,Independent,0,16,16
S25,164,BELEGHATA,1,SUBRATA DE,Independent,0,16,16
S25,164,BELEGHATA,1,NOTA,None of the Above,0,78,78
S25,164,BELEGHATA,2,KUNAL KUMAR GHOSH,All India Trinamool Congress,3524,5250,8774
S25,164,BELEGHATA,2,PARAMITA ROY,Communist Party of India (Marxist),430,365,795
S25,164,BELEGHATA,2,PARTHA CHAUDHURY,Bharatiya Janata Party,3090,1917,5007
S25,164,BELEGHATA,2,SHAHINA JAVED,Indian National Congress,107,110,217
S25,164,BELEGHATA,2,JAYANTI MITRA,Socialist Unity Centre Of India (COMMUNIST),16,14,30
S25,164,BELEGHATA,2,ABHIJIT HAZRA,Independent,6,0,6
S25,164,BELEGHATA,2,DEBDYUTI  DEB,Independent,9,6,15
S25,164,BELEGHATA,2,NAZIR AHMED,Independent,11,2,13
S25,164,BELEGHATA,2,PRITAMBAR DAS,Independent,15,10,25
S25,164,BELEGHATA,2,SONALI SAHA,Independent,16,17,33
