State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,166,SHYAMPUKUR,1,JHUMA DAS,All India Forward Bloc,0,422,422
S25,166,SHYAMPUKUR,1,PURNA GHOSH,Indian National Congress,0,75,75
S25,166,SHYAMPUKUR,1,PURNIMA CHAKRABORTY,Bharatiya Janata Party,0,3182,3182
S25,166,SHYAMPUKUR,1,SHASHI PANJA,All India Trinamool Congress,0,2886,2886
S25,166,SHYAMPUKUR,1,GOURANGA KHATUA,Socialist Unity Centre Of India (COMMUNIST),0,29,29
S25,166,SHYAMPUKUR,1,ANITA JAISWAL,Independent,0,0,0
S25,166,SHYAMPUKUR,1,AYAN CHAKRABORTY,Independent,0,6,6
S25,166,SHYAMPUKUR,1,BARNALI GHOSH,Independent,0,2,2
S25,166,SHYAMPUKUR,1,CHHAYA GHOSH,Independent,0,8,8
S25,166,SHYAMPUKUR,1,RIMA MONDAL,Independent,0,26,26
S25,166,SHYAMPUKUR,1,SANJAY BAGARIA,Independent,0,4,4
S25,166,SHYAMPUKUR,1,UMA GOSWAMI,Independent,0,10,10
S25,166,SHYAMPUKUR,1,NOTA,None of the Above,0,53,53
S25,166,SHYAMPUKUR,2,JHUMA DAS,All India Forward Bloc,422,519,941
S25,166,SHYAMPUKUR,2,PURNA GHOSH,Indian National Congress,75,76,151
S25,166,SHYAMPUKUR,2,PURNIMA CHAKRABORTY,Bharatiya Janata Party,3182,3237,6419
S25,166,SHYAMPUKUR,2,SHASHI PANJA,All India Trinamool Congress,2886,2599,5485
S25,166,SHYAMPUKUR,2,GOURANGA KHATUA,Socialist Unity Centre Of India (COMMUNIST),29,35,64
S25,166,SHYAMPUKUR,2,ANITA JAISWAL,Independent,0,4,4
S25,166,SHYAMPUKUR,2,AYAN CHAKRABORTY,Independent,6,6,12
S25,166,SHYAMPUKUR,2,BARNALI GHOSH,Independent,2,3,5
S25,166,SHYAMPUKUR,2,CHHAYA GHOSH,Independent,8,7,15
S25,166,SHYAMPUKUR,2,RIMA MONDAL,Independent,26,15,41
S25,166,SHYAMPUKUR,2,SANJAY BAGARIA,Independent,4,6,10
S25,166,SHYAMPUKUR,2,UMA GOSWAMI,Independent,10,3,13
S25,166,SHYAMPUKUR,2,NOTA,None of the Above,53,59,112
S25,166,SHYAMPUKUR,3,JHUMA DAS,All India Forward Bloc,941,543,1484
S25,166,SHYAMPUKUR,3,PURNA GHOSH,Indian National Congress,151,82,233
S25,166,SHYAMPUKUR,3,PURNIMA CHAKRABORTY,Bharatiya Janata Party,6419,2999,9418
S25,166,SHYAMPUKUR,3,SHASHI PANJA,All India Trinamool Congress,5485,2503,7988
S25,166,SHYAMPUKUR,3,GOURANGA KHATUA,Socialist Unity Centre Of India (COMMUNIST),64,36,100
S25,166,SHYAMPUKUR,3,ANITA JAISWAL,Independent,4,3,7
S25,166,SHYAMPUKUR,3,AYAN CHAKRABORTY,Independent,12,4,16
S25,166,SHYAMPUKUR,3,BARNALI GHOSH,Independent,5,1,6
S25,166,SHYAMPUKUR,3,CHHAYA GHOSH,Independent,15,6,21
S25,166,SHYAMPUKUR,3,RIMA MONDAL,Independent,41,19,60
S25,166,SHYAMPUKUR,3,SANJAY BAGARIA,Independent,10,9,19
S25,166,SHYAMPUKUR,3,UMA GOSWAMI,Independent,13,6,19
S25,166,SHYAMPUKUR,3,NOTA,None of the Above,112,60,172
S25,166,SHYAMPUKUR,4,JHUMA DAS,All India Forward Bloc,1484,539,2023
S25,166,SHYAMPUKUR,4,PURNA GHOSH,Indian National Congress,233,99,332
S25,166,SHYAMPUKUR,4,PURNIMA CHAKRABORTY,Bharatiya Janata Party,9418,3777,13195
S25,166,SHYAMPUKUR,4,SHASHI PANJA,All India Trinamool Congress,7988,3427,11415
S25,166,SHYAMPUKUR,4,GOURANGA KHATUA,Socialist Unity Centre Of India (COMMUNIST),100,31,131
S25,166,SHYAMPUKUR,4,ANITA JAISWAL,Independent,7,6,13
S25,166,SHYAMPUKUR,4,AYAN CHAKRABORTY,Independent,16,5,21
S25,166,SHYAMPUKUR,4,BARNALI GHOSH,Independent,6,5,11
S25,166,SHYAMPUKUR,4,CHHAYA GHOSH,Independent,21,9,30
S25,166,SHYAMPUKUR,4,RIMA MONDAL,Independent,60,23,83
S25,166,SHYAMPUKUR,4,SANJAY BAGARIA,Independent,19,13,32
S25,166,SHYAMPUKUR,4,UMA GOSWAMI,Independent,19,5,24
S25,166,SHYAMPUKUR,4,NOTA,None of the Above,172,57,229
S25,166,SHYAMPUKUR,5,JHUMA DAS,All India Forward Bloc,2023,455,2478
S25,166,SHYAMPUKUR,5,PURNA GHOSH,Indian National Congress,332,64,396
S25,166,SHYAMPUKUR,5,PURNIMA CHAKRABORTY,Bharatiya Janata Party,13195,3422,16617
S25,166,SHYAMPUKUR,5,SHASHI PANJA,All India Trinamool Congress,11415,2721,14136
S25,166,SHYAMPUKUR,5,GOURANGA KHATUA,Socialist Unity Centre Of India (COMMUNIST),131,25,156
